	F0	F1	F2
0	267	309	288
1	2	3	1
2	281	212	147
3	1017	1097	873
4	250	265	221
5	677	569	528
6	109	84	65
7	170	245	164
8	194	244	154
9	53	54	69
10	519	454	301
11	889	737	548
12	1259	901	620
13	2509	2848	2238
14	70	46	48
15	2454	2399	2140
16	2	0	1
17	8	9	4
18	1518	1321	1018
19	112	144	125
20	214	186	135
21	54	51	59
22	0	0	0
23	67	61	67
24	22	24	33
25	218	204	126
26	73	42	46
27	1937	1417	1226
28	95	140	100
29	25	21	19
30	6	2	0
31	304	239	198
32	482	404	362
33	264	210	201
34	16	15	7
35	171	216	147
36	351	230	216
37	2673	2094	1667
38	183	119	104
39	67	76	41
40	181	141	90
41	1994	1810	1478
42	27	27	19
43	494	613	459
44	86	92	58
45	205	232	189
46	376	271	223
47	288	229	152
48	59	50	43
49	297	221	174
50	1038	614	479
51	107	82	43
52	1223	1065	817
53	222	215	195
54	347	367	287
55	119	88	62
56	9	8	12
57	1250	1085	766
58	1218	1015	979
59	193	198	88
60	59	60	36
61	23	32	22
62	282	202	121
63	271	250	176
64	117	101	101
65	172	153	126
66	61	62	51
67	2041	1522	1153
68	170	147	124
69	26	31	11
70	4	1	2
71	216	105	77
72	183	171	84
73	31	68	17
74	136	119	66
75	64	58	33
76	51	52	40
77	3	0	1
78	62	49	14
79	499	365	260
80	68	53	50
81	365	303	217
82	211	134	138
83	80	54	45
84	499	350	309
85	3340	2992	2452
86	101	144	93
87	85	110	63
88	1928	1233	1055
89	40	53	32
90	90	87	75
91	419	371	266
92	448	430	230
93	343	357	224
94	243	237	200
95	159	151	108
96	31	36	23
97	744	702	543
98	953	595	425
99	253	196	133
100	39	35	28
101	2096	1789	1374
102	359	247	214
103	2580	1847	1171
104	673	555	381
105	105	97	84
106	219	195	126
107	72	57	42
108	0	0	1
109	280	222	156
110	81	56	41
111	217	162	100
112	53	58	28
113	27	19	23
114	509	473	342
115	7	13	4
116	400	284	257
117	23	23	14
118	221	187	131
119	215	158	168
120	2754	2194	1739
121	67	53	43
122	126	91	61
123	2037	2114	1854
124	2988	2532	2187
125	981	991	825
126	45	34	35
127	191	141	93
128	58	67	46
129	445	339	241
130	0	0	0
131	519	436	292
132	291	269	139
133	501	392	301
134	869	971	831
135	406	349	291
136	59	49	32
137	31	24	19
138	959	789	670
139	206	168	118
140	384	252	223
141	1229	923	739
142	229	288	152
143	215	218	154
144	2298	1995	1930
145	1092	869	674
146	4	2	3
147	6	6	0
148	146	110	93
149	1443	1440	1237
150	670	538	448
151	275	217	162
152	357	325	201
153	300	345	267
154	3838	3314	2507
155	3954	2876	2227
156	9	2	3
157	204	194	134
158	102	93	80
159	52	33	43
160	130	94	49
161	2544	1903	1432
162	970	561	547
163	19	16	20
164	336	206	132
165	62	59	42
166	149	177	135
167	613	449	371
168	430	331	253
169	173	134	146
170	80	42	42
