	F0	F1	F2
0	8	14	17
1	0	0	0
2	9	11	4
3	42	36	35
4	21	21	12
5	15	16	10
6	4	2	2
7	9	15	16
8	9	24	10
9	3	7	13
10	31	18	22
11	20	25	14
12	28	19	10
13	106	107	79
14	3	1	3
15	292	244	236
16	0	0	0
17	1	0	0
18	52	46	36
19	16	14	11
20	11	6	8
21	1	0	0
22	0	0	0
23	1	1	3
24	7	10	4
25	5	6	5
26	8	3	5
27	71	45	27
28	0	1	0
29	3	2	5
30	0	0	0
31	17	11	8
32	13	6	7
33	11	10	10
34	5	3	1
35	8	6	4
36	15	7	5
37	29	38	32
38	9	10	6
39	5	5	3
40	2	3	3
41	56	56	42
42	6	2	2
43	17	19	16
44	9	7	7
45	6	2	3
46	13	5	0
47	9	11	7
48	4	3	1
49	34	31	17
50	16	10	11
51	3	4	3
52	104	99	68
53	14	13	4
54	15	9	7
55	9	5	1
56	1	0	0
57	60	46	28
58	32	24	11
59	6	6	5
60	6	4	0
61	2	1	0
62	8	6	3
63	12	10	5
64	11	5	11
65	10	9	6
66	17	15	12
67	30	17	11
68	3	5	4
69	2	2	3
70	0	0	1
71	8	6	5
72	35	28	11
73	1	1	0
74	4	2	1
75	3	2	1
76	37	21	15
77	1	0	0
78	4	3	2
79	31	15	8
80	2	1	0
81	15	9	7
82	25	17	12
83	5	5	2
84	16	8	4
85	59	47	43
86	3	5	6
87	22	10	13
88	46	36	15
89	0	1	0
90	9	2	3
91	23	15	7
92	12	8	5
93	16	7	9
94	27	25	15
95	3	5	3
96	8	9	3
97	32	36	27
98	46	13	11
99	7	7	1
100	0	1	3
101	25	33	19
102	24	22	20
103	35	25	11
104	22	14	8
105	17	5	5
106	22	20	6
107	9	5	4
108	0	0	0
109	9	6	2
110	3	3	5
111	8	3	4
112	0	0	0
113	8	5	2
114	23	16	8
115	0	1	0
116	20	16	10
117	0	2	0
118	15	4	4
119	20	10	13
120	89	86	49
121	21	16	10
122	6	5	5
123	200	186	150
124	58	52	37
125	81	110	113
126	6	1	3
127	15	7	4
128	4	5	3
129	14	9	5
130	1	1	0
131	25	13	7
132	9	11	3
133	18	27	6
134	132	143	118
135	49	38	26
136	0	1	1
137	8	3	3
138	68	39	39
139	5	1	3
140	11	6	4
141	61	33	27
142	19	20	12
143	14	11	7
144	75	64	44
145	55	30	20
146	1	0	0
147	1	0	0
148	3	2	3
149	314	270	161
150	12	17	16
151	17	11	5
152	33	17	15
153	34	36	22
154	59	62	48
155	61	43	17
156	2	0	0
157	2	3	2
158	4	1	1
159	0	1	1
160	4	4	6
161	111	72	39
162	26	18	12
