	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	16672	14339	11008	16744	14481	10838	16629	14438	10990	17040	14491	10979	17118	14574	11878	16957	14413	10676	16083	14146	11408	18851	14232	11052	17027	13262	10483	17013	15809	9299	16425	12641	10506
ARG	11910	10171	7240	12265	10330	7339	11925	10030	7651	12091	10158	7740	15484	12222	8308	12479	10676	7781	15307	12570	7411	11515	10922	7776	12313	11603	7776	11276	11211	7267	10416	8960	8029
ASN	13176	10938	7747	13357	11012	7920	13374	10835	7870	13898	11074	7768	13572	10951	6974	13833	11178	8082	11650	9990	7510	12529	11181	7822	13721	10645	7514	13688	9225	7081	14297	12044	8028
ASP	15619	12794	9480	15662	12703	9276	15498	12597	9404	15686	12920	9143	14863	12965	10004	14955	11629	8820	14719	13430	9824	19619	15051	9629	17432	14024	9278	16056	12890	7674	14724	12611	9360
CYS	2446	1986	1514	2458	2184	1484	2499	2087	1561	2512	2203	1536	2610	2379	1408	2264	1839	1457	2079	2007	1521	2348	2205	1428	2349	2219	1535	2399	2216	1780	2162	2144	1616
GLN	10082	8117	5944	10111	8360	6016	9962	8218	5902	10576	8565	5824	8056	7074	5902	9942	8092	6058	9633	7772	5970	9288	8169	6058	9620	8630	6436	10672	8246	7397	8582	10655	6751
GLU	19612	15905	11757	19722	16016	11645	19693	15913	11643	19159	15792	11486	16961	15100	11623	17791	15635	12250	20592	16378	11944	20788	16275	11995	20632	16145	11387	18681	16528	9804	17197	14585	13046
GLY	16276	14028	10314	16482	14122	10659	16324	14315	10448	16224	14450	10588	16814	14719	10425	17497	15620	10957	15906	14373	10542	17741	15436	11110	16358	15068	10487	16065	17347	10523	10235	11431	10339
HIS	4642	4054	2947	4774	4191	3045	4766	4126	3035	5243	4298	2910	4465	3649	2851	5607	4598	2865	4357	3988	2941	4609	4130	2825	4802	4291	3234	5297	3851	3779	4794	6033	3189
ILE	15603	12852	9219	15466	13136	9547	15782	12846	9311	15705	13223	9478	14621	12829	10649	15661	12726	9005	14947	12987	9070	14736	12977	9340	15478	12640	9582	15584	12229	9513	18558	11896	9329
LEU	21241	18010	13256	22115	17955	12924	22017	18512	12892	20772	17650	13787	28196	20423	13287	24659	20028	12597	20171	16294	13375	20335	16864	13299	21975	19230	13699	21823	19220	14667	22970	21497	12297
LYS	21456	17737	12686	20880	17616	13028	21826	17927	12964	21851	17816	12766	23381	19308	12162	20672	17969	13596	25939	19127	12835	20812	18148	12950	21891	17814	12157	20702	15211	11384	20905	17770	13857
PHE	9567	7940	5805	9783	8106	5715	9739	8258	5778	9743	8086	5513	7358	6752	5862	10311	7995	5900	8903	7798	5923	9823	8194	5583	9319	8924	6158	9957	8468	6995	12240	12773	5843
PRO	10293	8560	6421	10240	8601	6271	10315	8570	6483	10396	8441	6309	11859	9222	6058	11219	9446	7401	14550	10275	6508	10621	8274	6633	10420	8040	7534	13305	9462	10261	12892	10296	7065
SER	17606	14547	10633	17479	14205	10557	17606	14448	10706	17867	14503	10723	18129	14744	9914	16454	13837	10277	16773	14134	11052	18275	14552	11165	17782	15108	11808	18886	16035	12701	21356	14802	11252
THR	13756	10943	8213	13728	11244	8475	13549	11019	8438	14061	11388	8360	11940	10024	8658	13985	11187	8090	13349	10628	8483	13169	10625	8517	14180	9861	8583	14184	10447	8460	18423	9353	8809
TRP	2505	2060	1468	2400	2013	1421	2567	2091	1509	2560	2099	1619	3199	2362	1455	2665	2218	1591	2766	2261	1667	2456	2180	1647	3066	2522	1640	2651	2411	2044	2502	1298	1407
TYR	7907	6464	4873	8137	6524	4808	8052	6826	4769	8118	6756	4737	7813	6649	4425	7733	6220	4969	7727	7044	4993	7383	6416	4751	7732	7396	4905	8313	6376	5081	8733	9158	5330
VAL	16056	13667	10446	16459	13875	10590	16824	14206	10604	16401	14102	11076	14819	12893	10972	15957	13442	10661	16059	14645	10692	17619	14398	10605	16331	13324	10277	16677	13993	9407	15341	12252	9744
TERM	579	545	431	521	520	435	534	503	377	474	460	440	3914	3220	482	721	514	374	379	464	429	404	390	385	364	352	296	338	320	305	252	286	369
MET	3980	3330	2397	3994	3329	2351	4050	3379	2385	3758	3190	2451	3081	2899	2463	4286	3549	2692	3966	2895	2441	3523	3038	2334	4119	3037	2481	3820	3102	2201	4791	2529	1947
