	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	153121	128376	99312	0.427613898783566	0.0	40.20939631153676	-9	1.1080060866896115	380809	139926	0.050223577221181724	0.06222469317028898
ARG	115289	98682	69022	0.459337768739446	0.0	40.7391702268254	-18	1.2087536538611663	282993	105431	0.03784230214546554	0.061370738105082284
ASN	119110	97804	69207	0.5123514138149661	0.0	41.62924077575571	-21	1.0501385274116364	286121	186642	0.06699133041547532	0.03505050938303715
ASP	144053	118113	84858	0.50532609250295	0.0	41.51096177785975	-9	1.2257363609227159	347024	165604	0.059440170391039396	0.04791181995782396
CYS	21565	19109	13444	0.40590121152377623	0.0	39.84810968624118	-18	1.0892650127521446	54118	28999	0.010408598229328709	0.04266902267563445
GLN	87270	72997	54110	0.45751421805659837	0.0	40.70865811164444	-21	1.0906840838776213	214377	126124	0.04526963147266644	0.038862830859381706
GLU	174950	143159	105730	0.4914401947896907	0.0	41.277466207687354	-9	1.069402686481852	423839	182028	0.06533522943854085	0.05323738293666724
GLY	149622	132131	95530	0.3944351522692813	0.0	39.6577635355953	-9	1.0671492160243814	377283	140390	0.0503901205357239	0.0614447868394723
HIS	43265	37325	26653	0.4356245092285077	0.0	40.34295944723665	-15	1.1663700450710737	107243	58279	0.02091805566423145	0.042073713219623735
ILE	137999	116216	85201	0.45447235780623785	0.0	40.65777688735947	-24	1.0292683280313626	339416	196745	0.07061759573189685	0.03944414857935828
LEU	201481	164966	119116	0.5043363741796798	0.0	41.49430660902911	-18	1.2594934509953792	485563	267575	0.09604057626858269	0.041491012320395725
LYS	198708	163462	115144	0.5124236289251989	0.0	41.63045709951939	-12	1.174844495440546	477314	205307	0.07369075060066861	0.05315625730211173
PHE	84546	72053	52237	0.4440981791123744	0.0	40.48439924151008	-15	1.0976154992548435	208836	120873	0.04338489236779368	0.039502996861395016
PRO	99913	79429	59618	0.5231716907673856	0.0	41.81160026782725	-12	1.3106402570236106	238960	124872	0.04482025166704833	0.04375363315364103
SER	157971	130078	96835	0.4775204712839699	0.0	41.04379501356253	-9	1.0411721138690013	384884	237452	0.08522854121695785	0.03706022099536615
THR	121717	96919	75817	0.49496189378147426	0.0	41.33664795400285	-6	1.0484977447686026	294453	170438	0.061175235870558516	0.039500585524933234
TRP	24184	19806	14017	0.5160482558746307	0.0	41.691519988966846	-18	1.1904978498180616	58007	26389	0.009471792085028977	0.05025872319929476
TYR	70602	60295	43230	0.4478017548703247	0.0	40.54626795384977	-27	1.0372652332795105	174127	97835	0.035115873228951835	0.040693575237733044
VAL	146525	124552	95923	0.4105317616935531	0.0	39.92506811989101	-9	1.0822112267531139	367000	149980	0.05383225498930031	0.05594827413915922
TERM	7890	6968	3649	0.5717210377544344	0.0	42.63251742583887	-18	4.464638783269962	18507	5648	0.002027234139082332	0.07491957690881539
MET	34757	28646	21995	0.4569976696743673	0.0	40.70001639382655	-15	1.1098196046839486	85398	49525	0.017775986320476715	0.03942549863078478
