	F0	F1	F2
0	20	22	34
1	0	0	0
2	20	17	11
3	57	77	60
4	34	33	36
5	38	34	31
6	7	2	7
7	23	26	22
8	40	42	27
9	15	15	24
10	57	33	19
11	55	36	26
12	51	19	15
13	175	182	130
14	22	12	8
15	591	467	396
16	1	1	0
17	1	1	0
18	127	96	63
19	40	41	35
20	29	21	13
21	1	4	5
22	0	0	0
23	3	4	1
24	14	16	12
25	12	8	4
26	13	12	11
27	108	81	64
28	6	7	5
29	3	2	4
30	0	2	0
31	41	20	19
32	16	17	15
33	25	10	14
34	2	4	3
35	10	10	8
36	24	24	14
37	61	68	53
38	26	18	17
39	12	17	9
40	10	5	3
41	102	103	92
42	11	9	8
43	70	62	35
44	13	10	15
45	11	11	10
46	24	12	9
47	18	17	12
48	6	5	2
49	64	35	26
50	27	22	17
51	39	19	9
52	271	257	201
53	27	7	5
54	28	29	20
55	16	10	6
56	1	1	2
57	141	93	75
58	60	61	31
59	16	19	13
60	7	10	4
61	0	4	1
62	24	16	8
63	32	26	10
64	19	28	20
65	17	23	13
66	57	34	28
67	45	31	23
68	14	6	8
69	1	2	3
70	2	0	0
71	13	11	6
72	160	132	56
73	7	6	4
74	12	10	8
75	8	3	3
76	32	19	17
77	0	4	1
78	11	6	2
79	50	50	31
80	5	2	2
81	43	20	8
82	38	22	14
83	30	14	4
84	32	11	15
85	111	103	79
86	10	11	7
87	43	40	21
88	61	43	25
89	2	1	3
90	11	10	10
91	36	31	26
92	23	20	12
93	36	30	10
94	44	46	40
95	5	13	7
96	21	11	11
97	77	74	49
98	59	28	13
99	12	7	9
100	7	5	4
101	57	44	37
102	67	33	29
103	69	33	26
104	44	39	22
105	33	17	17
106	48	33	13
107	22	13	7
108	0	0	0
109	13	15	4
110	14	7	4
111	13	18	10
112	2	2	3
113	5	3	6
114	46	37	24
115	2	1	1
116	31	23	12
117	3	2	3
118	6	9	6
119	30	23	23
120	126	108	62
121	24	28	12
122	10	8	8
123	482	425	325
124	113	105	82
125	202	246	221
126	22	20	8
127	19	13	12
128	5	5	2
129	21	23	9
130	0	1	0
131	51	28	25
132	34	26	11
133	43	37	20
134	252	345	254
135	86	75	53
136	0	0	0
137	14	12	6
138	165	119	97
139	19	8	6
140	36	27	10
141	67	51	39
142	37	48	16
143	32	38	21
144	171	141	120
145	157	96	83
146	0	0	2
147	5	1	2
148	17	8	10
149	657	597	406
150	25	23	22
151	36	21	10
152	53	30	19
153	77	65	52
154	148	90	59
155	167	75	55
156	2	2	0
157	13	12	5
158	8	5	2
159	2	5	4
160	21	10	7
161	161	124	62
162	52	24	21
163	0	1	2
164	45	28	13
165	6	1	3
166	5	1	2
167	35	28	14
168	53	34	23
169	51	37	31
170	11	5	6
171	38	26	13
172	44	27	25
173	51	28	30
174	162	139	93
175	7	9	6
176	28	25	8
177	15	12	3
178	0	0	0
179	2	3	3
180	0	0	0
181	10	4	5
182	4	11	6
183	5	3	2
184	10	17	5
185	25	15	17
186	62	43	19
187	77	97	47
188	0	0	0
189	8	3	6
190	5	9	9
191	9	3	4
192	2	1	1
193	1222	725	428
194	8	8	13
195	7	11	14
196	1	1	1
197	2	2	0
198	17	16	13
199	20	28	12
200	2	3	3
201	76	41	32
202	9	6	2
203	66	49	34
204	35	42	23
205	55	52	26
206	24	13	8
207	1	1	0
208	28	19	2
209	19	10	14
210	20	5	14
211	4	3	0
212	23	16	10
213	185	177	131
214	96	89	36
215	1	1	2
216	44	30	18
217	3	1	0
218	14	18	9
219	53	36	18
220	28	15	13
221	304	266	216
222	104	66	58
223	16	12	4
224	27	15	16
225	468	443	308
226	10	4	6
227	66	66	50
228	32	11	8
229	12	13	4
230	15	10	7
231	0	0	0
232	23	23	17
233	0	0	0
234	0	0	0
235	30	17	16
236	23	13	10
237	41	23	21
238	30	30	25
239	3	3	1
240	61	28	20
241	32	21	21
242	14	14	7
243	0	0	0
244	5	3	1
245	0	0	0
246	4	2	3
247	100	77	57
248	18	11	8
249	0	0	0
250	16	9	6
251	54	33	22
252	57	41	34
253	8	7	4
254	49	37	37
255	89	76	69
256	1	0	0
257	47	41	34
258	39	38	43
259	25	25	7
260	36	37	16
261	33	12	15
262	45	50	29
263	9	2	4
264	85	62	38
265	12	12	3
266	12	11	6
267	8	8	8
268	29	23	25
269	17	10	5
270	3	4	3
271	1	0	0
272	21	20	15
273	33	22	15
274	14	8	15
275	3	6	3
276	0	4	0
277	174	192	148
278	721	522	440
279	277	254	167
280	5	5	4
281	20	17	5
282	40	23	21
283	43	28	22
284	17	24	6
285	486	434	308
286	64	58	40
287	133	96	82
288	21	29	18
289	48	47	43
290	2	1	6
291	29	24	11
292	52	60	32
293	11	4	4
294	10	7	2
295	210	157	133
296	19	7	7
297	107	76	56
298	161	125	116
299	43	34	20
300	7	8	0
301	25	20	10
302	22	12	8
303	5	2	4
304	45	41	25
305	66	37	16
306	41	29	22
307	37	16	15
308	2	2	1
309	10	7	2
310	81	66	24
311	115	119	69
312	105	98	80
313	728	805	701
314	125	91	82
315	15	22	10
316	37	34	25
317	37	40	7
318	24	16	4
319	15	17	17
320	47	41	26
321	21	20	10
322	0	0	0
323	28	20	12
324	16	20	11
325	27	18	19
326	106	99	75
327	100	77	50
328	13	17	11
329	14	11	4
330	17	17	23
331	14	19	9
332	0	0	0
333	11	11	6
334	1	2	3
335	59	52	36
336	15	9	7
337	12	10	14
338	39	31	22
339	2	3	2
340	13	11	11
341	34	27	18
342	14	8	12
343	43	20	25
344	10	22	20
345	27	21	11
346	12	5	6
347	21	14	15
348	32	31	40
349	22	11	6
350	34	30	21
351	265	213	202
352	13	16	6
353	5	1	0
354	10	14	11
355	24	20	9
356	9	7	4
357	77	43	32
358	10	9	4
359	0	0	0
360	0	0	0
361	1	4	2
362	36	24	16
363	8	9	3
364	32	22	5
365	146	103	65
366	3	3	0
367	32	25	13
368	10	13	3
369	15	17	9
370	46	27	18
371	1	0	2
372	21	16	10
373	17	7	5
374	89	53	44
375	0	0	0
376	2	1	3
377	6	5	2
378	1	5	4
379	20	18	9
380	61	46	35
381	4	4	3
382	34	52	19
383	72	71	50
384	10	14	7
385	0	4	0
386	9	3	3
387	132	105	92
388	128	85	67
389	23	12	9
390	93	80	48
391	117	87	87
392	11	9	6
393	64	49	32
394	117	92	71
395	190	172	107
396	0	0	1
397	12	10	5
398	183	182	160
399	444	485	348
400	1	1	2
401	85	66	43
402	60	60	14
403	10	9	1
404	2	4	2
405	24	26	12
406	17	11	12
407	7	5	8
408	154	120	87
409	142	122	129
410	17	22	10
411	80	47	39
412	7	6	7
413	0	0	1
414	16	22	10
415	0	2	0
416	1	2	2
417	26	19	19
418	39	32	27
419	3	1	2
420	1	2	1
421	10	11	19
422	33	16	15
423	13	10	6
424	6	2	3
425	12	9	5
426	16	9	7
427	6	8	5
428	28	29	18
429	54	41	36
430	200	209	148
431	61	50	41
432	14	14	14
433	10	9	2
434	0	0	0
435	7	3	0
436	38	31	20
437	79	70	53
438	0	0	0
439	17	9	4
440	20	8	2
441	3	3	2
442	85	59	42
443	5	4	6
444	2	1	3
445	52	30	22
446	150	116	94
447	55	36	20
448	27	28	19
449	0	0	0
450	26	15	12
451	7	3	2
452	83	76	44
453	4	5	3
454	28	12	19
455	0	0	0
456	20	17	14
457	216	196	126
458	13	17	6
459	12	11	12
460	0	0	0
461	0	1	0
462	71	66	36
463	43	43	29
464	193	172	146
465	32	22	18
466	21	13	15
467	208	189	102
468	8	5	5
469	25	32	12
470	27	46	6
471	67	55	25
472	81	52	31
473	13	7	6
474	0	0	0
475	27	17	13
476	3	4	0
477	95	80	70
478	46	31	22
479	44	30	16
480	0	0	0
481	16	4	8
482	34	21	23
483	13	9	6
484	12	12	3
485	25	23	3
486	53	45	19
487	2	1	0
488	15	14	9
489	60	50	48
490	0	0	0
491	16	14	7
492	58	45	37
493	20	14	10
494	140	141	95
495	74	71	41
496	8	3	3
497	4	11	3
498	13	18	7
499	4	4	2
500	32	23	12
501	18	17	11
502	20	15	17
503	86	56	29
504	6	11	5
505	13	19	15
506	14	10	8
507	42	30	23
508	2	1	0
509	0	0	0
510	26	22	16
511	20	7	3
512	0	0	0
513	29	20	20
514	59	44	20
515	11	12	2
516	5	3	4
517	22	18	20
518	190	123	65
519	14	17	8
520	4	4	3
521	7	12	6
522	0	0	0
523	148	125	108
524	43	48	21
525	8	3	6
526	64	40	26
527	24	18	16
528	22	20	18
529	0	0	0
530	5	1	0
531	0	0	0
532	128	131	102
533	8	8	3
534	28	32	16
535	0	0	1
536	6	12	5
537	46	41	25
538	7	10	7
539	4	13	3
540	14	4	4
541	10	5	5
542	0	0	0
543	5	2	1
544	59	30	24
545	4	2	0
546	5	0	4
547	14	14	14
548	0	0	0
549	20	5	10
550	49	36	13
551	1	0	0
552	27	17	15
553	120	100	82
554	15	10	6
555	18	14	5
556	0	0	0
557	9	9	3
558	14	13	7
559	0	0	0
560	30	15	6
561	12	11	6
562	11	5	5
563	25	23	14
564	22	18	22
565	152	86	52
566	27	19	12
567	47	43	35
568	9	11	7
569	284	226	159
570	17	10	8
571	4	6	4
572	23	30	11
573	0	0	0
574	0	0	0
575	14	9	7
576	0	0	0
577	13	14	5
578	7	5	1
579	0	0	0
580	7	6	6
581	8	6	7
582	0	0	0
583	13	7	4
584	3	3	2
585	17	19	9
586	2	2	0
587	52	44	23
588	15	5	3
589	0	0	0
590	4	3	2
591	9	4	4
592	28	22	16
593	18	6	7
594	41	32	17
595	0	0	0
596	45	32	18
597	907	897	759
598	170	143	141
599	248	234	135
600	21	20	10
601	13	14	8
602	4	7	5
603	30	24	7
604	114	88	58
605	33	27	11
606	161	131	111
607	13	18	8
608	3	5	2
609	1016	987	755
610	36	33	19
611	34	62	44
612	4	1	0
613	0	0	0
614	59	43	28
615	6	7	4
616	29	20	12
617	35	22	20
618	29	25	15
619	14	13	8
620	10	11	6
621	25	18	12
622	6	7	6
623	12	5	6
624	59	34	19
625	24	27	6
626	4	1	0
627	16	27	17
628	41	29	23
629	26	25	12
630	19	16	6
631	13	14	9
632	86	61	24
633	10	12	6
634	61	40	16
635	0	0	0
636	3	2	2
637	0	0	0
638	414	414	301
639	73	54	40
640	55	35	26
641	15	10	9
642	131	84	78
643	17	14	15
644	228	154	107
645	22	14	10
646	25	21	14
647	31	19	17
648	21	10	10
649	41	26	12
650	4	4	0
651	0	0	0
652	19	15	8
653	5	6	4
654	48	42	40
655	0	1	2
656	47	49	31
657	10	12	3
658	85	88	34
659	66	49	27
660	69	47	30
661	81	48	36
662	0	2	2
663	3	3	7
664	10	4	3
665	12	10	9
666	17	12	7
667	18	28	21
668	25	11	14
669	13	7	3
670	27	29	26
671	48	32	21
672	34	10	11
673	42	29	15
674	16	19	11
675	2	1	1
676	0	1	1
677	121	83	52
678	18	13	8
679	46	32	20
680	8	8	3
681	28	23	17
682	18	11	9
683	43	29	17
684	38	40	31
685	5	5	2
686	0	0	0
687	62	35	39
688	11	4	4
689	21	13	6
690	0	0	0
691	44	27	15
692	103	77	56
693	20	21	14
694	26	31	23
695	0	0	0
696	44	31	37
697	5	3	4
698	14	11	4
699	3	8	5
700	0	0	0
701	22	13	12
702	105	68	45
703	3	2	0
704	0	1	1
705	24	20	12
706	2	4	1
707	0	0	0
708	6	3	1
709	0	0	0
710	23	24	12
711	29	31	21
712	38	27	16
713	75	58	36
714	43	31	15
715	40	22	9
716	10	5	3
717	9	4	5
718	8	8	3
719	19	26	7
720	11	9	8
721	17	10	11
722	4	4	0
723	135	83	74
724	7	10	6
725	40	36	38
726	45	27	26
727	29	35	20
728	45	56	23
729	30	41	5
730	44	24	12
731	14	6	0
732	147	101	48
733	2	0	1
734	7	4	0
735	58	39	23
736	30	27	12
737	80	56	35
738	12	12	14
739	4	7	1
740	132	113	60
741	16	18	11
742	140	121	89
743	36	26	17
744	332	308	203
745	47	53	29
746	95	102	66
747	60	40	28
748	8	8	3
749	1	4	5
750	1	0	0
751	87	73	39
752	13	9	6
753	104	105	54
754	4	4	1
755	2	8	8
756	111	118	82
757	59	42	29
758	9	6	5
759	30	15	11
760	9	8	6
761	51	33	19
762	163	123	64
763	40	43	22
764	11	12	6
765	142	132	112
766	23	23	11
767	3	7	2
768	56	62	48
769	354	292	245
770	77	63	39
771	1398	1317	1136
772	44	20	14
773	30	20	17
774	24	19	17
775	96	61	35
776	33	34	25
777	4	11	4
778	88	68	50
779	50	44	37
780	14	20	17
781	16	14	5
782	22	12	16
783	1411	1499	1259
784	92	68	44
785	14	9	8
786	0	1	0
787	36	27	21
788	60	61	48
789	46	33	27
790	29	10	10
791	32	33	14
792	140	142	117
793	109	80	57
794	182	131	95
795	20	11	10
796	39	25	8
797	17	11	9
798	3	4	3
799	16	3	8
800	31	20	6
801	34	24	21
802	14	11	5
803	187	150	88
804	50	21	11
805	21	15	15
806	42	33	28
807	1	2	4
808	27	38	19
809	4	4	5
810	14	9	13
811	247	193	134
812	39	30	12
813	107	85	55
814	10	6	3
815	0	0	0
816	1	0	1
817	4	3	2
818	12	16	8
819	62	46	43
820	39	20	29
821	4	3	1
822	31	8	12
823	7	4	2
824	164	105	57
825	15	15	9
826	51	50	44
827	88	54	34
828	56	34	38
829	41	36	24
830	23	16	18
831	36	15	14
832	34	23	17
833	88	88	69
834	36	27	22
835	8	13	3
836	22	22	9
837	58	49	48
838	56	42	29
839	3	5	5
840	14	2	4
841	2	5	0
842	34	28	28
843	10	21	4
844	0	1	1
845	4	0	6
846	44	15	18
847	7	4	1
848	328	262	235
849	10	9	4
850	19	17	19
851	10	8	5
852	13	7	5
853	0	1	1
854	129	120	88
855	14	12	6
856	1	2	2
857	32	20	16
858	6	20	4
859	0	0	0
860	1	1	0
861	6	7	3
862	15	11	5
863	4	2	3
864	57	43	20
865	51	39	28
866	23	20	11
867	21	18	9
868	12	18	7
869	0	1	0
870	0	0	0
871	23	16	8
872	2	0	2
873	53	38	20
874	70	48	30
875	29	18	23
876	2	3	0
877	79	121	67
878	0	0	0
879	29	24	15
880	19	21	6
881	7	13	6
882	12	8	11
883	1	0	1
884	15	6	5
885	0	0	0
886	0	0	0
887	4	6	3
888	68	58	48
889	4	3	2
890	176	151	131
891	121	151	98
892	7	10	7
893	33	36	18
894	0	1	0
895	97	73	62
896	5	9	2
897	0	0	0
898	85	74	18
899	67	65	57
900	11	12	5
901	3	2	0
902	14	10	5
903	4	4	2
904	0	2	1
905	14	7	7
906	15	26	10
907	20	17	13
908	48	61	24
909	0	0	0
910	57	71	25
911	18	16	7
912	29	31	33
913	37	35	22
914	13	11	10
915	6	2	1
916	0	0	1
917	35	22	17
918	17	14	9
919	1	0	0
920	0	0	0
921	6	5	3
922	16	10	9
923	28	21	12
924	10	13	9
925	22	13	13
926	17	11	8
927	41	32	14
928	49	26	22
929	31	48	20
930	52	43	25
931	0	0	1
932	0	0	0
933	40	27	19
934	19	12	9
935	37	30	20
936	44	41	23
937	7	7	1
938	27	20	12
939	5	5	6
940	0	0	0
941	99	69	59
942	0	0	0
943	7	8	8
944	38	20	18
945	41	30	17
946	58	48	25
947	141	65	47
948	38	27	25
949	0	0	0
950	16	6	1
951	110	65	58
952	17	22	12
953	30	14	12
954	2	1	0
955	53	39	14
956	4	5	4
957	5	0	3
958	6	5	2
959	2	2	0
960	72	44	33
961	269	228	150
962	100	78	35
963	275	235	221
964	33	20	17
965	8	12	2
966	11	11	11
967	0	0	1
968	83	63	30
969	173	186	113
970	21	13	8
971	50	35	17
972	91	60	40
973	46	33	26
974	13	15	8
975	0	0	0
976	4	0	0
977	58	39	28
978	43	14	18
979	1	1	0
980	3	4	3
981	0	0	0
982	7	4	5
983	31	20	16
984	499	384	319
985	28	21	13
986	34	21	9
987	40	27	17
988	31	18	24
989	277	212	179
990	82	71	48
991	9	10	6
992	24	18	10
993	9	10	4
994	23	21	16
995	15	10	7
996	4	2	2
997	6	3	6
998	16	11	8
999	6	9	2
1000	13	16	13
1001	140	141	100
1002	21	17	10
1003	0	0	0
1004	41	39	21
1005	9	8	7
1006	215	185	112
1007	0	0	0
1008	23	29	15
1009	320	265	228
1010	23	10	8
1011	10	11	8
1012	41	16	19
1013	8	8	6
1014	17	16	12
1015	39	34	21
1016	86	61	42
1017	29	19	12
1018	152	96	49
1019	1	0	0
1020	32	17	8
1021	39	59	15
1022	24	22	13
1023	0	0	0
1024	68	61	61
1025	23	35	32
1026	0	0	2
1027	492	409	303
1028	26	19	5
1029	59	53	28
1030	30	25	19
1031	4	4	4
1032	27	19	8
1033	33	20	22
1034	19	17	5
1035	18	11	6
1036	12	4	9
1037	5	5	9
1038	18	22	15
1039	34	23	9
1040	111	117	101
1041	23	23	17
1042	68	52	43
1043	8	7	2
1044	16	19	6
1045	19	15	10
1046	0	0	0
1047	28	24	21
1048	16	5	12
1049	1	0	0
1050	21	9	11
1051	33	30	22
1052	4	5	6
1053	54	42	23
1054	0	1	0
1055	44	35	28
1056	148	143	93
1057	16	14	7
1058	43	36	14
1059	0	0	0
1060	163	113	95
1061	9	1	1
1062	205	171	53
1063	10	11	5
1064	95	54	39
1065	46	50	39
1066	6	1	0
1067	11	11	8
1068	1	0	0
1069	21	10	8
1070	1	5	6
1071	17	20	9
1072	0	1	0
1073	46	30	28
1074	104	108	67
1075	13	5	3
1076	1	4	0
1077	7	6	6
1078	89	73	46
1079	18	7	5
1080	7	5	3
1081	0	1	0
1082	0	0	0
1083	6	11	8
1084	264	208	137
1085	43	42	41
1086	72	56	47
1087	1	0	0
1088	8	4	5
1089	9	1	1
1090	0	0	0
1091	4	3	0
1092	94	70	38
1093	22	9	4
1094	3	2	6
1095	35	38	22
1096	68	50	40
1097	5	1	4
1098	27	21	10
1099	22	28	8
1100	37	32	30
1101	114	100	92
1102	66	51	39
1103	22	19	14
1104	4	3	4
1105	55	25	19
1106	4	7	3
1107	48	38	16
1108	33	25	14
1109	7	17	2
1110	3	1	1
