	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	47284	37537	26164	47595	37891	25792	47099	37571	26533	47236	38225	26755	49557	38475	28778	45437	36402	25537	44991	35981	27102	55354	37535	26501	48995	33565	25440	49341	43351	21227	49090	28242	23821
ARG	36556	29298	18786	37015	29833	19106	37197	29429	19326	38629	30564	20891	57942	42376	22074	38378	31424	20346	50249	40998	19273	33259	30578	20078	36504	33672	19496	32682	33259	18404	29965	27467	19060
ASN	43762	33394	21415	44026	34416	22156	43993	33113	21640	45436	34418	21039	41090	32125	18955	45734	35045	21992	36094	29517	20619	39017	33017	20743	44092	32786	20475	44510	26722	17811	46006	37828	21490
ASP	50538	39790	26459	50442	39422	26191	50393	39624	26159	50032	39368	25035	43231	37209	28181	48551	36137	23965	47855	40536	27279	67866	51372	26868	58879	44007	25377	53158	39644	20610	48022	36500	26482
CYS	7128	5791	3807	7075	5867	3712	7145	5805	3845	7272	5922	3611	6811	5634	3244	5911	4793	3221	5519	5269	3872	6653	5935	3691	6247	6316	3593	6643	6334	4389	6045	6266	3676
GLN	33343	26026	17039	33240	26680	17593	33322	26100	17188	35537	27182	16226	23986	20209	17019	32338	24792	17204	29309	22796	17151	30063	25779	17398	31326	26940	18287	34492	24704	21845	26579	34449	18952
GLU	65711	51575	33966	65857	50684	34004	66597	50834	33586	63517	49578	32992	51395	43639	33020	57880	47111	35090	67180	49677	33821	70591	51575	34675	67696	50742	31499	61865	51973	25677	56407	42711	39575
GLY	46295	37489	25412	46922	37814	25685	47054	38337	25450	46544	38289	25527	47674	38897	25300	49716	41871	26885	43970	39122	25707	52653	43387	26437	45119	40358	25038	45242	49613	25948	29089	28808	23802
HIS	14302	11665	7459	14520	11550	7541	14297	11632	7612	15865	12463	7462	12872	9787	7153	17782	14074	7304	12611	11126	7673	13347	11995	7400	14998	12641	8515	16616	10635	10218	13821	18391	7612
ILE	47742	37716	23792	47997	37811	24523	48187	37946	24535	47475	37479	24052	45675	37906	28125	48861	36705	22836	45406	38344	23481	43759	36545	24102	45941	34841	24538	47531	34002	24059	57246	33157	24528
LEU	66049	52522	34206	67817	52854	33821	66727	53423	34123	64626	51547	36520	95905	66227	34880	79984	61535	32175	60047	44997	34711	58128	45592	33677	65275	54824	35583	64766	55671	38692	66724	66104	33430
LYS	67789	53234	34509	67174	52722	35015	68749	53360	34224	69033	53172	34108	78579	63617	32526	64116	53350	36994	86358	61761	33433	64880	55457	33858	69027	53165	31630	64836	43656	28200	64205	53779	37270
PHE	28775	22376	14950	28947	22750	14458	28575	22759	15023	28280	22381	13951	19282	16409	14716	29624	21961	15180	25609	21623	14910	28155	22178	14224	27501	26436	15406	28534	23346	18483	36472	39883	14916
PRO	32154	25127	17151	31836	25066	16511	32262	25463	17182	33138	25495	17495	38210	28810	16006	34721	28096	20653	52737	35438	17842	34791	25402	18018	33620	24478	21601	43111	28996	31474	39895	30079	17459
SER	56451	43162	28550	56194	43494	28753	56056	43580	28551	56952	44456	29066	58355	43340	26400	54766	43597	26936	50147	39460	30341	58771	43253	30112	56526	45008	32025	59519	49046	34753	68438	45876	29342
THR	41152	31758	21455	41176	31945	21446	41383	31912	22086	42937	32821	21582	34686	27052	22372	41281	31509	20603	38436	28421	21960	39785	29812	22540	44281	27820	23027	43500	28779	21764	58100	23833	22052
TRP	7492	5679	3758	7178	5633	3612	7405	5957	3593	7042	5736	3857	8957	6294	3330	8108	6597	3951	8095	6107	4035	6805	5746	4063	9023	7656	4137	7412	7060	5190	7653	3605	3392
TYR	23659	19166	12702	24123	19024	12347	23755	19315	12083	24002	19245	11763	21469	17549	11004	22885	17664	12537	24588	20867	12270	20705	16710	11980	22493	21071	12201	24930	17530	12937	27234	28488	13094
VAL	46748	37191	25413	46890	37629	25455	47308	38093	25747	45912	37359	26895	38766	32806	26642	44558	34296	26271	45005	38289	25650	51335	38261	25398	46834	34738	24304	48202	37622	22091	43569	29095	24806
TERM	1193	934	695	1098	804	591	1105	857	576	1027	783	739	8182	6583	725	1303	859	592	615	742	687	662	564	562	583	593	470	567	498	468	401	454	536
MET	12331	9762	6351	12669	10080	6423	12697	10059	6318	12153	9609	6706	8580	7863	6519	13680	10182	7267	11315	7742	6495	10786	8859	6532	13413	8716	6695	11964	8678	5647	15318	6834	5383
