	F0	F1	F2
0	56	62	73
1	1	0	0
2	140	111	55
3	214	244	174
4	67	63	63
5	117	97	117
6	10	12	4
7	71	116	74
8	67	65	41
9	22	18	33
10	179	129	88
11	205	168	101
12	551	384	215
13	767	946	462
14	46	39	27
15	1084	969	618
16	1	0	0
17	3	0	0
18	347	286	200
19	113	119	89
20	85	53	30
21	4	3	9
22	0	0	0
23	17	12	5
24	13	11	6
25	51	41	25
26	28	30	19
27	639	401	253
28	7	5	7
29	13	14	11
30	5	1	2
31	110	85	48
32	23	13	8
33	97	72	53
34	5	6	2
35	26	43	26
36	77	46	29
37	280	253	160
38	58	36	28
39	24	8	7
40	41	28	14
41	424	364	256
42	20	13	7
43	111	109	68
44	23	18	9
45	50	28	20
46	54	32	22
47	66	73	24
48	14	11	5
49	219	215	95
50	195	111	76
51	30	22	15
52	349	307	207
53	75	63	27
54	83	67	34
55	38	35	16
56	1	6	4
57	478	357	221
58	370	239	182
59	79	83	17
60	14	20	12
61	4	4	3
62	61	45	30
63	56	33	15
64	46	38	37
65	48	28	27
66	60	41	33
67	226	108	76
68	35	28	29
69	19	9	9
70	0	0	0
71	90	41	31
72	163	150	72
73	8	17	5
74	31	28	12
75	22	18	6
76	117	63	50
77	7	4	2
78	14	22	7
79	138	101	62
80	11	10	5
81	65	54	41
82	161	75	55
83	53	51	33
84	105	53	45
85	509	394	275
86	28	27	7
87	131	114	62
88	397	308	182
89	11	15	7
90	45	27	16
91	183	123	73
92	77	75	21
93	59	53	41
94	142	101	83
95	30	24	30
96	20	14	12
97	223	219	127
98	269	200	107
99	87	59	19
100	16	11	12
101	364	334	145
102	142	79	65
103	254	201	103
104	111	84	48
105	61	45	36
106	166	149	58
107	38	20	19
108	0	1	0
109	49	36	22
110	23	23	12
111	39	45	20
112	7	2	3
113	10	9	3
114	105	86	47
115	4	2	0
116	120	65	37
117	5	2	2
118	56	45	23
119	57	51	36
120	563	507	234
121	38	27	16
122	30	19	12
123	925	766	598
124	523	419	318
125	339	304	271
126	49	25	18
127	80	61	23
128	18	13	8
129	173	116	49
130	0	2	0
131	182	114	64
132	85	77	25
133	122	68	50
134	447	505	407
135	172	92	68
136	3	4	2
137	7	5	8
138	447	341	270
139	24	17	17
140	94	56	38
141	322	218	148
142	114	113	36
143	67	65	45
144	520	402	291
145	392	238	156
146	2	2	1
147	5	2	1
148	29	19	10
149	841	757	518
150	101	85	50
151	101	63	37
152	129	87	59
153	161	199	132
154	673	620	340
155	311	188	94
156	1	0	1
157	44	25	25
158	19	11	10
159	16	12	7
160	26	31	16
161	749	518	271
162	253	132	117
163	4	3	2
164	111	80	35
165	15	13	6
166	23	37	18
167	161	99	61
168	165	128	67
169	92	70	55
170	23	14	12
171	73	36	33
172	48	45	20
173	126	119	68
174	75	60	47
175	31	25	31
176	107	71	24
177	20	22	10
178	0	0	0
179	1	1	1
180	0	0	0
181	17	11	5
182	28	24	17
183	22	8	7
184	19	25	1
185	38	19	15
186	123	94	66
187	125	150	41
188	0	0	0
189	23	17	9
190	42	26	19
191	14	20	14
192	1	0	1
193	3455	2260	1441
194	13	14	11
195	26	14	12
196	2	5	1
197	0	0	0
198	15	20	12
199	120	112	48
200	8	10	3
201	280	162	96
202	7	11	0
203	226	163	116
204	91	72	66
205	64	49	31
206	48	50	32
207	0	0	0
208	120	62	31
209	48	44	18
210	32	18	13
211	5	3	2
212	41	25	18
213	198	155	163
214	427	434	178
215	0	0	3
216	179	76	84
217	2	11	0
218	97	54	36
219	195	153	58
220	79	48	37
221	1001	761	637
222	317	162	170
223	37	26	18
224	157	83	45
225	953	781	631
226	36	17	20
227	134	101	84
228	78	42	18
229	40	27	11
230	34	26	11
231	0	0	0
232	83	75	34
233	2	3	1
234	0	1	0
235	280	236	182
236	366	267	173
237	129	87	52
238	67	55	42
239	3	5	3
240	114	58	33
241	41	43	21
242	41	38	14
243	0	0	0
244	9	7	5
245	0	0	0
246	1	3	1
247	224	135	120
248	86	58	19
249	10	3	1
250	31	41	16
251	138	107	68
252	54	53	26
253	29	31	13
254	119	143	84
255	213	158	134
256	3	0	0
257	100	81	54
