	F0	F1	F2
0	192	242	219
1	1	1	0
2	204	201	112
3	569	540	411
4	222	214	140
5	287	270	224
6	13	14	7
7	166	199	110
8	214	247	137
9	64	59	71
10	324	246	161
11	492	402	264
12	1043	759	411
13	1908	2069	1221
14	141	170	96
15	2771	2616	2166
16	0	2	1
17	11	4	5
18	960	783	520
19	424	449	302
20	181	160	59
21	8	5	13
22	0	0	0
23	14	15	16
24	60	50	30
25	91	83	50
26	117	131	52
27	1182	864	516
28	47	43	24
29	54	44	21
30	8	1	3
31	223	164	99
32	45	37	38
33	211	162	110
34	64	46	27
35	99	90	55
36	225	151	95
37	642	599	388
38	278	201	131
39	100	69	48
40	117	106	52
41	775	794	515
42	78	65	41
43	239	262	180
44	92	74	51
45	161	129	95
46	120	66	56
47	282	225	92
48	46	37	17
49	475	397	169
50	257	153	105
51	135	130	62
52	1552	1305	944
53	204	182	95
54	291	262	171
55	200	136	64
56	11	11	13
57	1129	901	557
58	834	506	416
59	250	250	91
60	59	68	33
61	12	10	8
62	181	120	61
63	258	235	154
64	221	186	128
65	110	137	74
66	212	155	128
67	373	256	170
68	127	122	98
69	50	36	34
70	5	2	0
71	125	80	46
72	620	470	212
73	35	33	14
74	91	70	26
75	53	46	22
76	205	154	106
77	30	11	6
78	70	42	15
79	303	234	152
80	25	32	23
81	246	201	94
82	612	380	216
83	252	174	76
84	284	195	105
85	923	773	531
86	141	88	59
87	289	217	161
88	633	482	260
89	16	15	15
90	170	139	124
91	358	265	189
92	209	167	83
93	255	234	115
94	524	380	285
95	63	88	49
96	106	96	61
97	796	636	442
98	494	387	177
99	161	141	61
100	73	71	72
101	602	560	281
102	533	350	233
103	600	433	183
104	309	255	128
105	171	120	81
106	520	387	160
107	129	107	63
108	0	0	0
109	141	144	51
110	63	47	34
111	144	158	72
112	19	8	11
113	33	33	17
114	255	255	154
115	8	9	3
116	169	149	81
117	16	13	15
118	98	64	47
119	225	181	126
120	1200	1049	487
121	206	137	120
122	146	94	34
123	3016	2699	1981
124	1049	838	654
125	1409	1366	1135
126	153	122	64
127	203	152	75
128	96	67	51
129	457	409	159
130	3	3	1
131	426	343	186
132	171	159	60
133	314	240	137
134	1083	1126	950
135	675	485	285
136	8	8	3
137	50	40	25
138	1409	1113	867
139	73	54	33
140	288	192	118
141	698	479	293
142	434	391	188
143	367	293	187
144	1057	936	740
145	1024	703	453
146	7	4	1
147	23	16	8
148	55	52	43
149	1854	1692	1166
150	308	279	185
151	285	243	107
152	552	386	246
153	534	538	364
154	1145	947	573
155	806	567	260
156	5	4	5
157	123	105	57
158	36	57	22
159	71	50	28
160	98	73	26
161	1315	1080	598
162	583	308	227
163	29	16	12
164	389	309	108
