	F0	F1	F2
0	341	373	314
1	2	4	4
2	334	280	160
3	1090	1221	999
4	297	293	253
5	638	553	518
6	120	110	106
7	207	250	180
8	217	295	175
9	56	49	82
10	625	521	387
11	797	713	511
12	1069	736	524
13	2358	2779	2172
14	55	52	47
15	2664	2646	2339
16	2	3	0
17	5	7	5
18	1625	1531	1164
19	129	163	124
20	238	212	132
21	44	61	67
22	0	0	0
23	51	61	64
24	39	46	34
25	212	208	122
26	65	77	62
27	1766	1311	1180
28	95	106	86
29	37	25	21
30	10	6	1
31	340	250	174
32	513	487	443
33	241	222	197
34	18	17	11
35	222	275	204
36	434	266	219
37	2600	2064	1651
38	164	154	116
39	78	69	72
40	219	158	120
41	1821	1668	1430
42	28	22	28
43	473	589	527
44	114	111	69
45	208	207	190
46	401	245	205
47	247	240	110
48	55	64	48
49	196	170	139
50	870	545	398
51	126	105	67
52	1251	1171	968
53	227	243	179
54	500	423	343
55	109	92	59
56	20	18	18
57	1106	936	652
58	1147	1054	1009
59	220	224	115
60	64	70	54
61	23	25	18
62	253	212	137
63	289	278	189
64	162	136	110
65	161	150	121
66	69	72	51
67	1799	1381	1092
68	177	165	125
69	23	28	23
70	3	3	2
71	203	134	75
72	170	159	78
73	35	57	22
74	130	99	61
75	63	63	35
76	51	46	44
77	1	5	4
78	60	63	35
79	403	360	282
80	57	55	38
81	417	320	246
82	175	118	114
83	71	62	31
84	484	363	268
85	3189	2783	2381
86	125	143	72
87	113	82	52
88	1448	965	862
89	42	46	31
90	126	129	76
91	322	249	183
92	454	405	215
93	335	366	249
94	271	251	208
95	166	178	112
96	52	37	42
97	699	781	599
98	926	595	363
99	276	224	149
100	50	54	51
101	2090	1849	1403
102	340	242	214
103	2207	1730	1071
104	736	634	470
105	123	74	64
106	153	163	86
107	52	47	42
108	2	1	1
109	320	255	149
110	108	73	45
111	225	204	117
112	67	86	49
113	24	28	36
114	508	541	363
115	8	5	5
116	382	280	202
117	23	15	16
118	302	227	140
119	239	188	194
120	2577	2244	1803
121	83	49	67
122	170	107	59
123	2334	2407	2068
124	2885	2478	2251
125	1160	1127	1007
126	34	26	20
