	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	116914	104798	84920	116390	105320	84455	116615	105235	85755	118243	105171	85736	124670	105352	90204	116008	104775	84672	116478	105342	88300	127124	102988	86338	119962	98878	83908	129161	137759	72999	118275	89142	75209
ARG	91275	81251	64733	92567	82289	64628	93607	81706	65848	95822	84738	68530	116849	98149	71429	99117	89152	68210	108509	92813	65991	89653	85898	67883	95784	89522	66617	86619	87980	63527	81018	74636	58152
ASN	117987	101167	81315	118371	102381	81391	118874	101060	80712	120159	102532	80481	115454	97645	72483	118603	102109	80395	105872	94130	76339	109519	100133	76573	115522	96139	74006	110192	80217	65635	115601	121278	81143
ASP	133579	116712	94260	133961	117166	94906	133626	117784	94621	132437	115356	92719	126258	118372	99107	135097	112626	89470	129342	121134	97374	158165	133321	97628	145830	125803	93041	137779	118044	77323	118048	109909	109975
CYS	18748	16375	13034	18517	16654	13339	18884	16620	13154	18384	16698	12659	20363	18553	11919	17107	14783	11718	16213	16542	13381	18426	16924	12957	17957	18118	13302	18067	16909	16634	16585	16902	12155
GLN	92825	80616	65356	93123	80454	65108	92641	79995	64835	94807	81890	61810	77805	69060	64503	88748	75166	65514	87406	75333	64871	86907	79298	65780	90303	83050	69224	92585	74549	72625	79027	88899	67880
GLU	175646	153130	125912	177942	153163	125649	177430	151689	124671	174000	151794	125333	166530	154623	125647	169008	150699	130610	179962	152128	126555	186522	155101	126688	182174	152962	116480	165883	145830	98870	141916	123759	161493
GLY	116882	104183	83625	117789	104904	84691	118437	107057	84169	118936	107484	84802	130865	118081	84623	131546	126079	88345	116250	112764	86001	126105	116908	87156	119529	113826	85615	131583	154857	98456	76204	85268	73428
HIS	38699	34196	27116	38575	34750	27601	38228	33774	26991	40819	35703	27028	38580	31500	25786	41607	36630	26646	35342	33368	27560	36773	35363	26901	38935	36994	30710	42563	31508	33245	38591	47190	27705
ILE	122516	107351	84270	123313	107758	85541	124141	108246	86087	122430	108002	84329	109148	103338	93210	122481	101574	82446	119727	109979	81860	117015	105951	84858	121603	102808	84475	114449	93964	81479	142106	102316	85452
LEU	174012	151147	120943	175959	152826	119950	174984	153169	121972	173697	150887	125580	205371	165043	126272	185364	154416	117096	170537	144638	124019	169160	145476	121509	174847	160017	126703	174555	152527	134085	196150	173581	112134
LYS	171169	151589	121232	171567	150140	121990	174014	150431	119900	173901	150324	120394	175065	154782	116429	171246	157498	127145	190830	150739	116858	162953	150129	117948	171472	143798	109712	153393	118833	95662	156075	152641	124809
PHE	72694	63911	51033	72659	63692	50554	72930	65094	51267	72932	64206	48760	58211	55288	52103	75059	62298	52361	70557	62726	51007	73715	64484	49811	70987	71822	52993	73786	63265	61729	92124	95051	53649
PRO	84829	73930	60012	85151	73943	60251	85207	75268	61182	86335	75165	60514	94697	79329	57602	100703	92112	67601	111611	86556	63784	88817	73122	64290	88214	75323	77310	117652	90190	103943	117201	91181	59682
SER	150478	129157	104379	150681	130683	104023	151136	132208	104636	150258	132080	105320	153157	129451	99312	141102	124565	100406	146853	132514	109021	157601	134383	108976	152488	136148	115736	161262	143387	127012	182514	149483	100322
THR	108618	93402	76248	108144	94081	76503	108671	95023	77499	110603	95740	78254	102231	87096	77308	104945	90600	72754	107080	92387	76354	106608	92861	78649	110516	85235	77890	107472	87452	75304	144013	88213	73667
TRP	18846	16625	12990	19004	16661	12900	18818	17144	13075	18668	17044	13941	24481	18776	12448	19591	17452	13582	20591	17765	14441	19343	17373	14446	21939	19960	14326	20764	20777	22059	22586	10960	12391
TYR	63036	55039	44364	64011	56058	44094	63037	56365	43867	63304	56146	42619	60234	54998	40277	60636	53888	45270	63148	57375	44301	60206	53103	43543	60757	58660	42857	61332	46596	45072	63790	72410	47116
VAL	116310	102068	83536	116674	104846	84390	117137	103872	84161	116974	103995	87083	110381	100374	87619	111331	94830	84597	114854	106883	84448	120909	103598	82338	116223	99960	81972	122266	108472	76002	111031	83145	89206
TERM	2909	2567	2067	2707	2289	1918	2680	2146	1925	2412	2250	2180	16955	20203	2482	3118	2402	1741	1956	2026	1838	1999	1844	1715	1692	1745	1441	1594	1598	1443	1318	1399	1578
MET	31777	27796	22253	32171	28482	22281	32616	28236	22186	31669	27904	22838	27077	25754	22682	30987	26926	24278	31851	25522	22805	30369	26758	23079	33498	26411	22337	29767	24383	19377	40604	23770	17639
