Position	Raw_counts	CPM
-97	4185	2709
-96	4551	2946
-95	8915	5771
-94	4284	2773
-93	4831	3127
-92	8645	5596
-91	4253	2753
-90	4891	3166
-89	8916	5772
-88	4333	2805
-87	4720	3056
-86	8755	5668
-85	4403	2850
-84	4848	3138
-83	8900	5761
-82	4215	2729
-81	4968	3216
-80	8846	5727
-79	4550	2945
-78	4840	3133
-77	8971	5807
-76	4143	2682
-75	4652	3012
-74	8779	5683
-73	4293	2779
-72	4680	3030
-71	7997	5177
-70	4113	2663
-69	4529	2932
-68	8152	5277
-67	3770	2441
-66	4401	2849
-65	8241	5335
-64	3880	2512
-63	4520	2926
-62	7875	5098
-61	3944	2553
-60	4275	2767
-59	7806	5053
-58	3830	2479
-57	3956	2561
-56	7598	4919
-55	3760	2434
-54	4098	2653
-53	7313	4734
-52	3910	2531
-51	4293	2779
-50	7296	4723
-49	3762	2435
-48	3934	2547
-47	7119	4609
-46	3715	2405
-45	3735	2418
-44	6876	4451
-43	3207	2076
-42	3649	2362
-41	6399	4142
-40	3188	2064
-39	3461	2241
-38	6035	3907
-37	2979	1928
-36	3337	2160
-35	5671	3671
-34	3152	2040
-33	3217	2083
-32	5760	3729
-31	2886	1868
-30	2982	1930
-29	5386	3487
-28	2781	1800
-27	2923	1892
-26	5287	3423
-25	2693	1743
-24	2718	1760
-23	4638	3002
-22	2533	1640
-21	2657	1720
-20	4170	2699
-19	2518	1630
-18	5337	3455
-17	6444	4172
-16	2851	1846
-15	1803	1167
-14	1708	1106
-13	1758	1138
-12	1596	1033
-11	1845	1194
-10	1846	1195
-9	1686	1091
-8	1844	1194
-7	1893	1225
-6	1660	1075
-5	1727	1118
-4	1786	1156
-3	1604	1038
-2	1841	1192
-1	1817	1176
0	1493	967
1	1686	1091
2	1912	1238
3	2668	1727
4	1653	1070
5	1822	1179
6	1454	941
7	1445	935
8	1360	880
9	1438	931
10	1397	904
11	1378	892
12	1478	957
13	1412	914
14	1240	803
15	1326	858
16	1452	940
17	1405	910
18	1409	912
19	1376	891
20	1412	914
21	1303	844
22	1215	787
23	1271	823
24	1263	818
25	1208	782
26	1332	862
27	1238	801
28	1178	763
29	1154	747
30	1226	794
31	1190	770
32	1178	763
33	1156	748
34	1099	711
35	1045	676
36	1099	711
37	1069	692
38	1070	693
39	1016	658
40	1012	655
41	1049	679
42	1029	666
43	1066	690
44	936	606
45	1039	673
46	955	618
47	981	635
48	1015	657
49	912	590
50	984	637
51	979	634
52	890	576
53	891	577
54	921	596
55	911	590
56	877	568
57	798	517
58	963	623
59	827	535
60	870	563
61	816	528
62	739	478
63	807	522
64	786	509
65	886	574
66	740	479
67	760	492
68	808	523
69	661	428
70	700	453
71	653	423
72	669	433
73	749	485
74	720	466
75	663	429
76	732	474
77	763	494
78	630	408
79	574	372
80	652	422
81	685	443
82	634	410
83	610	395
84	623	403
85	596	386
86	628	407
87	627	406
88	649	420
89	549	355
90	590	382
91	566	366
92	628	407
93	557	361
94	573	371
95	487	315
96	540	350
97	564	365
98	532	344
99	519	336
100	506	328
101	580	375
102	472	306
