cds_id	sc5314_ut_rep01	sc5314_ut_rep02	sc5314_ut_rep03	plc124_ut_rep01	plc124_ut_rep02	plc124_ut_rep03
XP_719073.1	850	936	1341	616	722	889
XP_719072.1	65	93	191	37	20	24
XP_719071.2	1686	2489	3770	3772	4070	5196
XP_719068.2	2705	3392	3155	4394	4898	4265
XP_019330598.1	6631	12260	9044	14718	16031	7689
XP_719061.1	534	853	652	806	1033	585
XP_719062.1	42	108	62	88	81	63
XP_719059.1	1292	1626	1592	1421	1438	1365
XP_719058.1	9695	14913	12934	16925	19023	10443
XP_719055.1	1989	2447	2550	2150	2290	2640
XP_719053.1	2358	3156	3084	2623	2959	2756
XP_719052.1	2109	2933	2299	2351	2925	1899
XP_719051.1	470	707	467	732	940	454
XP_719050.1	45719	55225	47312	43545	45625	51601
XP_719048.1	2880	3645	3059	1034	1122	926
XP_719047.1	124145	161605	137702	135599	153231	149282
XP_719046.1	64	62	25	81	110	78
XP_719045.1	196	198	204	124	148	134
XP_719044.2	6991	9444	8745	7247	8031	7861
XP_719043.1	21272	30186	19971	34144	37969	30940
XP_719042.1	1262	1527	1583	1332	1392	1547
XP_719041.2	612	844	2233	517	624	408
XP_019330599.1	0	0	0	0	0	0
XP_719040.2	983	1254	3183	316	391	300
XP_719039.1	2064	2773	2385	2309	2668	2365
XP_719038.1	1183	1586	1653	1698	1868	2089
XP_719037.2	1804	2465	2357	2210	2357	2673
XP_719036.1	3563	3998	4328	3326	3731	4530
XP_719035.1	3130	3768	2458	2776	2959	3364
XP_719034.1	814	1066	861	769	895	766
XP_019330600.1	239	328	322	307	359	270
XP_719033.1	2538	2983	2757	2685	3135	2906
XP_719032.1	5567	7548	6527	4855	5535	4916
XP_719030.1	7906	10060	9411	10752	11076	12863
XP_719028.2	2774	3100	2626	3120	3381	2830
XP_719027.1	1480	2081	1992	1850	2055	2008
XP_719026.2	1315	1684	1863	1682	1821	1763
XP_019330601.1	6585	7873	8831	7210	8035	8521
XP_019330602.1	4446	5353	5054	4291	4732	5022
XP_719024.1	3326	4047	4442	3534	3846	3308
XP_719023.1	1602	1936	1647	2292	2350	2294
XP_719022.1	10353	12272	11695	9716	10761	12700
XP_719021.1	2781	3467	3665	2887	3009	3658
XP_719020.1	4594	5696	5686	5124	5271	6343
XP_719019.1	1847	2319	2475	2188	2265	2538
XP_719018.1	904	1002	914	912	1002	1191
XP_719017.1	617	864	752	874	1043	463
XP_719016.2	3257	4065	3455	4102	4402	4105
XP_719015.2	1324	1556	1463	1722	1774	2012
XP_719014.1	3237	3955	3313	3486	4012	4103
XP_719011.2	2192	2669	2234	2794	2957	3188
XP_719010.1	391	588	559	464	527	497
XP_719009.1	33772	41995	45348	37059	37583	36730
XP_719008.2	4763	5872	5252	5456	6258	5963
XP_719007.1	5712	7567	7049	6804	7147	7346
XP_719006.1	1596	2055	2064	2245	2229	2494
XP_719005.1	380	482	341	311	390	275
XP_719003.2	21895	24888	22711	22409	25618	22475
XP_719002.1	3026	3499	3770	2574	2824	3484
XP_719001.1	1903	2507	2325	2459	2848	2767
XP_719000.1	621	765	724	950	1057	1073
XP_718999.1	478	707	640	350	374	359
XP_718998.2	1504	1558	1800	1616	1730	1576
XP_718997.1	1954	2497	2200	1926	2154	2054
XP_019330603.1	21595	25310	21442	22026	24504	22942
XP_718995.2	2126	3057	2400	3384	3861	2471
XP_718994.2	2878	3483	2681	3690	4237	2512
XP_718993.2	2447	3129	2981	3119	3586	3186
XP_718992.1	854	1151	1000	355	454	362
XP_718991.1	1732	2133	1651	1858	1855	1954
XP_718990.2	229	276	288	296	287	229
XP_718989.2	378	507	469	458	540	454
XP_718988.2	3029	3322	3406	1966	1863	2468
XP_718987.2	536	597	867	396	322	493
XP_718986.1	212	230	262	257	287	295
XP_718985.2	572	568	536	280	236	201
XP_718984.2	2869	4299	2735	5050	5571	3919
XP_718983.1	276	374	264	289	339	298
XP_718982.1	246	327	269	244	318	277
XP_718980.2	3476	4071	3709	3042	3466	3848
XP_718979.2	372	470	434	614	718	559
XP_718978.1	1334	1545	1604	1132	1185	1184
XP_718976.1	2873	3363	2853	2632	2809	3132
XP_019330604.1	472	620	464	575	660	695
XP_718974.1	3054	3429	2963	3128	3685	3490
XP_019330605.1	15737	20116	17695	20225	23278	19984
XP_019330606.1	1692	2063	1955	1481	1552	1627
XP_718972.1	9922	12197	9767	13406	15895	13059
XP_718971.1	3693	4058	3885	3474	4016	4274
XP_019330607.1	264	322	304	291	299	280
XP_019330608.1	1377	1531	1813	1288	1252	1545
XP_718111.2	11608	12847	11284	9350	10264	11023
XP_718112.1	1269	1538	1368	1696	1838	1806
XP_718113.2	5166	6847	6898	5232	5912	4907
XP_718114.1	6551	7809	6635	6213	6938	5847
XP_718115.1	1009	1348	1694	1541	1597	1647
XP_718116.1	3992	4911	4148	5403	5891	5598
XP_718117.1	13361	16446	17872	10818	11728	13284
XP_718118.2	1471	1649	1478	1349	1470	1528
XP_718119.1	928	1125	936	1070	1088	1053
XP_718120.1	1625	1956	1966	1766	1782	1911
XP_718121.1	7836	8925	8442	8811	9856	9060
XP_718123.1	10640	13469	11748	11806	12829	12393
