	F0	F1	F2
0	0	0	0
1	0	0	0
2	1	3	0
3	0	0	0
4	1	2	2
5	0	0	0
6	0	0	0
7	2	1	2
8	0	0	0
9	1	1	0
10	0	0	0
11	7	7	7
12	2	4	10
13	20	37	13
14	33	73	24
15	0	0	0
16	121	332	105
17	52	103	39
18	0	0	0
19	147	322	103
20	52	106	36
21	1	2	1
22	55	222	64
23	94	258	77
24	16	40	30
25	27	56	23
26	0	1	0
27	82	208	77
28	6	9	12
29	0	0	0
30	25	35	17
31	173	301	171
32	97	333	71
33	0	0	0
34	401	942	348
35	409	988	296
36	188	482	129
37	145	417	97
38	538	1148	689
39	1	0	0
40	0	0	0
41	7	5	5
42	478	1115	354
43	2647	4507	2442
44	0	1	0
45	132	355	80
46	35	49	27
47	112	365	113
48	93	265	62
49	0	0	0
50	60	129	34
51	27	80	31
52	305	796	281
53	16	21	17
54	48	105	28
55	156	77	106
56	214	444	191
57	859	2223	652
58	296	792	197
59	158	372	138
60	64	133	27
61	75	260	72
62	43	134	76
63	0	4	0
64	392	1021	334
65	0	0	0
66	130	345	90
67	0	0	0
68	0	0	0
69	97	206	94
70	111	251	74
71	35	83	24
72	352	1039	205
73	298	735	243
74	146	363	104
75	27	70	25
76	91	204	80
77	63	110	33
78	199	604	144
79	1104	2351	1072
80	0	0	0
81	2685	3657	2388
82	35	104	38
83	95	269	104
84	149	351	103
85	118	251	100
86	75	138	39
87	118	192	103
88	70	163	63
89	221	532	235
90	115	235	106
91	56	115	41
92	30	97	26
93	1	1	0
94	0	1	1
95	1	2	0
96	29	85	23
97	18	37	5
98	9	17	15
99	2	1	0
100	16	39	9
101	43	132	35
102	7	17	5
103	0	0	0
104	212	441	130
105	0	2	0
106	2	4	3
107	0	2	0
108	0	0	0
109	0	0	0
110	0	1	0
111	9	1	2
112	1	0	0
113	0	0	0
114	4	6	4
115	0	10	2
116	0	0	0
117	12	15	18
118	0	0	0
119	0	0	0
120	0	0	0
121	0	1	1
122	0	0	0
123	0	0	0
124	0	0	0
125	52	111	106
126	60	146	39
127	260	547	231
128	66	155	55
129	192	667	152
130	38	94	22
131	53	126	35
132	1	2	1
133	0	0	0
134	65	129	31
135	5	12	4
136	447	1131	385
137	0	2	1
138	23	46	25
139	0	0	1
140	209	580	116
141	851	1316	786
142	18	53	25
143	211	458	236
144	52	130	41
145	32	79	23
146	70	128	64
147	424	751	440
148	272	873	185
149	330	927	239
150	101	261	66
151	13	20	52
152	24	55	14
153	272	904	192
154	59	177	42
155	310	818	287
156	59	174	24
157	0	0	0
158	545	958	575
159	49	50	104
160	30	74	28
161	0	0	1
162	249	561	253
163	5	3	12
164	106	272	77
165	0	0	1
166	1	0	0
167	79	174	46
168	33	49	22
169	54	109	50
170	112	255	79
171	113	302	78
172	2	0	0
173	31	73	36
174	72	210	76
175	0	0	0
176	206	445	152
177	83	242	94
178	54	146	49
179	37	123	38
180	262	690	246
181	111	197	71
182	43	114	57
183	40	94	48
184	215	534	146
185	0	0	0
186	685	1436	526
187	445	899	248
188	271	642	173
189	1	0	0
190	1	0	0
191	837	1546	832
192	173	401	144
193	28	92	18
194	0	0	0
195	0	1	1
196	134	342	87
197	253	596	198
198	123	288	97
199	17	24	8
200	381	923	311
201	3	0	5
202	169	378	125
203	65	146	44
204	72	211	83
205	136	377	105
206	212	511	209
207	83	264	58
208	161	565	163
209	101	224	96
210	50	164	33
211	7	24	11
212	21	63	16
213	154	500	129
214	1798	2333	1586
215	98	265	61
216	24	92	25
217	572	1247	474
218	100	239	84
219	568	1343	504
220	81	209	77
221	77	207	73
222	17	35	12
223	55	89	57
224	314	526	241
225	101	294	55
226	14	43	15
227	145	337	118
228	24	56	19
229	0	0	0
230	115	291	131
