	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
CYS	7100	18299	5707	7038	17529	5527	7209	18078	5678	7596	19338	5921	6460	13131	5262	7955	20613	5894	6341	17032	6283	7209	19112	5976	6850	19940	5843	6486	18794	6772	6348	12904	3520
TERM	2401	4819	2202	2377	4786	2106	2202	4110	2057	2114	3797	1987	2129	3232	1980	1346	1397	1527	1210	1462	1484	1375	1478	1530	1349	1526	1503	1285	1583	1594	1229	1417	1670
ASP	44313	111536	36311	44423	113521	36717	44776	114810	36833	44013	106642	37774	45553	116272	38866	52433	148727	42991	44064	114666	40479	46103	109418	37833	45398	114849	37717	47193	102028	32907	47707	87747	53617
SER	56146	144100	44350	56543	146930	44083	57134	147474	44273	57538	154708	43827	57029	149370	44323	54050	139386	42921	56824	146906	43562	57212	150448	44342	57778	145647	44473	56727	156048	47672	55575	195511	35204
GLN	28952	72995	22844	28520	74186	22658	28751	72479	22800	28861	75642	23421	25328	54525	21293	30638	75931	22992	30195	76887	22168	25995	68390	22428	28972	75484	23226	30423	82247	22009	23069	83584	21834
LYS	65871	159942	53455	66121	163261	53743	65783	163333	52872	67253	161668	53801	73041	195748	56183	69398	168518	54568	74689	170954	55402	65187	158278	58451	72142	171104	60073	71684	159630	52338	64132	170658	53874
ILE	40956	103875	32440	40286	103052	32067	40788	103468	32593	41914	109691	32725	41492	111856	32767	39002	90572	31779	39639	99142	33203	42165	120627	35172	41034	105021	35468	43681	107626	39200	59842	126207	39142
PRO	26928	70390	21390	27402	70149	21705	27758	72153	21298	27987	75861	21524	26939	70421	22171	30355	89300	21746	25375	59965	18208	25285	59833	18676	27239	58611	19003	30003	73218	19255	25847	106430	18473
THR	37964	96429	30421	37993	96075	29627	37689	95010	29970	38201	96946	30302	35618	78149	27922	37517	100668	29324	38894	93313	27110	37765	91903	28432	43181	89418	28793	39328	91806	30630	53620	122536	29621
PHE	24888	65252	19939	24349	61731	19766	24860	62922	20109	25605	69405	19690	22825	57310	19436	23790	55653	18737	22253	62016	21614	25118	66001	19919	22628	64472	20161	27304	74066	27192	28727	97837	20931
ALA	44917	106194	35714	44811	107435	36492	44705	105005	35298	42169	92859	34769	42783	96380	35061	40169	89489	34370	45546	109063	34913	50897	106308	34537	50279	105311	33873	44333	99998	30247	44203	88193	29427
GLY	37923	92890	30292	38307	95279	31352	39148	96423	31845	38332	88847	31160	41301	98190	32054	43329	114255	33987	38739	103240	32954	38798	97343	31103	35121	99735	31676	34021	98082	29130	24632	42249	19396
HIS	13344	33824	10601	13416	33701	10471	13049	33681	10346	13894	35549	10671	10191	17279	9408	15021	40494	10661	12339	36620	10591	11566	31398	9948	12424	34167	10817	15327	35330	10485	13399	50526	10158
GLU	60743	150277	50166	61560	151693	50214	61861	151854	52371	61119	140738	53132	70626	183963	55966	63942	152647	54245	67867	157232	54944	66059	142953	52917	68013	160700	52834	56559	144144	46253	49534	97813	85927
LEU	59713	152953	47677	59663	151256	48083	59702	153001	47707	62308	168703	48686	60973	166016	49077	57452	135286	46345	63505	161126	48371	65279	164457	50754	59928	155846	50047	63742	175578	59991	62219	171942	40058
ARG	38411	93303	31141	39197	93290	30945	39514	94633	31624	40370	96819	31545	40858	94889	31579	37912	84045	32335	43365	103200	34481	39842	106606	35534	37986	109761	34828	34538	113265	33104	34076	57982	20630
TRP	6319	16477	4957	6550	15825	5234	6375	15691	5157	6549	17638	5147	5937	11963	5292	6469	13980	5126	7044	18771	5827	6961	18222	6238	7192	16859	5593	6409	18479	6929	5812	6264	3687
VAL	41832	102009	33709	42388	103076	34542	43313	103247	34609	41140	92755	34188	41847	99998	34879	38889	81680	33071	40519	97577	34756	48028	117129	34241	43132	110660	34430	43845	100909	32350	48399	71668	45441
ASN	39936	103598	31305	40394	104003	32291	39750	104572	31904	40071	104803	31752	38159	93280	30578	44317	137036	34456	36733	100243	31668	36018	104361	32505	38884	103209	32825	45015	93686	32053	49008	136850	36045
TYR	20303	52437	16173	20296	51887	16034	20243	52347	16360	20437	55696	16131	21598	64329	16907	19084	44620	16059	17614	49793	16921	19809	51250	15900	18777	49969	15307	22817	48438	19367	21047	76106	17612
MET	11690	30316	9245	11998	29448	9226	11854	29376	9670	11850	31215	9529	11370	28013	9068	10862	23415	8878	13490	33773	9296	12130	32290	10038	12837	30341	10066	12558	31803	11216	16888	25962	6490
