	F0	F1	F2
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	1	1
5	0	1	0
6	0	1	0
7	3	4	2
8	0	0	0
9	1	0	0
10	1	0	2
11	8	6	2
12	7	6	5
13	16	25	4
14	35	73	24
15	0	0	0
16	77	262	54
17	33	94	24
18	0	0	0
19	116	310	91
20	52	121	45
21	3	1	0
22	68	184	35
23	82	263	50
24	24	56	19
25	29	57	13
26	0	0	0
27	77	246	71
28	9	25	22
29	0	1	0
30	19	39	16
31	142	270	136
32	71	264	51
33	0	0	0
34	273	801	253
35	304	822	222
36	196	625	120
37	98	315	51
38	532	1064	560
39	0	0	0
40	0	0	0
41	4	9	3
42	661	1423	390
43	2407	4583	2164
44	1	0	1
45	107	303	77
46	24	43	32
47	123	338	106
48	81	287	46
49	0	0	0
50	44	120	24
51	27	71	21
52	258	686	202
53	8	25	6
54	50	107	38
55	147	67	64
56	171	466	172
57	984	2455	667
58	255	685	159
59	132	335	90
60	41	130	27
61	67	202	61
62	41	95	34
63	0	1	1
64	313	968	237
65	0	0	0
66	107	306	71
67	0	0	0
68	0	0	0
69	82	218	74
70	110	245	83
71	23	57	26
72	363	959	166
73	219	530	195
74	163	440	105
75	22	65	28
76	79	199	43
77	41	107	33
78	206	588	140
79	803	1761	707
80	0	0	0
81	2734	3736	2178
82	38	103	37
83	89	240	67
84	155	384	93
85	103	240	83
86	48	141	39
87	105	186	52
88	57	123	46
89	163	499	160
90	114	250	90
91	44	122	29
92	25	82	24
93	0	0	1
94	0	0	0
95	2	0	1
96	42	94	21
97	11	31	14
98	13	20	24
99	1	0	3
100	23	50	19
101	33	120	24
102	3	19	8
103	0	0	0
104	161	408	99
105	0	0	0
106	0	3	2
107	0	2	0
108	0	0	0
109	0	0	0
110	0	0	0
111	5	4	2
112	0	0	0
113	0	0	0
114	4	8	3
115	3	4	4
116	0	1	0
117	6	13	6
118	0	0	0
119	0	0	0
120	0	0	0
121	0	0	0
122	0	0	3
123	0	0	0
124	0	0	0
125	46	105	92
126	40	125	31
127	185	511	140
128	40	142	53
129	201	649	135
130	27	81	28
131	35	96	27
132	0	0	0
133	0	0	0
134	50	127	37
135	8	13	4
136	363	992	310
137	0	0	2
138	17	45	23
139	0	0	0
140	192	541	86
141	967	1409	775
142	16	46	10
143	142	343	159
144	49	155	35
145	26	62	19
146	49	125	49
147	460	872	398
148	292	852	165
149	225	722	155
150	82	236	45
151	21	11	41
152	11	47	23
153	202	799	141
154	42	140	23
155	254	702	225
156	51	193	24
157	0	0	0
158	434	863	450
159	37	44	94
160	25	56	22
161	0	0	1
162	252	589	251
163	2	4	6
164	76	289	95
165	0	0	1
166	0	0	0
167	69	150	39
168	21	67	12
169	44	149	41
170	117	280	80
171	73	255	61
172	0	0	0
173	37	78	21
174	63	200	59
175	0	1	0
176	163	406	104
177	94	217	71
178	55	151	39
179	37	102	25
180	174	506	147
181	84	189	47
182	61	147	54
183	42	102	31
184	171	622	120
185	0	0	0
186	582	1505	509
187	390	966	221
188	322	731	178
189	0	0	0
190	1	0	0
191	665	1415	748
192	134	435	93
193	24	82	23
194	0	0	0
195	1	1	1
196	119	344	79
197	190	564	137
198	115	337	78
199	8	33	6
200	336	962	290
201	5	3	0
202	168	543	95
203	53	148	37
204	47	227	67
205	95	357	75
206	195	568	197
207	50	192	44
208	168	489	159
209	110	271	86
210	46	164	29
211	8	26	5
212	14	48	12
213	165	456	125
214	1558	2242	1341
215	91	335	56
216	36	70	13
217	453	1159	340
218	83	248	67
219	454	1081	391
220	64	203	63
221	65	163	50
222	14	35	13
223	41	77	46
224	230	518	187
225	64	204	52
226	19	47	7
227	138	330	87
228	14	39	14
229	0	0	0
230	84	271	107
231	93	272	55
