	D	C	pval
0	-14	25303	0.0
11	22	13858	0.0
10	19	13599	0.0
5	4	13584	0.0
14	31	13508	0.0
12	25	13446	0.0
13	28	13398	0.0
9	16	13238	0.0
8	13	13039	0.0
7	10	13028	0.0
15	34	12849	0.0
16	37	12654	0.0
17	40	12590	0.0
6	7	12543	0.0
18	43	12063	0.0
19	46	11771	0.0
20	49	11186	0.0
21	52	10885	0.0
3	-2	10746	0.0
22	55	10644	0.0
23	58	10459	0.0
24	61	10332	0.0
25	64	9951	0.0
4	1	9917	0.0
2	-5	9720	0.0
26	67	9317	0.0
27	70	8927	0.0
28	73	8919	0.0
1	-11	8400	4.4604862040609206e-06
29	76	8314	0.0002377166639315753
30	79	8251	0.002571027858633501
