	F0	F1	F2
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	1
12	1	0	2
13	2	0	1
14	0	5	1
15	0	0	0
16	1	8	2
17	1	7	5
18	0	0	0
19	11	12	4
20	2	0	3
21	0	0	1
22	7	9	5
23	4	2	1
24	1	3	0
25	4	4	1
26	0	0	0
27	7	6	5
28	0	1	0
29	0	0	0
30	2	1	0
31	11	10	8
32	17	17	10
33	0	0	0
34	23	32	29
35	22	25	12
36	11	19	6
37	7	7	4
38	51	72	80
39	0	0	0
40	0	0	0
41	0	0	1
42	33	44	28
43	183	232	181
44	0	0	0
45	4	13	4
46	0	2	5
47	4	10	5
48	1	5	1
49	0	0	0
50	5	8	7
51	3	0	0
52	21	30	22
53	0	2	0
54	1	5	0
55	6	2	5
56	12	13	7
57	39	62	34
58	14	25	6
59	11	18	12
60	6	8	4
61	9	15	18
62	4	4	5
63	0	0	1
64	30	45	21
65	0	0	0
66	12	23	11
67	0	0	0
68	0	0	0
69	7	7	9
70	7	4	6
71	4	6	4
72	10	22	10
73	14	16	16
74	19	22	9
75	2	1	0
76	5	10	2
77	4	3	1
78	1	7	9
79	81	121	110
80	0	0	0
81	244	344	265
82	4	6	4
83	6	13	9
84	10	10	14
85	3	7	8
86	12	14	3
87	8	8	2
88	4	7	3
89	29	28	22
90	6	5	8
91	3	3	1
92	3	3	0
93	0	0	0
94	0	0	0
95	0	0	0
96	2	4	1
97	2	0	0
98	2	3	1
99	0	0	0
100	3	0	0
101	7	1	0
102	0	0	1
103	0	0	0
104	15	16	12
105	0	0	0
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
110	2	1	0
111	1	0	0
112	0	0	0
113	0	0	0
114	6	12	14
115	0	0	0
116	0	0	0
117	0	0	0
118	0	0	0
119	0	0	0
120	0	0	0
121	0	0	0
122	0	0	0
123	0	0	0
124	0	0	0
125	3	3	0
126	3	3	4
127	28	24	13
128	7	16	3
129	13	31	7
130	1	4	2
131	6	9	3
132	0	0	0
133	0	0	0
134	2	3	5
135	4	1	1
136	37	41	15
137	0	0	0
138	2	1	0
139	0	0	0
140	14	15	15
141	63	72	34
142	1	1	0
143	16	17	25
144	7	4	2
145	5	4	2
146	4	3	7
147	13	24	18
148	8	18	9
149	24	29	14
150	5	7	0
151	3	0	0
152	0	0	2
153	17	29	19
154	0	2	1
155	20	19	17
156	1	2	2
157	0	0	0
158	25	44	29
159	5	4	9
160	1	2	1
161	0	0	0
162	14	38	21
163	1	2	4
164	3	5	1
165	0	0	0
166	0	0	0
167	1	8	6
168	1	3	1
169	6	4	3
170	9	10	3
171	7	11	6
172	0	0	0
173	0	1	1
174	7	4	0
175	0	0	0
176	12	33	17
177	7	9	11
178	1	0	5
179	1	4	0
180	20	40	13
181	8	8	3
182	2	6	4
183	7	7	7
184	39	44	14
185	0	0	0
186	28	35	27
187	26	28	26
188	11	12	10
189	0	0	0
190	0	0	0
191	67	68	74
192	8	11	9
193	3	3	2
194	0	0	0
195	0	0	0
196	7	11	3
197	9	23	3
198	5	4	5
199	0	1	1
200	18	22	14
201	1	0	1
202	2	10	3
203	4	8	4
204	4	8	5
205	19	13	6
206	22	21	12
207	7	5	2
208	9	11	9
209	4	1	1
210	2	2	0
211	0	0	0
212	2	2	1
213	4	7	3
214	157	142	145
215	0	5	1
216	3	3	0
217	38	46	30
218	13	16	9
219	37	43	26
220	0	0	1
221	5	9	2
222	2	1	2
223	3	0	2
224	30	26	19
225	9	8	1
226	2	2	1
227	10	11	7
228	1	4	0
229	0	0	0
230	13	17	8
231	15	12	10
232	6	9	3
233	1	2	0
