	D	C	pval
16	-17	818	0.0
14	-50	332	7.993605777301127e-15
3	-86	294	3.485352773058281e-08
15	-47	290	1.3344375959789545e-07
10	-65	286	4.845725570801207e-07
6	-77	281	2.25280908772163e-06
7	-74	274	1.679258353615154e-05
5	-80	273	2.206900811863033e-05
0	-95	273	2.206900811863033e-05
1	-92	269	6.359047864412659e-05
4	-83	268	8.213225523512335e-05
8	-71	263	0.0002800707378680656
11	-62	262	0.0003541807432579924
9	-68	260	0.0005604295799369607
2	-89	258	0.000874259081620421
13	-53	255	0.0016584019524028548
12	-59	249	0.005416216461668899
