	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
CYS	5714	8069	4941	5880	8309	4909	5830	8273	5136	6208	8284	5049	5564	7727	4962	5463	7841	4898	5317	7517	5350	5855	8150	5323	5876	8530	5122	5712	8370	6466	5339	4920	4172
TERM	2242	3129	2009	2287	3379	1964	2145	3042	2060	2089	2901	2258	6914	11814	3832	1996	1768	1709	1346	1647	1644	1366	1488	1433	1306	1395	1410	1135	1506	1376	1057	966	1311
ASP	37300	55584	33906	37424	55705	34391	38059	56269	35292	37463	55773	35464	37901	55924	36475	41775	63809	39752	42541	61866	38810	43837	67062	38357	40992	64097	36363	39172	56832	28976	29082	60328	54885
SER	45985	65589	39841	46152	67199	39551	46044	66882	38970	45775	66125	38430	44039	64084	39292	43567	62160	37444	42919	61174	37878	44979	64306	39753	45961	65026	41344	48713	72749	46159	52603	77338	33647
GLN	23418	34024	21094	24151	34539	20777	24094	33727	20415	23850	34356	21278	21631	29906	20152	23594	32159	19755	20853	29659	20443	22399	31559	20681	24928	35269	23187	27366	34587	21540	29850	32138	21344
LYS	54625	78987	48738	54661	78897	48713	55945	80121	48606	57389	83014	50135	61496	88906	49606	59625	86931	50431	62778	91141	52137	58375	84619	52960	60562	85516	51705	57131	80479	46318	56041	83312	42249
ILE	33032	47380	28271	32436	47016	28403	32554	46998	28547	32351	45806	27631	30981	44224	28304	34398	49030	29569	33730	48284	28783	32656	48315	29830	33744	50693	32245	35847	52643	40157	50115	61774	31987
PRO	22394	31220	19326	22888	31162	19137	21644	30704	18537	21803	30671	18762	25602	39169	20333	24251	33655	18465	23970	32500	17288	19523	25921	16940	20418	26903	19242	27053	33354	21334	29777	38749	17902
THR	30405	43346	27175	30313	43208	26603	29945	42959	26419	30221	44122	26398	28569	39847	25557	28450	39527	24621	28826	40384	24307	28459	39950	25590	31708	42304	27463	33556	47037	31561	41411	60918	24046
PHE	19675	28630	17582	19568	28436	17149	19296	27801	17418	19309	27271	16220	16627	23243	16302	19550	28018	16956	18100	25675	16652	18516	26724	16283	18918	29247	18413	21269	34805	26342	30457	39073	20014
ALA	36768	52391	33181	37180	51775	33589	36575	52164	33219	36618	52001	32980	35828	51289	32595	35018	48922	31877	34675	48658	32160	37826	51167	32688	36476	48604	29723	34411	48857	23459	23541	55110	28319
GLY	33187	47365	29646	33445	47712	30402	34560	48289	30646	33771	48111	31071	36649	53126	31850	37048	54954	33357	35145	52109	32567	37969	55751	32143	33589	47450	28195	29572	42616	20886	9517	23458	25093
HIS	10944	15143	9516	11162	15932	9384	10890	15316	9464	11260	15761	9679	10721	14802	9694	10160	13918	8551	8969	13206	8755	9325	13658	8715	10655	15352	10413	12482	15754	10866	16861	18853	10836
GLU	54898	80483	50026	55088	81153	50569	56398	82450	52377	56643	83932	54205	58346	85193	53805	55093	80408	55717	62446	92423	58138	65114	93654	54827	58673	83514	48556	51575	75005	38897	27965	66153	73603
LEU	48260	69004	41857	48595	68980	42598	48865	69734	41966	48073	68273	42221	49024	69379	42369	47462	66809	41360	46300	65413	42489	49320	68104	42820	49976	73347	46404	53788	81807	56648	73613	73576	33956
ARG	32977	46072	28812	33790	46689	29246	34803	48206	30147	36434	51057	31036	42367	60773	33343	38549	54473	33492	44141	61675	33478	35571	50737	32592	36824	51749	30860	32477	45498	27627	26918	25725	22736
TRP	5781	8351	4901	5932	8601	5224	6192	8753	5098	6168	8613	5375	8856	13549	7148	6311	8320	5349	5851	8831	5734	6748	9462	6194	6981	9688	5562	5869	8388	7073	4878	1994	2791
VAL	35476	50636	32083	35547	50004	32369	36282	51970	32791	35829	50992	33523	33469	45745	30833	34945	50270	32972	35629	49958	31290	36271	51631	30964	33469	48247	29366	32218	46363	26325	25102	42967	41425
ASN	32942	47190	27897	32462	47673	28301	31941	46671	28362	33192	47570	27262	28453	39309	26528	33203	48917	26271	28812	42949	26180	29790	45202	27670	33033	50111	30100	34688	50339	30301	42725	69277	33059
TYR	16454	23089	14363	16369	23843	14338	15823	22894	14200	15696	22328	13341	15691	22320	13517	14429	21147	13578	14462	21888	14407	14869	20915	13309	15831	24057	15164	18787	27377	19536	23553	32922	17555
MET	10884	15539	9134	10972	15744	9207	10923	15991	9441	11124	15498	9335	9863	14577	8909	11049	15064	9280	10902	14514	9008	11184	16039	10199	12240	16601	10382	11300	16459	11385	15724	13628	4486
