Sample	Total reads 	Trimmed	Mapped 	Deduplicated 	mRNA	rRNA	snoRNA	ncRNA	tRNA	snRNA
sc5314_fluc_rep01	18725749	18703339	17304230	1328966	1179098	57848	8201	851	108	66
sc5314_fluc_rep02	15156999	15136738	13913353	1090123	963854	52466	6501	693	126	65
sc5314_fluc_rep03	14780507	14761864	13630384	1052491	922942	54035	5482	870	100	81
sc5314_ut_rep01	19430879	19405994	17803141	1347158	1167711	90116	8080	562	93	35
sc5314_ut_rep02	9324059	9311576	8460310	664256	577513	37056	3612	552	68	153
sc5314_ut_rep03	8293685	8256589	7196295	 588531	498484	37227	5286	619	67	34
plc124_fluc_rep01	16453080	16433738	14410914	1076291	942798	61125	8014	345	129	71
plc124_fluc_rep02	24326456	24278025	21611078	1687728	1487514	88556	8898	585	172	160
plc124_fluc_rep03	11922467	11904165	10685082	519690	733053	52468	4731	399	90	80
plc124_ut_rep01	757696	756499	659204	53406	46819	3687	135	9	2	1
plc124_ut_rep02	41617262	41566931	36475816	2780248	2467096	119338	17260	1308	352	242
plc124_ut_rep03	20594110	20566992	18097379	 1492797	1328172	62600	11784	530	169	71
may478_fluc_rep01	762417	759967	648794	27618	22605	1701	202	19	4	2
may478_fluc_rep02	21332246	21279159	18635934	852657	750604	42190	6325	599	66	48
may478_fluc_rep03	6162376	6147658	5359144	279810	242547	15884	1026	266	15	20
may478_ut_rep01	614994	613800	506415	25803	23503	877	102	6	2	1
may478_ut_rep02	22046430	22009740	19193235	871447	755770	54654	4223	878	78	72
may478_ut_rep03	12883191	12861050	11068608	591943	530891	19487	5084	516	70	25
may7_fluc_rep01	26007819	25971331	23007341	1180574	1055423	47565	8721	1067	140	56
may7_fluc_rep02	26980958	26943641	23480641	1217451	1097822	43886	9257	649	135	70
may7_fluc_rep03	22952306	22922106	20010929	1017705	910513	39848	8018	864	140	51
may7_ut_rep01	18692685	18666587	16246200	827993	743586	29515	7204	513	105	21
may7_ut_rep02	30952243	30908239	26689568	1348604	1199867	55536	12194	1086	187	97
may7_ut_rep03	20240970	20187459	17247565	984475	868113	43331	8104	1095	153	31
