	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	13751	13370	13481	13828	13293	13534	13805	13638	13285	13865	13448	13402	14283	13569	13707	13903	13738	13684	14145	13862	13962	15022	13970	13787	14641	13438	13697	14509	14842	11210	12051	9041	10502
ARG	10698	10182	10094	10490	10343	9917	10634	10178	10172	10923	10437	10280	11440	10724	10147	10976	10524	10124	10926	10616	10203	10583	10693	10703	10965	10618	10080	10147	10331	10260	10570	11577	8435
ASN	12141	11909	11841	12355	11815	11825	12142	11781	11631	12105	11759	11525	11958	11367	11467	12518	12007	11299	11755	11514	11561	11624	11720	11755	12118	12089	11759	12511	11175	12648	14988	17141	13373
ASP	15055	14743	15071	14861	14419	14704	14996	14408	14966	14851	14334	14981	15103	14771	15192	14734	14369	15234	14574	14711	15384	15598	14913	15390	15175	14211	14552	14407	13908	13468	14823	12218	19154
CYS	1819	1714	1734	1725	1774	1645	1874	1712	1673	1882	1800	1721	1879	1820	1728	1741	1766	1681	1856	1923	1876	1836	1894	1705	1946	2006	1841	1851	1941	2009	1557	1448	913
GLN	10043	9904	9838	10138	9995	9659	10107	10159	9981	10367	10367	9721	9914	9854	9959	10311	10006	9877	10294	9885	9991	9727	10304	9981	10536	10728	10228	11057	10136	9108	9732	12055	10587
GLU	20149	19369	20069	20302	19979	20208	20450	19868	20295	20083	19540	20821	20394	19587	20506	19893	19505	20668	20627	19799	21004	20476	19727	20733	20275	19282	20162	18855	19181	18826	19682	17036	32910
GLY	12412	11999	11670	12460	12043	11743	12239	12013	11753	12382	12018	11883	12631	12280	11892	12635	12660	12021	12414	12146	11938	12559	12625	12096	12188	12202	11604	11947	13132	10525	8017	8320	8653
HIS	4101	3964	3869	4149	3959	3988	3956	4014	3859	4136	3960	3869	4009	3924	3910	4177	4094	3851	4096	3994	3886	4001	4084	3791	3944	4180	3935	4383	3679	3794	3932	4735	3390
ILE	12722	12277	12136	12758	12431	12440	12941	12310	12474	12910	12466	12336	12698	12388	12399	13091	12634	12602	12904	12542	11944	12802	12103	12412	12861	12297	12385	12737	12362	14507	16277	14012	12209
LEU	18042	17322	17221	17853	17247	17378	17779	17267	17123	17801	17099	17242	18107	17677	17160	17812	16854	17006	17779	17187	17411	17866	17112	16493	17668	18052	17209	18376	18201	19563	18329	17005	12927
LYS	20512	19892	19880	20181	19937	19814	20411	19468	19574	20222	19864	19764	20490	20073	19732	20844	20017	19808	20503	19626	19566	20022	19697	19942	20464	20101	19903	20311	19258	20933	23197	26881	25222
PHE	7590	7331	7300	7675	7266	7321	7578	7358	7299	7630	7353	7325	7096	7011	7330	7693	7284	7138	7293	7281	7132	7447	7308	6889	7108	7362	7076	7846	7751	8527	7657	8007	5301
PRO	8958	8795	8535	8976	8952	8722	8791	8791	8822	9022	8734	8631	9054	9023	8250	9789	9325	8654	9679	9132	8672	9227	8469	8621	9015	8597	9055	10135	8096	7939	7554	8208	7151
SER	16184	15712	15560	16292	15823	15641	16569	16277	15722	16433	16118	15787	16137	15798	15730	15526	15547	15716	16164	15801	15562	16581	15658	15694	16109	15801	16078	16252	16253	16288	15406	16017	11652
THR	11811	11553	11517	11732	11473	11463	12045	11386	11622	11954	11547	11327	11471	11210	11379	11576	11263	11045	11909	11219	11040	11870	11339	11572	12199	11005	11616	12121	11431	11674	14299	11719	11287
TRP	1794	1819	1648	1803	1728	1528	1704	1709	1720	1848	1695	1877	2018	1872	1730	1732	1685	1721	1799	1796	1751	1824	1776	1674	1868	1823	1706	1718	1822	2037	1766	1031	1101
TYR	6397	6268	6085	6614	6173	6084	6423	6219	6046	6340	6133	5872	6234	6123	5925	6194	6121	6006	6134	6192	6074	6105	6132	5769	6090	6194	6033	6607	6547	6760	6223	7921	5209
VAL	12648	12500	12661	12994	12343	12753	12818	12683	12489	12729	12570	12382	12800	12539	12704	12746	12325	13022	13128	12777	12406	13167	12484	12463	13054	12177	12663	12788	12274	11369	11512	8057	12816
TERM	185	188	157	155	151	161	151	154	161	142	173	152	404	491	165	151	158	125	115	129	128	95	97	101	103	91	99	103	112	117	89	114	149
MET	3231	3177	3019	3192	3178	3100	3346	3112	3135	3321	3293	3077	3273	3101	3175	3262	3159	3036	3351	3025	3002	3175	3185	3049	3432	3182	3092	3233	3159	3372	4351	3207	2162
