	F0	F1	F2
0	1	3	2
1	4	5	6
2	91	182	165
3	127	131	115
4	18	29	32
5	18	18	23
6	4	3	3
7	16	19	22
8	28	27	18
9	4	3	10
10	33	29	16
11	66	65	68
12	40	33	25
13	484	447	523
14	2	3	2
15	311	371	290
16	0	0	0
17	0	0	0
18	57	57	46
19	37	39	35
20	21	7	11
21	11	18	27
22	0	0	0
23	19	15	16
24	1	2	1
25	16	15	13
26	3	6	3
27	122	149	127
28	11	24	18
29	4	5	5
30	0	0	0
31	28	23	24
32	16	9	11
33	24	21	25
34	5	2	2
35	2	5	3
36	6	9	11
37	90	85	86
38	7	3	8
39	5	1	2
40	3	7	9
41	175	150	208
42	5	3	1
43	46	79	68
44	6	3	4
45	14	17	14
46	11	15	7
47	24	25	18
48	3	7	10
49	53	44	49
50	92	81	54
51	2	1	1
52	78	85	91
53	31	24	29
54	16	25	21
55	6	3	1
56	2	2	2
57	113	120	131
58	36	46	50
59	8	9	8
60	3	3	4
61	1	0	0
62	8	13	14
63	22	6	16
64	18	17	17
65	8	13	11
66	18	18	18
67	43	45	44
68	6	3	2
69	0	0	1
70	0	0	1
71	12	11	8
72	66	66	70
73	2	1	3
74	4	3	4
75	2	1	2
76	62	49	46
77	0	1	2
78	2	4	1
79	20	8	15
80	2	1	1
81	11	5	12
82	13	19	21
83	13	11	11
84	13	11	7
85	270	234	210
86	5	4	3
87	60	48	53
88	114	106	100
89	2	4	3
90	6	2	2
91	64	79	54
92	16	15	10
93	15	11	16
94	23	26	31
95	5	5	3
96	5	5	2
97	48	45	44
98	33	19	27
99	9	5	7
100	2	1	5
101	113	121	108
102	27	41	45
103	38	28	42
104	1	4	2
105	17	21	29
106	16	11	22
107	7	8	8
108	0	0	0
109	19	7	4
110	9	3	2
111	4	3	8
112	0	0	0
113	1	0	1
114	21	44	28
115	0	1	0
116	5	8	13
117	0	1	0
118	12	8	10
119	21	13	18
120	142	118	132
121	3	1	3
122	1	3	2
123	230	233	291
124	16	23	26
125	59	55	61
126	8	14	8
127	21	17	21
128	3	6	6
129	10	12	19
130	0	0	0
131	22	37	24
132	19	15	8
133	34	24	24
134	180	208	176
135	22	23	19
136	1	0	1
137	2	3	3
138	89	91	89
139	2	7	4
140	13	12	23
141	72	93	77
142	9	16	12
143	8	14	11
144	299	246	281
145	32	32	31
146	0	0	0
147	0	0	1
148	12	10	9
149	286	278	255
150	6	6	2
151	11	15	8
152	15	18	14
153	27	20	25
154	119	139	133
