	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	89817	85119	83822	0.08854094441450924	0.0	34.71081087348024	-6	1.0622599285213268	258758	136278	0.050179227306619535	0.061622450538817965
ARG	71060	67619	64020	0.11052262164565016	0.0	35.05690703950192	-18	1.0474247115113988	202699	103112	0.03796710023657636	0.06379891984802732
ASN	79545	76312	74107	0.08085634345051407	0.0	34.59019672644414	-15	1.0642277955874033	229964	181854	0.0669608682444561	0.041040054284075325
ASP	97021	92492	94171	0.05593296712932378	0.0	34.2003778852526	-9	1.0561115634759486	283684	161760	0.05956201154345365	0.056916034527943644
CYS	11893	11527	11130	0.07015583228723954	0.0	34.42257597684515	-21	1.0503657613722357	34550	28078	0.010338663205471634	0.039934919422277115
GLN	65423	63323	62102	0.06104488335389577	0.0	34.28016012743125	-15	1.0349112697369427	190848	123335	0.04541345631622067	0.05021947929974002
GLU	127816	121926	124626	0.05217648822278617	0.0	34.141806992050604	-27	1.0142392188771359	374368	178047	0.06555908425616526	0.0682393669596399
GLY	81509	78770	75081	0.0834974507528798	0.0	34.631628144119645	-30	1.0135199793887792	235360	136817	0.05037769370265021	0.0558294722436729
HIS	27031	26330	24927	0.07686584253857404	0.0	34.52764152871449	-21	1.0394731974399762	78288	56679	0.0208699014111734	0.044827441203600216
ILE	84445	80570	79184	0.08023185395791865	0.0	34.58040368715679	-15	1.014092012552549	244199	191458	0.0704971785737299	0.04139437157226568
LEU	117303	110857	109100	0.09301839558033842	0.0	34.781177726383206	-18	1.0337075778113092	337260	249640	0.09192050297791647	0.04384515323531598
LYS	130476	124074	122482	0.08186909756911381	0.0	34.60608118143818	-15	1.0310171985652534	377032	200610	0.07386705697163845	0.06099532706395276
PHE	48308	46463	45684	0.068324927708388	0.0	34.39393400021359	-24	1.0438643702906352	140455	117512	0.04326935645706185	0.03879054815601988
PRO	59851	56100	54937	0.1084067624699097	0.0	35.02352417957961	-12	1.0753203789410368	170888	121763	0.04483462667881767	0.04554777407087996
SER	104233	99252	97404	0.08413790109839343	0.0	34.6416784927332	-21	1.0178350426448437	300889	242857	0.08942291937072529	0.040209309531505935
THR	76135	71528	70550	0.09994855382441005	0.0	34.89022193911453	-6	1.0500689564589216	218213	165789	0.061045538648476984	0.04271651742881865
TRP	12205	11699	11329	0.08408317775197974	0.0	34.64081968608975	-18	1.1024170421958215	35233	25635	0.00943912070917677	0.0446053788678037
TYR	41762	40170	38816	0.08059384168598406	0.0	34.5860801007056	-27	1.0318471337579618	120748	94878	0.03493524067272376	0.04130335739255325
VAL	82981	79343	78940	0.06834663362546774	0.0	34.3942734929372	-9	1.0274279654378713	241264	146144	0.05381200924212716	0.053577502398969294
TERM	1302	1386	1104	0.2042906149611372	1.0	36.550632911392405	-17	2.8701298701298703	3792	5397	0.001987241445969457	0.02280272979712821
MET	21635	20224	20174	0.09908325009720653	0.0	34.87659793980623	-6	1.037901548416917	62033	48182	0.017741202028849427	0.04178389215699205
