	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	179040	171116	167232	0.08177408073112595	0.0	34.604590752008164	-6	1.0492459785522787	517388	138706	0.05026153347211729	0.06260476047590506
ARG	141257	135845	129992	0.08778044488663958	0.0	34.69886561826016	-18	1.0339452204138555	407094	104576	0.03789417995169739	0.06533545646755151
ASN	153188	146490	141907	0.08724713073265918	0.0	34.69048993964922	-15	1.0145181084680261	441585	184675	0.0669188693637136	0.0401321529952703
ASP	189583	183618	183278	0.04745842685024774	0.0	34.06831165237143	-9	1.0464387629692535	556479	164053	0.05944627738310713	0.05693126810832144
CYS	22573	21759	20801	0.08510001769082536	0.0	34.65677920562541	-18	1.0609577814202809	65133	28686	0.010394664608460748	0.038108104045692065
GLN	128167	124459	121473	0.05976538290843232	0.0	34.260182465069406	-6	1.026699540443328	374099	124966	0.04528270436662155	0.05024362120775438
GLU	255330	244836	248157	0.05079589522322909	0.0	34.12029297509231	-9	1.0293620021149101	748323	180444	0.06538572337060208	0.06960379226338057
GLY	160759	158429	149863	0.06060205544023427	0.0	34.27324534005897	-18	1.037335390242537	469051	139215	0.05044597481234271	0.05654839575797434
HIS	51046	50238	47665	0.060444846550173806	0.0	34.27079067331771	-21	1.042530266818164	148949	57577	0.020863613057287334	0.04341849979540615
ILE	162938	156459	152962	0.07475199095457927	0.0	34.49452640893897	-15	1.0218058402582577	472359	195117	0.07070263453981161	0.040631545222554036
LEU	224606	215155	211492	0.07435356397343738	0.0	34.488286426319725	-27	1.0088065323277204	651253	253923	0.09201158827909707	0.04304611392419516
LYS	256940	247675	241094	0.07227871849475773	0.0	34.455799782488874	-15	1.0409161671985678	745709	203455	0.07372399386161826	0.06151588432940421
PHE	93671	91297	88705	0.057661435669089475	0.0	34.22734431237279	-30	1.0332546892848373	273673	119776	0.04340205494467666	0.03834850182008384
PRO	117174	111275	107165	0.10141542052858901	0.0	34.91332304373477	-12	1.0890726611705668	335614	123719	0.04483084120107911	0.04552918982207293
SER	208680	201232	196276	0.07030844300158473	0.0	34.424963872593985	-21	1.0201552616446234	606188	246412	0.08928990084013212	0.04128875005037996
THR	147055	140439	138877	0.07445762038251821	0.0	34.48991605901902	-6	1.0366325524463635	426371	168390	0.061017833557090756	0.04249693566950477
TRP	23522	22656	22023	0.07441383715256861	0.0	34.489230363191155	-18	1.124521724343168	68201	26189	0.00948985119678514	0.04370771285202212
TYR	79590	77744	74928	0.06022358485290937	0.0	34.26733602569512	-27	1.0511873350923482	232262	96666	0.03502791079416673	0.040326512734013276
VAL	164447	157687	156053	0.06805321336728792	0.0	34.389684370340476	-9	1.0223354637056317	478187	148582	0.05384020277676619	0.05401542774594216
TERM	3074	3022	2268	0.21684944268938328	0.0	36.752749880439985	-18	2.4886141834743007	8364	5553	0.0020121861734219665	0.025279740118022618
MET	41502	39301	38581	0.09189092949433816	0.0	34.763452388929835	-6	1.045467688304178	119384	49005	0.01775746144940455	0.04088763459454898
