	F0	F1	F2
0	2	2	1
1	3	3	4
2	114	173	203
3	161	160	134
4	29	38	41
5	22	30	33
6	7	2	3
7	19	43	37
8	28	45	31
9	17	14	12
10	62	46	38
11	85	102	93
12	51	39	36
13	906	1001	1064
14	5	2	4
15	497	591	556
16	0	0	0
17	1	0	0
18	69	60	60
19	44	47	40
20	21	16	15
21	13	20	24
22	0	0	0
23	25	27	27
24	3	0	4
25	18	28	15
26	6	9	11
27	224	183	194
28	6	10	8
29	5	4	2
30	0	2	0
31	32	28	26
32	21	21	20
33	24	38	37
34	5	7	3
35	1	8	10
36	7	10	7
37	131	146	148
38	15	14	6
39	13	14	8
40	9	12	11
41	292	260	268
42	4	2	6
43	129	148	127
44	7	7	9
45	24	23	29
46	16	13	12
47	34	39	25
48	4	5	8
49	77	74	81
50	130	107	91
51	3	4	2
52	184	190	169
53	45	28	33
54	45	30	41
55	12	5	4
56	1	2	1
57	228	217	229
58	107	96	105
59	10	8	16
60	4	4	8
61	1	3	2
62	17	18	9
63	32	14	26
64	7	14	21
65	12	11	5
66	24	20	14
67	79	67	65
68	8	5	4
69	2	2	1
70	0	0	0
71	25	17	21
72	97	108	71
73	5	8	5
74	6	12	7
75	1	2	4
76	68	61	59
77	0	0	0
78	3	3	4
79	22	19	37
80	5	2	1
81	15	11	6
82	35	37	46
83	14	13	18
84	27	30	16
85	274	293	287
86	9	16	9
87	41	61	29
88	223	161	196
89	5	8	6
90	7	6	7
91	117	94	93
92	28	31	24
93	27	25	39
94	71	58	73
95	7	13	11
96	11	9	9
97	95	99	96
98	49	56	35
99	22	18	12
100	8	5	3
101	210	222	194
102	81	55	65
103	62	59	51
104	7	10	5
105	41	35	35
106	34	47	31
107	7	4	4
108	0	1	0
109	12	6	10
110	4	7	4
111	11	9	15
112	1	1	0
113	6	2	5
114	59	51	45
115	1	0	0
116	8	8	10
117	2	3	1
118	15	13	11
119	26	26	29
120	254	209	226
121	8	16	11
122	3	6	1
123	435	456	486
124	34	20	19
125	113	115	166
126	13	14	18
127	28	30	26
128	12	9	9
129	39	24	24
130	0	0	0
131	47	39	28
132	26	16	35
133	44	32	46
134	266	299	253
135	35	48	31
136	0	0	0
137	9	5	4
138	157	137	123
139	10	2	4
140	26	26	20
141	149	151	100
142	16	19	20
143	43	20	26
144	335	327	297
145	93	67	63
146	0	0	0
147	0	2	0
148	26	16	19
149	501	472	461
150	4	7	8
151	32	18	15
152	26	35	32
153	45	40	31
154	219	244	244
155	64	80	52
156	8	7	3
157	8	10	2
158	8	5	10
159	4	1	1
160	7	12	7
161	214	216	199
162	59	53	103
163	1	2	1
164	18	22	25
165	0	1	2
166	2	0	0
167	31	34	20
168	67	76	63
169	28	30	26
170	8	8	7
171	25	17	16
172	11	7	7
173	108	80	80
174	250	211	240
175	0	2	0
176	25	25	25
177	5	2	3
178	0	0	0
179	11	6	8
180	0	0	0
181	2	2	2
182	8	5	13
183	4	6	3
184	1	3	3
185	14	10	13
186	15	16	24
187	21	15	11
188	0	0	0
189	5	11	7
190	12	8	6
191	3	3	4
192	3	5	0
193	100	92	131
194	5	15	8
195	5	8	7
196	3	6	4
197	1	1	0
198	2	7	4
199	26	34	33
200	0	2	1
201	65	64	62
202	2	1	1
203	123	127	110
204	74	84	63
205	15	8	7
206	18	16	28
207	0	0	0
208	29	36	39
209	13	8	8
210	2	7	6
211	1	1	1
212	13	17	11
213	95	94	95
214	221	231	169
215	4	2	0
216	51	41	43
217	2	1	6
218	22	15	24
219	33	27	20
220	15	16	8
221	385	442	434
222	74	63	57
223	9	18	11
224	42	60	52
225	766	652	678
226	4	8	4
227	18	13	14
228	24	31	25
229	12	5	5
230	7	8	10
231	0	0	0
232	26	23	30
233	0	0	0
234	0	0	0
235	12	16	5
236	10	20	16
237	64	57	48
238	7	10	8
239	1	3	2
240	42	32	29
241	11	8	10
242	22	12	17
243	0	0	0
244	3	1	1
245	0	0	0
246	0	1	0
247	56	64	55
248	11	17	7
249	1	1	1
250	17	22	20
251	30	38	29
252	46	27	32
253	5	7	5
254	16	18	11
255	100	91	122
256	4	1	3
257	46	29	23
258	43	37	40
259	28	40	23
260	9	12	8
261	14	19	16
262	31	45	46
263	11	11	13
264	38	37	45
265	13	16	9
266	18	26	23
267	41	68	44
268	32	26	38
269	7	4	9
270	5	7	2
271	3	1	0
272	38	51	25
273	9	5	4
274	0	2	0
275	11	8	3
276	1	2	0
277	117	116	95
278	551	511	494
279	165	197	168
280	4	5	6
281	16	16	16
282	168	206	212
283	79	68	77
284	22	24	24
285	251	271	265
286	62	56	56
287	64	66	94
288	23	12	13
289	78	79	93
290	2	2	1
291	0	7	3
292	34	49	38
293	5	4	1
294	4	6	2
295	140	163	137
296	21	27	8
297	130	98	117
298	139	148	196
299	49	54	47
300	2	1	3
301	33	18	25
302	21	20	17
303	3	3	3
304	84	130	68
305	118	107	64
306	62	60	44
307	12	11	22
308	0	5	3
309	6	5	5
310	33	43	42
311	141	130	133
312	354	343	343
313	1235	1229	1312
314	54	45	38
315	13	12	13
316	12	10	5
317	48	69	29
318	7	6	1
319	25	19	18
320	73	43	41
321	34	32	36
322	0	0	0
323	23	27	18
324	7	9	9
325	26	29	18
326	9	16	19
327	119	106	104
328	12	11	17
329	3	6	6
330	23	18	23
331	41	28	49
332	0	0	0
333	7	4	12
334	2	5	4
335	31	19	30
336	35	21	22
337	30	23	10
338	48	61	57
339	1	2	0
340	8	9	7
341	25	26	28
342	15	10	12
343	138	125	100
344	8	3	4
345	27	23	20
346	17	10	4
347	1	4	2
348	40	37	45
349	43	30	25
350	73	59	61
351	2046	1953	2386
352	15	16	17
353	5	2	2
354	2	5	5
355	12	14	19
356	40	53	22
357	70	74	58
358	5	5	0
359	0	0	0
360	0	0	0
361	3	0	1
362	155	173	163
363	4	4	4
364	63	54	56
365	85	65	65
366	2	0	0
367	34	33	38
368	4	5	4
369	9	20	13
370	23	29	19
371	2	0	2
372	0	1	1
373	14	10	11
374	286	292	296
375	0	0	0
376	2	1	2
377	10	4	6
378	7	3	8
379	56	40	36
380	24	22	16
381	1	0	0
382	93	133	116
383	309	260	262
384	0	1	0
385	0	1	0
386	19	21	22
387	113	114	133
388	111	116	103
389	8	11	4
390	121	115	72
391	192	218	193
392	3	2	3
393	51	59	66
394	69	66	98
395	98	68	73
396	0	0	0
397	14	8	0
398	138	113	131
399	524	566	647
400	3	1	0
401	11	14	9
402	153	161	126
403	5	8	6
404	10	11	14
405	15	12	14
406	10	7	10
407	24	22	20
408	659	630	559
409	87	96	78
410	17	8	14
411	81	63	69
412	5	5	4
413	0	0	0
414	34	46	49
415	0	1	2
416	3	1	1
417	27	20	21
418	82	68	72
419	3	2	2
420	6	7	5
421	10	12	12
422	16	17	21
423	26	21	14
424	1	1	0
425	3	4	5
426	5	3	2
427	15	22	14
428	3	6	0
429	55	47	55
430	121	144	136
431	328	381	337
432	31	33	25
433	12	17	12
434	0	0	0
435	12	18	14
436	37	47	29
437	25	27	24
438	0	0	0
439	9	5	5
440	14	18	15
441	1	2	2
442	68	81	89
443	5	4	8
444	0	0	0
445	12	10	15
446	112	102	93
447	78	59	46
448	23	33	16
449	0	0	0
450	21	17	14
451	5	5	7
452	67	88	86
453	5	3	4
454	27	30	32
455	1	1	1
456	17	15	20
457	263	239	213
458	8	7	5
459	0	3	1
460	0	1	0
461	0	1	0
462	96	99	66
463	72	64	52
464	1254	1260	1336
465	24	26	23
466	42	35	35
467	110	108	83
468	1	4	2
469	6	9	3
470	6	5	2
471	137	112	118
472	174	160	144
473	18	20	11
474	0	0	0
475	14	24	12
476	0	1	0
477	23	21	27
478	9	11	7
479	0	0	0
480	0	0	0
481	6	2	2
482	29	31	30
483	3	7	4
484	3	4	3
485	37	17	24
486	89	82	61
487	1	3	2
488	22	41	16
489	82	66	96
490	1	0	0
491	25	25	22
492	95	94	100
493	7	8	6
494	133	136	125
495	74	54	71
496	4	2	3
497	3	5	10
498	19	18	15
499	1	1	1
500	42	36	25
501	13	17	9
502	66	60	46
503	31	45	32
504	12	8	13
505	20	4	11
506	3	3	3
507	114	109	75
508	0	0	0
509	0	0	0
510	40	39	30
511	9	15	15
512	3	3	1
513	18	21	18
514	195	190	169
515	9	10	10
516	1	3	1
517	14	16	18
518	15	27	23
519	6	10	8
520	13	3	6
521	23	16	15
522	0	0	0
523	111	119	126
524	99	81	83
525	7	12	16
526	61	62	55
527	5	8	8
528	7	6	4
529	0	0	0
530	0	3	1
531	1	0	1
532	111	87	86
533	3	3	6
534	118	121	98
535	1	0	1
536	7	6	4
537	28	33	29
538	1	0	2
539	4	6	8
540	13	10	7
541	4	2	7
542	0	0	0
543	0	3	1
544	95	108	91
545	5	8	7
546	2	1	2
547	19	13	10
548	1	0	0
549	28	26	29
550	20	17	15
551	1	2	1
552	12	10	8
553	157	133	120
554	14	8	4
555	13	9	7
556	0	0	0
557	10	16	11
558	0	1	1
559	0	0	0
560	27	31	40
561	14	9	9
562	6	3	3
563	4	9	7
564	13	10	13
565	89	58	83
566	14	16	19
567	11	11	5
568	23	27	20
569	542	530	595
570	22	8	9
571	0	2	2
572	33	33	43
573	0	0	0
574	0	0	2
575	167	206	153
576	0	0	2
577	20	6	11
578	5	6	7
579	0	0	0
580	13	19	11
581	49	42	51
582	0	0	0
583	19	13	16
584	1	0	0
585	73	53	37
586	0	1	1
587	50	47	46
588	10	16	8
589	0	0	0
590	0	2	3
591	0	0	0
592	49	29	45
593	29	32	28
594	39	19	29
595	0	0	0
596	34	44	32
597	1505	1435	1420
598	114	106	125
599	85	99	92
600	14	21	12
601	4	6	6
602	11	6	8
603	41	38	37
604	374	360	293
605	33	36	25
606	137	97	110
607	31	31	29
608	1	0	0
609	1754	1720	1656
610	45	36	57
611	96	149	115
612	1	0	0
613	2	0	0
614	39	55	58
615	3	2	4
616	12	4	7
617	12	19	12
618	19	20	27
619	19	20	16
620	10	14	8
621	13	15	13
622	5	5	3
623	8	7	9
624	27	31	24
625	69	76	94
626	1	1	0
627	33	36	40
628	23	17	17
629	16	10	14
630	27	17	28
631	15	13	7
632	90	79	82
633	1	0	2
634	48	46	36
635	0	0	0
636	2	1	1
637	0	0	0
638	287	268	274
639	43	26	27
640	65	67	34
641	2	6	5
642	135	101	98
643	10	11	11
644	146	131	140
645	5	4	6
646	16	18	11
647	61	79	57
648	14	26	15
649	41	33	31
650	10	12	9
651	0	0	0
652	50	49	45
653	7	6	5
654	56	72	67
655	1	0	1
656	33	37	37
657	16	14	11
658	345	313	287
659	39	48	30
660	133	144	98
661	117	100	96
662	4	3	4
663	0	0	1
664	11	20	7
665	14	8	13
666	32	25	20
667	19	35	31
668	39	41	35
669	1	0	0
670	1	1	2
671	27	45	41
672	12	6	14
673	28	32	20
674	22	17	17
675	0	1	2
676	2	4	0
677	202	148	193
678	2	0	3
679	50	38	40
680	10	9	11
681	71	68	78
682	13	9	13
683	94	68	92
684	150	189	210
685	4	1	4
686	0	0	0
687	30	14	24
688	3	3	8
689	25	58	45
690	0	0	0
691	33	24	24
692	176	162	171
693	16	13	13
694	26	16	29
695	0	0	0
696	58	47	52
697	5	2	5
698	6	9	8
699	13	10	13
700	0	0	0
701	20	19	13
702	23	12	25
703	4	4	4
704	0	0	0
705	18	16	18
706	0	2	0
707	0	0	0
708	6	6	7
709	0	1	0
710	18	26	32
711	17	23	12
712	43	38	40
713	87	87	106
714	126	108	87
715	144	128	112
716	29	16	13
717	18	10	10
718	3	4	8
719	9	7	12
720	16	10	17
721	16	16	14
722	3	1	0
723	155	133	164
724	23	22	15
725	72	81	70
726	15	4	7
727	40	37	40
728	120	120	108
729	3	7	2
730	48	40	33
731	61	77	52
732	83	77	67
733	2	2	3
734	1	1	1
735	93	113	66
736	23	19	15
737	83	83	88
738	11	14	7
739	0	0	0
740	346	305	285
741	4	5	5
742	9	12	3
743	54	60	56
744	509	554	548
745	34	27	36
746	167	139	143
747	92	66	63
748	8	12	13
749	3	5	1
750	0	0	0
751	116	96	71
752	2	5	5
753	125	123	126
754	4	6	7
755	3	3	3
756	271	216	226
757	54	52	55
758	2	1	3
759	11	9	13
760	19	14	18
761	108	104	75
762	323	325	269
763	61	71	56
764	32	28	12
765	45	62	84
766	2	3	7
767	1	2	2
768	0	0	0
769	136	174	141
770	21	20	22
771	461	536	530
772	27	15	18
773	22	13	16
774	5	5	10
775	51	58	35
776	8	11	12
777	1	0	2
778	16	12	25
779	12	16	10
780	54	46	32
781	7	5	5
782	18	13	11
783	104	95	92
784	5	9	8
785	11	10	12
786	0	1	0
787	21	18	10
788	118	102	116
789	46	43	43
790	5	2	6
791	17	20	22
792	48	33	43
793	230	188	205
794	35	31	25
795	17	16	19
796	21	23	29
797	2	7	5
798	2	10	1
799	10	5	5
800	28	30	27
801	34	31	24
802	7	7	2
803	595	480	440
804	75	103	49
805	13	19	11
806	48	59	63
807	1	2	2
808	16	14	25
809	1	2	3
810	30	17	29
811	14	16	12
812	16	20	21
813	344	341	312
814	0	2	1
815	0	0	0
816	0	0	0
817	4	5	6
818	10	12	13
819	121	158	134
820	16	15	20
821	6	0	1
822	6	4	8
823	8	10	10
824	68	58	90
825	5	5	4
826	6	6	6
827	52	45	38
828	31	14	15
829	65	65	70
830	9	10	9
831	74	66	66
832	8	5	4
833	31	41	36
834	59	58	50
835	2	0	2
836	20	16	18
837	116	132	145
838	55	57	38
839	6	10	7
840	11	11	6
841	5	8	6
842	9	10	3
843	5	6	6
844	0	1	0
845	0	0	0
846	79	57	53
847	4	1	3
848	20	15	21
849	4	0	4
850	19	16	16
851	3	4	3
852	4	5	3
853	0	0	0
854	9	7	6
855	8	6	11
856	8	8	7
857	70	56	52
858	4	2	6
859	0	0	0
860	0	1	0
861	6	12	5
862	21	30	18
863	3	8	8
864	57	44	46
865	71	74	51
866	34	26	32
867	13	7	3
868	26	15	18
869	1	0	0
870	0	0	0
871	15	19	17
872	5	2	6
873	54	55	51
874	74	81	75
875	23	16	15
876	0	1	0
877	165	172	196
