	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	19695	18867	18350	19617	19037	17964	19409	18819	18299	19539	18827	18299	20029	19225	18484	19224	18803	18076	19374	18917	18372	20770	18845	18230	20149	18230	17449	19736	21014	14428	18345	12711	14710
ARG	15881	15059	14421	15922	15192	14266	15974	15224	14564	15903	15249	14749	16753	15768	15111	16847	15790	14655	17029	16053	14676	16126	15783	15376	16382	16185	15164	15511	15954	15143	15655	16963	11617
ASN	18190	17367	16838	17990	17456	16589	18209	17047	16460	18462	17091	16593	18230	16907	16139	18909	17835	16103	17365	16793	16350	17626	17234	16663	18305	17444	16663	18664	16433	17410	21823	24682	18616
ASP	22670	21796	21803	22617	21453	21404	22709	21740	21562	22229	21791	21543	23017	22221	21952	22527	21380	22094	22491	22555	22490	23933	22799	22201	23088	22322	21738	22390	21775	19495	22181	19475	27806
CYS	2677	2527	2460	2703	2540	2458	2734	2448	2382	2708	2579	2476	2738	2560	2356	2510	2332	2361	2483	2618	2463	2724	2654	2427	2575	2642	2517	2594	2626	2797	2430	2345	1516
GLN	14563	14003	13240	14661	13961	13433	14508	14332	13527	14612	14263	13527	14191	13762	13546	14387	13780	13250	14348	13692	13546	14329	14256	13542	14912	14850	13967	15191	13368	13154	13364	16476	14320
GLU	29926	28811	28892	30243	29478	28448	30236	29326	29278	29954	29100	29412	30222	28940	28910	28874	28700	29390	30577	29229	29130	30534	28969	28778	30404	28665	28360	28090	28402	25995	28325	25036	45339
GLY	18958	18029	17231	18864	17983	17303	18426	18430	17413	18929	18111	17177	19940	18984	17521	19549	19678	17674	18980	18813	17577	19379	19120	18126	18793	18725	17546	18628	20426	15751	11984	13300	12743
HIS	6011	5574	5322	5928	5906	5507	6031	5799	5446	6095	5889	5454	5998	5768	5539	6358	6029	5651	6162	5932	5761	5838	6099	5751	6174	6420	5712	6466	5144	5460	5357	6911	4830
ILE	19413	18452	17536	19564	18566	18057	19445	18666	17811	19493	18643	17908	19098	18513	18296	19857	18774	18074	19235	19046	17318	18967	18083	17886	19718	18393	17755	19405	18105	20079	23952	20266	17637
LEU	26762	25534	24108	26672	24928	24841	26589	25474	24618	26461	25258	24415	26278	25501	24644	26372	25092	24251	26056	25026	24827	26431	25375	23936	26194	26317	24889	27368	26531	28265	27754	26069	19488
LYS	30033	29313	27840	30115	29016	28376	30378	28770	27683	30306	29330	28086	30854	29405	27730	30622	29482	28056	31028	28021	27926	29109	28693	27843	29900	28930	27737	29610	27881	28802	33538	38065	34566
PHE	11138	10804	10431	11116	10700	10376	11292	10916	10278	11417	10675	10192	10357	10175	10523	11544	10563	10374	11014	10729	10161	10905	10880	9942	10684	10985	10425	11695	11031	12320	11721	11776	8435
PRO	12870	12399	11812	12916	12240	12020	12927	12349	11644	12985	12280	11821	13433	12813	11492	14311	13428	12312	14473	12799	11819	13099	11983	11820	12978	12016	12535	14676	11315	11994	10564	11151	10357
SER	23617	22536	22045	23599	23338	22019	24027	22977	22121	24390	23266	22231	23565	22773	21737	22982	22428	21859	23860	23108	22130	24473	23196	22329	23839	22962	22493	24664	23820	23285	23161	23551	16830
THR	16858	16246	15766	16647	16186	15604	16916	16221	15824	17007	16694	15587	16408	15924	15604	16654	15884	15343	17261	16025	15467	17271	15976	15784	17892	15334	15666	17165	15898	15559	20703	15672	14164
TRP	2811	2679	2442	2803	2599	2339	2716	2537	2607	2773	2645	2814	3179	2880	2529	2734	2493	2712	2952	2695	2737	2922	2876	2770	3010	2866	2756	2851	2919	3325	2894	1581	1859
TYR	9643	9233	9065	9884	9124	8800	9563	9278	8712	9659	9301	8623	9543	8980	8580	9505	9119	8745	9232	8983	8827	9204	8913	8665	9081	9394	8760	9824	9652	10163	9795	12022	7851
VAL	18603	18035	17840	19024	18114	17843	19025	18071	17853	18591	17888	17427	18411	17888	17899	18482	17612	17984	18789	18651	17748	19393	18234	17540	19116	17669	17609	19087	18115	16337	18314	12468	18907
TERM	315	325	298	288	255	298	264	251	292	251	274	256	926	1027	294	308	315	258	201	216	251	196	216	195	186	185	198	202	192	167	142	160	234
MET	4825	4678	4378	4941	4850	4608	5180	4616	4483	5137	4498	4524	4785	4659	4558	5083	4730	4505	4945	4561	4430	4921	4579	4441	5041	4436	4594	4861	4607	4849	6873	4737	3258
