	F0	F1	F2
0	2	2	1
1	6	3	3
2	114	169	204
3	84	109	74
4	21	19	19
5	39	31	35
6	5	6	3
7	25	60	45
8	24	50	35
9	14	12	13
10	48	47	31
11	81	96	78
12	36	28	34
13	865	926	982
14	0	2	4
15	444	450	425
16	0	0	0
17	1	0	0
18	82	99	77
19	8	23	20
20	19	23	24
21	14	18	18
22	0	0	0
23	32	28	28
24	1	1	1
25	18	13	5
26	4	7	12
27	252	219	220
28	13	17	10
29	8	5	5
30	2	2	1
31	34	36	21
32	31	34	23
33	47	59	72
34	4	4	2
35	11	8	2
36	11	11	7
37	199	166	201
38	14	13	10
39	3	7	3
40	16	10	15
41	304	310	275
42	3	2	4
43	83	110	64
44	9	11	6
45	17	24	31
46	16	13	9
47	29	33	30
48	7	4	10
49	62	72	80
50	133	108	103
51	4	7	0
52	157	130	165
53	28	29	28
54	35	30	34
55	5	5	4
56	2	3	0
57	228	214	192
58	78	82	75
59	8	16	12
60	9	6	10
61	0	2	0
62	19	17	13
63	46	19	18
64	13	14	14
65	12	11	13
66	24	16	18
67	78	57	57
68	9	12	10
69	1	2	1
70	0	0	0
71	24	24	18
72	81	110	74
73	11	15	2
74	8	8	9
75	4	6	5
76	42	40	46
77	1	1	0
78	4	6	4
79	45	46	29
80	0	4	4
81	10	18	18
82	67	53	44
83	22	18	14
84	30	19	28
85	295	266	229
86	5	11	6
87	38	50	45
88	224	184	176
89	5	5	4
90	2	6	6
91	107	93	89
92	24	31	28
93	17	33	26
94	67	57	80
95	9	7	8
96	5	12	12
97	101	96	79
98	75	53	50
99	24	18	19
100	6	2	6
101	237	216	198
102	85	40	67
103	91	81	55
104	9	3	6
105	43	46	37
106	47	40	35
107	10	7	7
108	0	0	0
109	20	13	8
110	5	8	4
111	16	16	7
112	0	0	2
113	5	5	9
114	48	45	32
115	0	0	1
116	11	9	18
117	1	3	1
118	21	20	15
119	23	28	35
120	231	199	223
121	18	11	12
122	2	5	5
123	367	350	371
124	30	25	14
125	127	129	144
126	17	12	15
127	24	28	13
128	14	11	4
129	26	37	28
130	0	0	0
131	31	31	29
132	25	26	21
133	56	48	33
134	188	225	176
135	28	31	32
136	0	0	0
137	4	3	7
138	151	103	130
139	6	4	8
140	27	30	18
141	121	127	86
142	27	33	29
143	26	27	21
144	329	331	342
145	116	103	106
146	0	0	1
147	0	0	1
148	25	21	14
149	436	452	405
150	9	10	12
151	15	23	24
152	41	29	26
153	46	43	45
154	258	239	246
155	100	102	55
156	13	8	15
157	7	10	7
158	14	13	9
159	2	3	0
160	13	17	4
161	233	224	199
162	63	67	103
163	2	1	3
164	26	26	17
165	1	2	3
166	1	0	2
167	34	56	24
168	43	53	36
169	29	28	38
170	5	8	4
171	15	18	12
172	12	9	11
173	60	57	61
174	279	242	254
175	0	2	3
176	25	31	24
177	1	5	3
178	0	0	0
179	12	20	10
180	0	0	0
181	1	5	4
182	11	11	8
183	3	3	2
184	2	1	1
185	17	18	18
186	25	43	35
187	25	18	23
188	0	0	0
189	7	5	5
190	4	6	4
191	3	8	3
192	11	9	8
193	145	116	141
194	6	7	12
195	13	5	4
196	6	3	1
197	1	0	0
198	10	1	5
199	30	30	26
200	1	2	0
201	55	61	73
202	3	5	0
203	105	91	93
204	70	58	55
205	12	12	12
206	23	22	17
207	1	3	3
208	54	37	43
209	19	7	17
210	3	4	5
211	1	6	2
212	17	11	14
213	78	75	97
214	347	318	283
215	1	1	2
216	46	40	36
217	1	5	2
218	32	25	18
219	19	20	18
220	10	10	5
221	394	420	406
222	75	69	72
223	14	16	14
224	57	67	55
225	373	303	295
226	4	14	11
227	25	14	13
228	28	30	34
229	9	6	9
230	9	15	15
231	0	0	0
232	31	26	31
233	1	1	1
234	1	0	0
235	13	16	18
236	15	26	10
237	51	46	40
238	9	9	12
239	5	1	1
240	22	28	25
241	7	14	9
242	27	18	18
243	0	1	0
244	2	0	2
245	0	0	0
246	0	0	0
247	67	63	63
248	15	23	6
249	0	2	1
250	16	22	9
251	36	28	43
252	54	26	19
253	8	6	7
254	23	28	18
255	69	70	86
256	1	0	0
257	73	53	42
258	39	44	28
259	18	33	23
260	2	9	12
261	13	15	14
262	38	42	47
263	10	7	15
264	59	66	56
265	22	12	14
266	16	19	19
267	63	83	44
268	16	22	32
269	12	9	10
270	6	2	1
271	3	0	0
272	35	46	33
273	6	4	8
274	5	1	3
275	7	9	7
276	2	2	0
277	111	110	110
278	650	543	569
279	104	144	115
280	3	5	4
281	21	19	19
282	188	206	199
283	97	97	113
284	31	33	35
285	259	247	235
286	69	63	56
287	65	40	76
288	17	14	22
289	48	48	51
290	1	2	1
291	3	3	5
292	46	40	41
293	2	3	6
294	7	8	3
295	199	195	175
296	25	16	11
297	138	128	142
298	81	80	70
299	33	40	38
300	2	0	3
301	30	22	21
302	22	19	13
303	0	5	2
304	46	78	67
305	124	134	97
306	77	87	57
307	12	29	17
308	9	3	5
309	8	4	4
310	56	53	64
311	180	150	151
312	470	430	467
313	1363	1443	1470
314	74	49	43
315	9	11	13
316	22	11	11
317	104	114	78
318	3	6	3
319	21	28	24
320	72	55	61
321	24	21	16
322	0	0	0
323	27	26	18
324	6	13	11
325	20	37	22
326	10	7	11
327	111	121	109
328	9	13	8
329	5	12	8
330	21	17	18
331	54	38	45
332	0	0	0
333	4	2	8
334	0	0	2
335	30	23	25
336	25	25	37
337	17	13	13
338	35	57	41
339	0	0	0
340	12	12	11
341	25	20	20
342	7	6	14
343	159	111	112
344	8	18	3
345	31	30	27
346	8	9	9
347	0	0	6
348	53	41	32
349	30	26	20
350	50	50	39
351	2020	1973	2393
352	17	15	17
353	1	6	2
354	3	5	3
355	18	29	25
356	66	59	34
357	64	65	54
358	4	4	3
359	0	0	0
360	0	0	0
361	0	2	1
362	238	263	180
363	4	1	3
364	68	57	44
365	127	113	111
366	0	1	1
367	51	56	40
368	8	4	8
369	16	16	8
370	25	25	30
371	0	0	0
372	2	1	3
373	15	11	9
374	369	343	408
375	0	0	0
376	2	4	3
377	4	9	8
378	5	8	10
379	85	67	53
380	20	17	19
381	2	0	2
382	158	175	159
383	343	305	283
384	1	0	0
385	0	3	0
386	10	20	15
387	95	104	108
388	63	98	63
389	7	4	6
390	151	152	122
391	198	189	199
392	11	9	8
393	66	53	48
394	60	79	66
395	119	102	74
396	0	0	0
397	9	7	6
398	129	115	135
399	559	520	608
400	2	2	0
401	11	7	16
402	222	251	169
403	6	3	5
404	8	7	9
405	9	23	15
406	12	9	6
407	22	15	14
408	733	763	698
409	91	86	76
410	12	12	17
411	82	65	79
412	6	2	2
413	0	0	0
414	29	32	33
415	1	0	1
416	1	1	2
417	41	27	28
418	54	65	58
419	6	12	9
420	2	8	2
421	5	14	12
422	22	22	17
423	13	16	9
424	3	1	0
425	8	12	5
426	10	11	7
427	10	9	7
428	3	1	2
429	53	52	55
430	100	125	106
431	373	400	363
432	25	33	27
433	15	7	6
434	0	0	0
435	6	13	9
436	39	22	30
437	22	25	34
438	0	0	0
439	6	5	4
440	11	15	15
441	1	2	1
442	85	94	101
443	5	7	3
444	0	0	1
445	13	14	16
446	76	78	74
447	69	60	59
448	26	38	21
449	0	0	0
450	16	21	13
451	4	5	5
452	83	85	67
453	2	1	3
454	35	34	40
455	0	0	0
456	17	15	15
457	315	305	221
458	10	9	5
459	0	2	2
460	0	1	1
461	0	0	0
462	103	86	77
463	62	55	50
464	1295	1287	1300
465	41	33	17
466	42	36	43
467	115	108	98
468	0	0	2
469	11	9	3
470	4	5	5
471	123	130	128
472	203	174	210
473	13	9	11
474	3	0	3
475	19	30	29
476	2	0	1
477	12	18	17
478	20	18	14
479	1	1	1
480	0	0	0
481	5	5	5
482	35	30	38
483	7	2	5
484	4	2	4
485	33	21	16
486	109	97	74
487	2	1	1
488	13	38	19
489	62	68	81
490	1	0	0
491	19	30	18
492	81	84	110
493	4	10	9
494	143	130	147
495	83	66	70
496	5	1	2
497	3	5	5
498	20	17	18
499	0	0	0
500	40	34	22
501	9	17	14
502	75	51	64
503	43	50	40
504	10	20	17
505	7	9	8
506	2	1	2
507	94	76	63
508	0	0	0
509	0	0	0
510	50	43	29
511	18	10	14
512	2	0	0
513	28	16	15
514	222	216	205
515	15	17	7
516	2	0	1
517	14	14	18
518	31	36	22
519	6	9	11
520	8	8	3
521	29	19	17
522	0	0	0
523	125	119	122
524	92	91	61
525	8	8	12
526	44	65	49
527	7	7	7
528	10	5	6
529	0	0	0
530	0	0	1
531	0	3	0
532	65	57	57
533	6	2	4
534	122	126	111
535	1	1	0
536	7	5	6
537	38	35	37
538	5	2	3
539	7	8	3
540	3	7	8
541	3	0	5
542	0	0	0
543	0	2	1
544	104	94	136
545	2	9	10
546	1	2	2
547	13	18	22
548	2	0	0
549	24	24	17
550	24	19	19
551	1	1	1
552	15	20	10
553	160	161	152
554	4	7	9
555	13	4	9
556	0	2	1
557	12	19	10
558	3	1	4
559	0	0	0
560	54	42	34
561	15	9	8
562	7	7	4
563	11	7	14
564	15	13	11
565	92	84	85
566	18	18	21
567	14	12	17
568	31	31	26
569	724	655	720
570	16	13	15
571	1	4	5
572	35	45	33
573	0	0	0
574	0	0	1
575	164	154	86
576	1	0	0
577	20	11	10
578	9	4	6
579	0	0	0
580	22	22	20
581	60	39	49
582	0	0	0
583	19	23	18
584	0	0	1
585	39	35	39
586	1	1	1
587	57	44	33
588	14	19	4
589	0	0	0
590	0	4	3
591	4	5	0
592	41	40	27
593	43	34	30
594	42	31	19
595	0	0	0
596	36	34	38
597	1460	1355	1443
598	107	106	118
599	110	101	102
600	15	22	16
601	8	4	5
602	8	5	11
603	70	47	45
604	328	287	236
605	15	27	35
606	122	129	128
607	45	35	38
608	3	0	1
609	1723	1619	1616
610	46	58	62
611	118	109	105
612	0	0	1
613	0	0	0
614	65	75	58
615	3	1	3
616	9	8	7
617	16	10	21
618	28	23	24
619	23	15	10
620	7	8	12
621	28	14	13
622	5	3	5
623	15	6	5
624	26	31	21
625	79	84	89
626	1	1	1
627	35	37	33
628	26	24	21
629	13	10	14
630	25	22	23
631	16	15	9
632	75	80	80
633	0	0	2
634	47	55	31
635	0	0	0
636	0	0	0
637	0	0	0
638	224	227	236
639	17	24	21
640	65	55	56
641	1	6	1
642	105	110	84
643	6	6	6
644	196	183	172
645	8	5	5
646	20	17	23
647	70	74	62
648	21	12	15
649	31	38	21
650	5	3	6
651	0	0	0
652	64	53	58
653	8	6	2
654	25	48	36
655	0	0	0
656	47	44	48
657	25	18	11
658	427	367	334
659	42	33	31
660	164	168	126
661	106	121	109
662	3	2	3
663	0	0	0
664	14	15	14
665	6	5	17
666	24	19	16
667	21	24	24
668	59	36	36
669	2	1	3
670	4	4	3
671	71	49	36
672	10	9	8
673	29	17	20
674	13	18	15
675	1	0	0
676	4	4	2
677	187	173	188
678	0	1	1
679	52	41	51
680	8	4	9
681	87	85	83
682	7	10	8
683	123	110	111
684	251	241	268
685	6	0	3
686	0	0	0
687	32	24	22
688	7	4	2
689	54	56	43
690	0	1	1
691	25	27	18
692	142	136	164
693	17	19	18
694	27	36	29
695	0	0	0
696	76	59	44
697	1	2	1
698	6	8	7
699	10	10	10
700	0	0	0
701	22	20	21
702	20	21	21
703	1	1	2
704	0	0	0
705	15	8	9
706	2	0	1
707	0	0	0
708	6	6	9
709	0	0	1
710	24	24	26
711	23	25	25
712	46	50	39
713	90	104	94
714	162	117	120
715	125	118	146
716	34	20	20
717	9	11	11
718	2	5	4
719	6	12	8
720	14	9	15
721	15	10	14
722	2	1	1
723	199	205	220
724	29	26	22
725	71	70	79
726	7	9	19
727	34	51	45
728	137	146	114
729	6	4	0
730	52	68	59
731	84	82	68
732	98	82	73
733	6	2	2
734	1	0	2
735	92	114	63
736	31	33	34
737	104	90	83
738	2	5	8
739	0	0	0
740	334	280	283
741	5	3	7
742	17	13	11
743	45	53	61
744	520	568	544
745	31	29	32
746	132	142	124
747	94	91	70
748	9	4	11
749	6	3	7
750	1	0	1
751	148	127	134
752	2	3	6
753	183	184	169
754	7	8	4
755	5	5	6
756	272	232	193
757	43	46	47
758	0	1	3
759	19	9	8
760	26	15	29
761	58	58	44
762	443	435	339
763	77	78	62
764	23	20	28
765	46	66	92
766	1	2	8
767	1	4	2
768	0	0	2
769	160	207	146
770	21	24	19
771	327	356	381
772	21	21	12
773	10	15	21
774	9	5	3
775	43	51	47
776	18	15	16
777	2	1	0
778	34	22	21
779	10	6	9
780	46	46	35
781	7	2	5
782	17	8	6
783	86	95	87
784	13	10	10
785	5	2	7
786	0	0	0
787	25	19	15
788	86	85	107
789	49	47	32
790	4	2	1
791	15	22	21
792	48	44	36
793	295	231	234
794	30	39	34
795	33	34	19
796	18	27	9
797	9	7	5
798	6	4	5
799	3	3	4
800	31	23	27
801	36	26	20
802	7	9	6
803	650	547	471
804	109	122	66
805	19	9	15
806	66	53	44
807	2	3	4
808	34	23	13
809	1	0	0
810	16	19	16
811	20	14	17
812	15	23	25
813	437	407	331
814	0	2	0
815	0	0	0
816	2	1	1
817	6	6	2
818	16	9	6
819	167	148	162
820	31	10	16
821	1	2	5
822	7	6	3
823	13	8	3
824	68	58	84
825	12	7	2
826	3	6	5
827	59	50	46
828	29	30	36
829	89	78	75
830	9	8	9
831	101	79	73
832	4	5	9
833	40	27	27
834	71	56	58
835	2	4	4
836	18	21	13
837	57	68	57
838	58	49	40
839	11	10	6
840	6	8	7
841	4	3	2
842	7	10	7
843	4	8	5
844	0	1	1
845	0	1	0
846	67	60	53
847	3	3	3
848	21	27	31
849	5	2	2
850	19	18	17
851	7	4	5
852	9	6	4
853	0	0	0
854	12	4	8
855	12	13	12
856	9	11	7
857	73	54	61
858	6	5	4
859	0	0	0
860	0	2	1
861	4	5	4
862	20	19	16
863	6	6	8
864	56	43	51
865	81	82	61
866	34	28	31
867	11	10	11
868	28	35	20
869	0	0	0
870	0	0	0
871	15	19	17
872	5	3	3
873	72	59	52
874	120	143	105
875	14	17	13
876	0	1	0
877	113	110	114
878	0	0	0
879	44	35	37
880	18	12	11
881	5	5	3
882	11	21	19
883	0	0	1
884	6	13	3
885	0	0	0
886	0	0	0
887	2	5	0
888	18	14	14
889	7	8	4
890	120	100	100
891	103	100	104
892	1	4	3
893	31	31	27
894	3	4	1
895	64	66	39
896	8	5	8
897	0	0	0
898	90	74	66
899	32	40	32
900	13	9	9
901	0	0	0
902	10	14	6
903	15	11	7
904	3	4	4
905	8	6	7
906	26	25	31
907	23	20	20
908	24	36	30
909	0	0	0
910	66	73	60
911	5	11	8
912	33	34	38
913	87	64	69
914	33	24	25
915	0	1	1
916	0	0	0
917	12	9	3
918	45	31	33
919	0	0	1
920	0	0	0
921	8	7	7
922	8	13	10
923	30	21	29
924	3	5	3
925	16	13	14
926	10	2	11
927	62	57	44
928	48	40	32
929	97	80	55
930	24	26	31
931	0	0	0
932	0	0	1
933	32	23	28
934	34	18	19
935	100	92	76
936	30	17	22
937	3	2	2
938	214	227	187
939	12	14	8
940	2	3	1
941	56	52	59
942	0	0	0
943	1	5	5
944	16	10	10
945	32	22	33
946	146	115	83
947	100	70	85
948	121	101	69
949	1	1	1
950	7	4	8
951	440	394	379
952	14	14	12
953	4	11	7
954	0	0	0
955	8	6	4
956	1	3	4
957	0	0	0
958	2	2	6
959	1	0	1
960	50	55	53
961	81	86	86
962	62	76	55
963	193	155	163
964	4	4	3
965	1	0	2
966	17	6	12
967	0	0	0
968	190	178	158
969	29	55	40
970	4	10	4
971	10	12	13
972	332	307	243
973	43	20	30
974	5	0	2
975	0	0	0
976	2	3	4
977	25	4	18
978	73	35	45
979	0	0	0
980	0	3	0
981	0	0	0
982	4	5	5
983	142	116	106
984	1140	1065	1103
985	13	4	12
986	55	37	55
987	103	91	91
988	25	30	25
989	738	792	689
990	248	242	219
991	8	6	6
992	1	6	0
993	4	2	1
994	18	27	25
995	7	6	9
996	2	10	2
997	10	5	3
998	17	11	15
999	5	2	3
1000	7	7	9
1001	166	174	179
1002	21	19	10
1003	0	0	0
1004	14	11	17
1005	6	1	4
1006	128	122	85
1007	0	0	0
1008	19	19	20
1009	165	140	119
1010	20	41	23
1011	7	10	11
1012	40	30	35
1013	2	1	3
1014	6	8	10
1015	42	28	34
1016	490	440	331
1017	36	45	28
1018	550	508	468
1019	0	0	0
1020	24	16	12
1021	339	371	335
1022	17	17	11
1023	0	0	0
1024	40	38	27
1025	33	45	40
1026	0	2	0
1027	100	115	149
1028	62	69	52
1029	10	15	12
1030	16	14	13
1031	4	2	4
1032	15	21	14
1033	31	29	33
1034	4	5	1
1035	6	4	6
1036	10	5	13
1037	11	6	20
1038	8	10	8
1039	8	9	8
1040	35	47	45
1041	30	21	15
1042	110	114	127
1043	4	5	4
1044	9	8	14
1045	6	4	9
1046	0	0	0
1047	4	1	1
1048	16	13	13
1049	0	0	0
1050	24	14	15
1051	52	40	39
1052	2	1	3
1053	18	8	17
1054	1	0	0
1055	49	60	48
1056	105	71	65
1057	24	18	26
1058	34	36	31
1059	1	1	0
1060	517	508	465
1061	9	8	13
1062	1064	1013	962
1063	30	33	24
1064	255	228	205
1065	42	51	56
1066	4	7	2
1067	23	18	19
1068	0	0	0
1069	21	21	24
1070	4	3	6
1071	8	10	6
1072	1	0	0
1073	106	99	121
1074	122	127	143
1075	2	5	2
1076	6	6	4
1077	1	1	0
1078	173	161	153
1079	3	3	2
1080	6	3	5
1081	3	1	2
1082	0	0	0
1083	9	15	11
1084	119	108	92
1085	18	23	18
1086	12	11	7
1087	11	10	11
1088	3	3	6
1089	0	0	1
1090	0	0	0
1091	5	6	3
1092	108	75	90
1093	28	28	21
1094	22	10	15
1095	13	9	10
1096	254	265	174
1097	4	0	4
1098	3	6	2
1099	16	16	13
1100	3	6	3
1101	78	89	104
1102	86	89	100
1103	20	23	21
1104	7	3	2
1105	73	82	46
1106	1	2	0
1107	193	202	181
1108	85	77	61
1109	7	5	2
1110	1	0	0
1111	0	0	1
1112	42	28	24
1113	8	10	3
1114	2	4	1
1115	0	0	0
1116	27	32	23
1117	7	2	9
1118	0	0	0
1119	198	211	177
1120	2	2	1
1121	2	3	2
1122	4	3	3
1123	1	0	0
1124	8	7	7
1125	0	3	0
1126	16	12	14
1127	7	15	4
1128	0	0	0
1129	0	0	0
1130	0	2	0
1131	5	2	3
1132	6	5	4
1133	4	0	3
1134	33	28	19
1135	64	59	57
1136	29	30	16
1137	445	383	305
1138	6	10	4
1139	13	22	14
1140	19	15	17
1141	1	2	5
1142	4	2	3
1143	13	23	22
1144	99	89	91
1145	40	39	31
1146	0	0	0
1147	31	37	39
1148	68	66	64
1149	18	13	26
1150	3	2	5
1151	147	123	139
1152	576	543	575
1153	2	1	5
1154	38	45	30
1155	26	29	23
1156	8	7	7
1157	229	189	185
1158	0	0	0
1159	2	3	2
1160	113	105	93
1161	35	34	36
1162	24	18	16
1163	22	20	17
1164	21	12	16
1165	97	60	66
1166	0	0	0
1167	1	0	4
1168	12	12	10
1169	4	1	3
1170	176	146	153
1171	14	9	10
1172	531	440	444
1173	7	7	4
1174	1	2	2
1175	2	1	4
1176	104	94	84
1177	37	28	36
1178	65	51	85
1179	1	0	0
1180	0	1	0
1181	22	24	24
1182	0	0	0
1183	10	19	10
1184	25	25	19
1185	5	5	6
1186	249	237	177
1187	1172	1161	1116
1188	19	18	19
1189	17	14	13
1190	5	8	0
1191	9	16	8
1192	26	19	21
1193	27	18	16
1194	3	1	4
1195	0	0	0
1196	11	10	6
1197	0	0	0
1198	3	2	0
1199	3	10	3
1200	0	0	0
1201	0	3	2
1202	1	1	0
1203	0	0	0
1204	22	26	24
1205	151	139	130
1206	27	23	23
1207	124	103	94
1208	5	5	11
1209	148	140	143
1210	171	136	159
1211	191	177	198
1212	19	16	13
1213	0	0	0
1214	0	0	0
1215	312	224	221
1216	41	27	33
1217	58	67	68
1218	21	35	37
1219	0	0	0
1220	70	77	64
1221	1	0	0
1222	3	4	3
1223	6	5	8
1224	28	27	20
1225	1	5	2
1226	21	20	29
1227	31	31	30
1228	7	0	2
1229	39	32	28
1230	0	0	0
1231	459	476	441
1232	16	14	6
1233	14	14	15
1234	24	36	36
1235	29	31	28
1236	11	24	11
1237	52	56	40
1238	24	13	27
1239	7	9	3
1240	9	8	11
1241	0	0	0
1242	228	228	201
1243	0	1	0
1244	0	0	0
1245	0	0	0
1246	1	0	0
1247	244	279	276
1248	5	3	1
1249	10	10	12
1250	7	10	8
1251	46	36	31
1252	16	28	25
1253	13	11	11
1254	8	9	9
1255	47	44	39
1256	0	0	2
1257	2	2	3
1258	6	5	7
1259	645	650	586
1260	27	29	18
1261	10	9	12
1262	11	4	10
1263	15	11	9
1264	8	5	8
1265	344	320	359
1266	45	47	47
1267	17	28	26
1268	1	2	1
1269	568	490	484
1270	17	12	14
1271	29	22	20
1272	4	1	2
1273	27	18	13
1274	11	4	2
1275	221	245	213
1276	2	0	1
1277	0	0	1
1278	338	299	265
1279	21	16	23
1280	52	50	54
1281	31	29	22
1282	0	0	0
1283	51	72	75
1284	9	7	8
1285	34	39	14
1286	37	26	22
1287	15	16	17
1288	42	28	45
1289	34	34	21
1290	25	27	20
1291	4	1	1
1292	12	5	9
1293	73	42	42
1294	1	4	8
1295	1	1	2
1296	13	10	9
1297	0	0	0
1298	0	0	0
1299	3	2	1
1300	13	7	4
1301	21	19	16
1302	20	13	16
1303	150	133	123
1304	23	8	20
1305	11	7	10
1306	118	120	111
1307	3	3	6
1308	20	19	23
1309	319	325	323
1310	21	31	26
1311	32	42	71
1312	45	48	44
1313	1	4	0
1314	1	0	0
1315	13	9	4
1316	38	43	29
1317	29	31	41
1318	80	65	76
1319	98	84	127
1320	35	26	26
1321	813	848	857
1322	2	1	5
1323	501	488	521
1324	366	315	366
1325	19	17	15
1326	10	8	7
1327	11	13	17
1328	24	16	16
1329	245	231	212
1330	21	13	17
1331	39	23	21
1332	8	13	10
1333	16	11	13
1334	20	16	11
1335	4	12	8
1336	24	32	28
1337	7	3	1
1338	40	26	32
1339	20	15	19
1340	59	67	103
1341	79	108	93
1342	13	16	9
1343	3	3	3
1344	13	7	9
1345	262	226	214
1346	74	63	62
1347	3	7	6
1348	0	0	1
1349	0	0	0
1350	0	0	0
1351	2	1	1
1352	23	16	14
1353	36	79	63
1354	116	127	72
1355	0	0	0
1356	113	119	111
1357	716	655	573
1358	8	5	7
1359	15	11	7
1360	6	2	4
1361	5	1	0
1362	61	72	64
1363	199	182	151
1364	6	7	2
1365	13	11	9
1366	44	25	46
1367	1	2	2
1368	59	52	58
1369	26	29	24
1370	58	37	65
1371	47	33	55
1372	15	10	16
1373	0	1	0
1374	2	3	10
1375	110	94	98
1376	5	7	7
1377	2	3	3
1378	30	29	29
1379	106	132	95
1380	0	0	0
1381	1	2	3
1382	48	48	30
1383	5	4	6
1384	31	25	23
1385	36	43	37
1386	18	23	17
1387	148	123	122
1388	2	6	3
1389	38	20	42
1390	452	471	425
1391	5	1	4
1392	217	261	211
1393	4	6	4
1394	20	24	23
1395	0	0	0
1396	76	82	62
1397	0	1	0
1398	65	58	70
1399	12	5	9
1400	1	1	2
1401	22	20	21
1402	10	8	11
1403	0	0	0
1404	0	0	0
1405	20	31	34
1406	11	7	3
1407	9	10	10
1408	18	25	14
1409	1	4	2
1410	10	4	8
1411	0	3	3
1412	1	0	1
1413	44	35	31
1414	0	0	0
1415	0	3	2
1416	2	3	2
1417	79	67	75
1418	175	226	181
1419	34	21	24
1420	39	48	39
1421	20	23	4
1422	1	0	0
1423	1	0	0
1424	1	0	1
1425	2	4	4
1426	3	5	2
1427	10	13	5
1428	2	4	0
1429	22	16	15
1430	112	98	105
1431	25	29	20
1432	29	60	54
1433	0	0	0
1434	4	5	5
1435	22	12	15
1436	2	1	2
1437	0	0	0
1438	0	0	0
1439	0	0	0
1440	39	29	24
1441	2	2	1
1442	3	6	11
1443	16	17	11
1444	22	24	22
1445	107	63	84
1446	7	5	8
1447	1	2	0
1448	12	22	24
1449	1	1	1
1450	0	0	0
1451	2	1	1
1452	20	17	24
1453	3	10	1
1454	33	26	45
1455	174	178	176
1456	46	43	37
1457	0	0	0
1458	24	30	35
1459	7	6	3
1460	19	24	24
1461	0	0	0
1462	8	10	8
1463	67	74	69
1464	15	31	16
1465	42	56	47
1466	2	1	3
1467	29	42	32
1468	2	5	8
1469	14	15	9
1470	22	15	26
1471	21	22	8
1472	21	23	20
1473	24	15	27
1474	4	2	2
1475	32	29	29
1476	15	14	16
1477	60	80	47
1478	384	352	334
1479	26	22	25
1480	51	60	49
1481	109	102	95
1482	45	49	34
1483	41	36	23
1484	25	27	24
1485	2	2	3
1486	1	4	0
1487	0	0	0
1488	55	71	59
1489	343	320	370
1490	8	5	11
1491	0	0	0
1492	12	14	7
1493	5	9	6
1494	27	25	32
1495	1	2	0
1496	90	95	102
1497	49	36	51
1498	1	0	0
1499	15	16	29
1500	10	6	6
1501	48	29	43
1502	272	236	191
1503	15	16	8
1504	4	5	2
1505	115	73	94
1506	0	0	0
1507	0	0	0
1508	58	56	51
1509	32	33	31
1510	4	8	5
1511	30	36	22
1512	1	3	0
1513	10	3	5
1514	6	3	4
1515	27	32	33
1516	3	3	5
1517	7	4	5
1518	225	221	216
1519	0	0	0
1520	28	34	17
1521	23	12	15
1522	17	14	20
1523	108	115	94
1524	1	1	4
