	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	14104	13457	13189	14152	13464	12708	13839	13556	12782	14126	13355	13231	14602	13757	13074	13945	13892	13323	14479	14119	13369	15216	13806	13415	14977	13694	12842	14447	15131	10357	12704	9216	10391
ARG	10668	10176	9587	10640	10349	9743	10902	10148	9668	10794	10278	9939	11445	10677	10155	11407	10660	9809	11246	10480	9860	10890	10807	10308	11093	10797	9742	10264	10434	9802	10457	11522	8173
ASN	12709	11933	11309	12357	11852	11364	12379	11848	11255	12461	11931	11110	12464	11575	10832	13010	12228	11385	12112	11606	11287	12127	11713	11357	12709	12249	11248	13031	11309	12398	15021	16721	12529
ASP	15619	14754	14947	15668	14754	14516	15551	14812	14552	15267	15008	14720	15908	15197	15014	15261	14760	14807	15232	15380	15450	16774	15710	14923	15970	14923	14502	15107	14592	12967	15528	13288	18899
CYS	1775	1647	1615	1796	1747	1722	1854	1726	1636	1867	1806	1733	1852	1796	1664	1769	1720	1615	1848	1845	1748	1776	1697	1561	1758	1801	1809	1791	1843	1847	1614	1568	975
GLN	10138	9632	9278	10226	9707	9206	10121	9683	9389	10142	9800	9118	9689	9389	9404	10129	9497	9027	9758	9415	9215	9593	9616	9179	10261	10167	9602	10595	9401	9162	9450	11633	9923
GLU	20945	20060	19849	21001	20271	19555	21331	20075	19793	20705	19954	20514	21146	20173	20093	20240	19918	20221	21498	20407	20483	21827	20508	20564	21594	19984	19631	19242	19357	17667	20648	17681	31182
GLY	13259	12405	11634	12769	12348	11675	13011	12509	11768	12923	12267	12001	13807	12954	12063	13498	13329	12048	12770	12965	11675	13287	13294	12438	13059	12579	11488	12545	13696	10683	8375	9082	8768
HIS	4169	3863	3709	4153	3895	3885	4072	3951	3678	4202	3903	3715	3992	3840	3775	4289	4108	3752	4051	4006	3918	4108	4105	3828	4266	4176	3865	4516	3479	3686	3735	4746	3277
ILE	13308	12617	11930	13215	12472	12245	13426	12358	12157	13363	12437	11774	13045	12541	12218	13442	12690	12115	13058	12718	11631	12909	12194	11950	13200	12260	12135	13403	12291	14107	16591	13393	11939
LEU	18086	17441	16499	18493	17306	16826	18428	17508	17093	18293	17171	16448	18173	17370	16525	18152	16844	16637	18274	17104	16853	18333	17352	16201	18207	17988	17073	18964	18334	19294	19003	17436	13092
LYS	20693	19970	19028	20660	19715	19396	20976	19760	19128	21019	20041	19077	21125	20048	19442	21407	20237	18942	21387	19234	18884	20222	19708	19180	20755	19938	19471	20800	19386	20011	23511	25865	23560
PHE	7674	7275	7297	7820	7397	7098	7703	7354	7236	7826	7403	6890	7145	7048	6987	7680	7186	7035	7555	7239	6966	7543	7444	6677	7229	7545	7082	8169	7571	8488	7843	8156	5601
PRO	8944	8377	8199	9057	8500	8332	9040	8365	8010	9010	8476	8085	9222	8603	7842	9745	9341	8308	10124	8790	8035	8796	8203	7946	8661	8133	8617	10316	7930	8165	7386	7940	7059
SER	16510	15796	14947	16444	15894	15042	16376	15849	15302	16896	15750	15228	16462	15580	14830	15990	14871	14864	16391	15672	15173	16789	15539	15015	16040	15500	15435	16727	16448	15800	15868	16371	11648
THR	11996	11259	10982	11697	11126	10715	11809	11353	11057	12105	11497	10829	11483	10919	10895	11530	10895	10598	11916	10848	10627	11777	11001	11089	12351	10651	11033	11904	11192	10786	14474	10836	10162
TRP	1903	1807	1720	1939	1697	1684	1857	1814	1721	1936	1852	1811	2054	1912	1662	1879	1796	1802	2019	1935	1770	1944	1918	1834	2111	1989	1875	1992	1840	2179	1799	1007	1217
TYR	6486	6298	6003	6812	6381	5928	6584	6355	5923	6584	6378	5995	6646	6246	5832	6582	6195	6007	6241	6062	6068	6331	6061	5798	6280	6475	5950	6899	6667	7084	6793	8099	5303
VAL	12830	12367	11956	13227	12650	12205	13146	12621	11970	13112	12607	12045	12723	12481	12119	12929	12195	12299	13160	12756	11985	13445	12173	11850	13083	12199	11815	13089	12203	10790	12299	8750	12812
TERM	222	239	204	218	176	187	172	155	191	197	181	172	526	536	198	204	166	164	147	129	173	152	140	148	106	94	134	129	134	132	104	140	167
MET	3351	3221	2986	3407	3190	3070	3395	3314	3043	3428	3245	3110	3318	3246	3175	3619	3191	3205	3594	3166	3033	3228	3128	3110	3541	3105	3185	3485	3192	3297	4391	3156	2227
