	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	21995	20964	20283	21934	20760	19720	21623	20983	19922	21593	20574	20083	22344	20918	20039	21402	20615	19805	21732	20840	19990	22724	20488	19800	22358	19617	19319	22303	23167	16239	20486	14467	15613
ARG	17131	16322	15188	17068	16271	15449	17624	16437	15771	17948	16661	16101	18653	17043	16064	18314	17115	15754	18195	17269	15950	17488	17312	16159	17922	17252	15309	16388	16602	15805	17076	18902	13273
ASN	19977	18807	18399	20042	18915	18024	20314	18618	18229	20374	18753	17631	20005	18635	17538	20908	19344	17813	19673	18517	17972	19748	18904	18331	20696	19340	18032	20817	18364	19235	23596	25877	19120
ASP	23815	22558	22353	23753	22471	21971	23747	22821	22134	23762	22676	22155	24341	22773	22586	23590	22170	22396	23204	23176	23145	25163	23730	22722	23935	22335	21562	23320	22150	20285	24138	19998	28050
CYS	3013	2742	2665	2881	2874	2700	2942	2786	2626	2945	2963	2622	3093	2886	2528	2727	2537	2656	2716	2832	2666	2887	2833	2567	2827	2897	2739	2798	2837	2967	2683	2598	1655
GLN	16671	15589	14730	16262	15474	14910	16408	15545	14692	16372	15908	14654	15594	15119	14996	16479	15370	14876	16659	15556	15065	15956	15996	15430	16964	16962	15910	17267	15322	14506	14732	18460	15940
GLU	31263	29782	29318	31802	30359	29232	31946	30117	29853	31568	29907	30381	32150	30105	30047	30445	28946	29972	31868	29927	30019	32201	29874	29349	31086	28890	28138	29032	29072	26954	31243	26608	46519
GLY	20245	19517	18081	20477	19309	18303	20308	19296	18318	20454	19285	18500	21070	19863	18418	20638	20780	18784	19883	19763	18076	20553	19926	18533	19507	19120	17274	19691	21516	17113	14150	14925	14080
HIS	6681	6384	6164	6719	6466	6148	6654	6401	6038	6940	6462	5960	6594	6269	6253	7029	6845	6330	7033	6726	6301	6728	6602	6273	6973	7257	6642	7740	6113	6281	5942	7831	5371
ILE	21818	20231	19202	21647	20427	19805	21579	20354	19467	21809	20269	19419	21204	20300	20035	22291	20541	19967	21562	20768	18976	21283	20251	19763	22318	20548	19716	21832	20099	21562	25951	21277	19585
LEU	29921	27727	26278	29896	27752	26895	29820	28065	27183	29491	27630	27169	29627	28165	27310	29810	27727	26861	29447	27143	27177	29669	28066	26268	29938	29193	27663	30165	28812	29533	30201	27771	20998
LYS	32144	31005	29362	32039	30638	29627	32473	30364	29328	32230	30822	29153	33140	31241	29644	33154	31637	29609	33474	30231	29667	31921	30871	29996	32920	31037	29673	31642	29660	30110	35463	39057	35882
PHE	12688	11925	11592	13038	12019	11420	12700	11917	11476	12606	11814	11315	11856	11310	11530	13123	12012	11135	12509	11960	11069	12709	12066	10944	12087	12088	11637	13281	12221	13595	12602	13054	9078
PRO	14590	13855	13358	14635	13792	13379	14562	13805	12994	14762	13707	13092	15065	14375	12819	16048	14859	13417	16323	14261	13235	14741	13163	13168	14548	13673	14122	16983	13467	13695	12829	13950	11452
SER	26398	25050	24110	26735	25473	24033	26751	25427	24250	26797	25387	24298	26331	25023	23715	25343	24397	23474	26205	25220	24152	27163	24797	24194	26457	25317	25137	27250	25684	25523	25654	26101	18924
THR	19385	17938	17487	19015	17707	17462	19050	18028	17638	19402	18507	17460	18840	17923	17189	18798	17872	17111	20047	18072	17500	19577	18087	17829	20522	17893	18169	20104	18223	17605	23082	17326	17958
TRP	3054	2934	2658	3116	2819	2589	2878	2838	2765	3096	2881	2863	3289	3027	2643	2937	2770	2749	3088	2919	2818	3033	2982	2847	3115	2958	2835	2984	2846	3334	3082	1653	2011
TYR	10720	10156	9785	10862	10057	9750	11042	10317	9461	10805	10224	9682	10710	10099	9191	10560	10336	9993	10420	10052	9745	10358	9888	9471	10347	10478	9957	11309	10460	11050	10708	12696	8602
VAL	20788	19580	19491	21118	20049	19388	20925	19860	18984	20773	19806	18920	20363	19529	19194	20440	19041	19190	20433	19990	18813	21203	19671	18839	20618	18881	18983	20571	19595	17643	20374	13876	20305
TERM	326	335	292	272	223	247	253	268	289	290	262	252	948	991	270	310	271	241	255	252	243	198	205	205	183	175	179	205	157	223	146	206	229
MET	5436	5075	4796	5319	5072	4836	5436	5081	4835	5409	5123	4795	5209	5028	4839	5706	4984	4916	5594	5005	4789	5262	5015	4925	5500	5008	4853	5410	4789	4894	7171	4808	3760
