	F0	F1	F2
0	1	0	5
1	6	2	1
2	148	202	228
3	180	189	170
4	40	58	44
5	38	37	33
6	12	5	3
7	33	46	47
8	49	40	36
9	9	14	11
10	73	53	52
11	84	122	97
12	64	58	39
13	772	862	974
14	6	6	1
15	661	655	569
16	0	0	0
17	1	0	0
18	108	98	83
19	46	49	45
20	30	25	27
21	22	23	26
22	0	0	0
23	38	35	29
24	3	2	1
25	20	21	21
26	12	12	5
27	229	201	186
28	9	14	12
29	6	8	9
30	0	0	0
31	56	43	34
32	32	30	20
33	55	58	58
34	6	7	3
35	4	21	9
36	14	17	18
37	182	147	194
38	17	16	11
39	9	1	10
40	10	18	13
41	280	308	299
42	7	5	1
43	124	141	147
44	8	12	6
45	25	34	40
46	24	18	17
47	42	39	28
48	8	12	5
49	107	110	110
50	102	91	75
51	3	2	3
52	202	187	192
53	44	37	45
54	50	36	39
55	8	5	7
56	0	4	2
57	225	231	237
58	82	93	108
59	19	18	18
60	5	8	13
61	2	3	0
62	21	16	23
63	25	20	23
64	31	21	27
65	18	23	12
66	18	26	27
67	125	114	111
68	12	8	5
69	3	4	3
70	0	0	0
71	22	16	16
72	94	90	109
73	7	10	4
74	10	16	9
75	4	1	1
76	91	83	74
77	2	1	0
78	3	5	5
79	37	25	30
80	4	2	1
81	17	16	20
82	42	36	34
83	22	19	14
84	42	28	24
85	376	326	323
86	5	9	8
87	75	81	64
88	222	180	187
89	7	6	4
90	13	7	7
91	125	95	99
92	26	23	17
93	29	28	26
94	51	88	71
95	7	9	6
96	14	11	7
97	102	103	107
98	50	52	53
99	28	21	31
100	6	5	5
101	271	217	195
102	93	74	81
103	97	73	62
104	9	5	4
105	40	32	32
106	47	38	41
107	10	8	4
108	1	0	0
109	20	16	16
110	7	5	5
111	15	14	15
112	0	1	0
113	4	6	2
114	45	45	41
115	0	0	0
116	14	18	21
117	1	3	3
118	22	9	15
119	23	32	27
120	224	211	189
121	11	5	7
122	3	5	2
123	538	511	524
124	33	21	24
125	150	95	132
126	18	17	14
127	26	34	17
128	10	9	10
129	43	41	35
130	0	0	0
131	52	42	41
132	32	23	16
133	47	33	34
134	303	325	285
135	44	35	46
136	1	0	1
137	11	5	14
138	225	178	143
139	7	5	5
140	26	32	28
141	143	132	138
142	18	31	18
143	30	24	23
144	430	425	386
145	125	118	103
146	0	0	0
147	2	2	1
148	29	18	23
149	496	479	422
150	7	12	10
151	30	21	19
152	29	35	28
153	59	61	60
154	281	276	278
155	122	109	64
156	9	8	6
157	19	9	9
158	11	12	14
159	4	2	2
160	9	8	10
161	234	206	159
