	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	16093	15644	14905	16077	15343	14393	16184	15681	14369	15919	15321	14620	16790	15758	14879	16047	15591	14938	16214	15829	14937	17069	15278	14757	16715	14910	14269	16349	17309	12129	15999	11145	11225
ARG	12381	12098	11067	12318	11985	10960	12666	11980	11414	12867	12302	11543	13400	12818	11534	13295	12868	11489	13422	12654	11546	13084	12997	11852	13094	12842	11650	12121	12239	11093	12203	14151	9424
ASN	14391	13570	12767	14498	13906	12920	14482	13699	12812	14694	13586	12643	14183	13152	12516	15071	14140	12551	13623	13116	12637	13986	13612	12893	14640	14029	12731	14380	12957	13288	16419	19018	13583
ASP	17315	16558	16034	17367	16330	15860	17274	16534	16046	17137	16410	15934	17836	16947	16627	17364	16580	16107	16985	16867	16566	18303	17404	16286	17609	16468	15920	16644	15812	14449	17923	14753	20411
CYS	2078	2055	1845	1992	2027	1950	2224	2000	1932	2273	2054	2011	2220	2082	1823	2056	1911	1947	2134	2190	2091	2185	2084	1925	2107	2214	2048	2142	2217	2168	1895	1797	1209
GLN	12335	11591	10862	12345	11533	10762	12082	11653	11038	12102	11790	10649	11492	11146	10740	11929	11166	10585	12013	11364	10607	11667	11563	10810	12263	11895	11044	12757	11180	10551	11065	13375	11492
GLU	23005	21799	21220	23065	22348	21455	23152	22091	21513	23084	22067	22156	23354	22216	21839	22643	21686	22191	23406	21680	22071	23827	21953	21944	23173	21657	21255	21898	21656	19581	22603	18923	34287
GLY	14870	14310	13116	14723	14321	13305	14898	14418	13232	14819	14458	13590	15695	14990	13418	15208	15418	13776	15131	15186	13663	15498	15075	13661	14647	14619	13255	14810	16666	12930	10351	11190	10264
HIS	4764	4494	4451	4836	4755	4481	4759	4614	4290	5043	4664	4235	4874	4576	4373	5006	4787	4325	4872	4734	4471	4703	4658	4335	4807	4835	4394	5310	4244	4438	4605	5797	3822
ILE	15160	14491	13580	15061	14438	13848	15303	14398	13857	15160	14684	13527	14913	14372	13750	15606	14546	13976	14972	14704	13206	14892	14272	13833	15815	14489	13746	15262	14107	15530	18633	14762	14147
LEU	21108	20033	18649	21351	19918	19433	21098	20089	19239	21219	19923	18819	21344	20147	19108	20804	19498	18915	21061	19368	19313	21113	19830	18674	21061	20510	19119	21581	20963	21310	21127	19865	14995
LYS	23312	22418	21394	23617	22231	21315	23656	22330	21101	23579	22260	21235	23646	22380	21267	23899	22985	20922	24141	22028	20885	22551	22525	21469	23136	22573	21399	22685	21057	21014	24960	27980	25287
PHE	9134	8696	8369	9176	8816	8380	9254	8912	8258	8986	8552	7978	8339	8320	8229	9166	8614	8105	8856	8630	8046	8858	8640	7931	8518	8994	8124	9392	8780	9607	8956	9409	6397
PRO	11099	10367	9921	11073	10512	9817	10987	10503	9625	10877	10557	9767	11187	10778	9534	12136	11342	9909	12425	10861	9686	11124	10295	9810	11206	10473	10414	12962	10139	10689	10029	10776	8257
SER	19487	18557	17553	19654	18881	17660	19609	18817	17902	20061	18989	17898	19639	18570	17476	18761	18320	17216	19426	19108	17794	20007	18689	17578	19525	18882	18314	20122	19465	18664	19311	19864	13493
THR	14182	13512	12673	13737	13209	12351	13972	13254	12726	14031	13620	12722	13391	13254	12669	13548	12988	12362	14204	13063	12335	14068	13371	12787	14780	12852	12369	14191	13526	12716	17234	13389	13398
TRP	2155	2203	1820	2172	2039	1787	2068	2065	1869	2142	1980	2031	2490	2215	1891	2120	2009	1969	2223	2136	2072	2162	2185	1971	2290	2230	1952	2198	2151	2438	2210	1299	1544
TYR	7571	7303	6878	7891	7230	6839	7583	7171	6691	7642	7302	6789	7632	7025	6414	7529	7113	6842	7185	7302	6771	7313	7081	6715	7419	7602	6823	8097	7425	7832	7358	9287	6126
VAL	15231	14410	14292	15239	14735	14066	15355	14645	13971	15296	14708	13918	14893	14570	14136	15185	14239	14385	15342	15324	14089	15799	14569	13924	15398	14499	14325	15641	14826	12972	14602	10101	14975
TERM	302	288	225	249	201	196	204	200	209	237	218	199	890	989	308	259	267	182	220	183	187	184	153	172	183	162	155	168	149	164	125	143	195
MET	3894	3562	3311	3952	3725	3425	3929	3768	3405	3890	3640	3487	3791	3782	3596	4007	3566	3528	3989	3453	3512	3697	3788	3358	3961	3502	3568	3802	3548	3499	5092	3569	2769
