	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	147108	139355	132067	0.11633804254362935	0.0	35.14873485771629	-9	1.044273594909862	418530	138834	0.0501700050338402	0.061270980502400006
ARG	116527	112544	103055	0.11231378810800506	0.0	35.08517851658708	-12	1.036652449646863	332126	104743	0.037850647804280824	0.06444688632154405
ASN	129568	122810	114470	0.12711895033446477	0.0	35.31926029309142	-15	1.0468557051123735	366848	185289	0.06695730197729098	0.04024024271578015
ASP	157190	150098	145380	0.08945872254720053	0.0	34.72522908621771	-9	1.0479483427698963	452668	164468	0.05943328282629349	0.055939999287326306
CYS	19269	18617	17572	0.090730459585149	0.0	34.74521259331386	-21	1.0616534329752452	55458	28770	0.010396524229105137	0.03917855506500264
GLN	108228	103701	97097	0.10832889179791445	0.0	35.02229585860089	-27	1.0265827697083934	309026	125340	0.04529372078123176	0.05011057699346553
GLU	208709	197497	195644	0.08644598628664238	0.0	34.67790977818394	-9	1.0274736594971947	601850	180926	0.06538065841762516	0.0676100654681814
GLY	135489	132795	121016	0.09442113169246923	0.0	34.803236578474184	-18	1.0425569603436442	389300	139409	0.050377790971682934	0.05675676909470273
HIS	43664	42117	39355	0.10013997537278267	0.0	34.893236159058944	-21	1.039460425064126	125136	57696	0.02084942168656413	0.044081933676854056
ILE	136882	130394	123323	0.10971255581870715	0.0	35.044124536929175	-6	1.039837232068497	390599	195648	0.070700701160096	0.04057698623920552
LEU	190159	179316	171269	0.11744195082799695	0.0	35.166178450431254	-27	1.0105175142906726	540744	254665	0.09202748845342577	0.0431565302996171
LYS	211537	201730	190987	0.10741997665464378	0.0	35.007960228645565	-12	1.0270969144877728	604254	203886	0.07367764125739763	0.06023601069100878
PHE	80287	78174	73420	0.08302565823011178	0.0	34.62422535697189	-24	1.0373534943390585	231881	120020	0.04337124914762595	0.03926771366398964
PRO	102114	95688	88483	0.14913476652719285	0.0	35.66865186789388	-12	1.0950995945707738	286285	123978	0.0448015391336808	0.046932970308097934
SER	176169	168813	159391	0.10236725743881982	0.0	34.928316940042386	-21	1.0248624899954022	504373	247688	0.08950623195198447	0.041387666117526666
THR	125913	119123	112994	0.117575055094687	0.0	35.16828198754294	-6	1.0564437349598532	358030	169243	0.06115880952750923	0.04299646754738557
TRP	19822	19062	17362	0.1222131704316367	0.0	35.24161718166625	-18	1.130562001816164	56246	26167	0.009455886322662291	0.04368796156282685
TYR	67765	65129	60762	0.10643708422649666	0.0	34.99246085842938	-27	1.0480188888069062	193656	96875	0.03500741344089538	0.04062967187456528
VAL	137738	131699	127106	0.09006114405890464	0.0	34.73469459806376	-9	1.0323294951284323	396543	148948	0.053824869338781785	0.05411026801886153
TERM	2728	2661	1833	0.2798435198442652	0.0	37.77346995292163	-18	2.936217008797654	7222	5565	0.0020110065114692416	0.026376452743830298
MET	35110	32786	31190	0.13435120321122584	0.0	35.43386553095291	-15	1.0271432640273426	99086	49113	0.01774781002655685	0.04100529180782792
