	F0	F1	F2
0	1	2	1
1	6	1	1
2	103	122	175
3	156	159	166
4	27	43	47
5	31	26	24
6	5	2	4
7	13	28	17
8	26	36	36
9	2	3	8
10	41	45	45
11	62	71	62
12	71	42	46
13	655	708	734
14	3	1	2
15	490	522	481
16	0	0	0
17	1	2	1
18	55	51	51
19	44	37	43
20	20	20	23
21	9	19	30
22	0	0	0
23	21	24	28
24	4	5	0
25	16	20	13
26	7	6	7
27	132	116	114
28	12	12	12
29	10	5	6
30	2	0	2
31	27	29	29
32	16	31	19
33	23	36	23
34	7	5	4
35	8	8	7
36	8	4	10
37	133	130	135
38	12	14	12
39	10	6	2
40	5	4	14
41	179	176	181
42	3	6	4
43	96	137	92
44	6	7	6
45	17	11	10
46	12	12	13
47	34	34	35
48	9	10	6
49	76	75	67
50	96	92	91
51	4	1	6
52	152	172	197
53	15	19	44
54	37	29	28
55	12	9	4
56	1	2	1
57	158	158	137
58	50	73	71
59	17	6	10
60	2	5	5
61	0	0	1
62	13	13	14
63	10	13	12
64	27	17	20
65	11	11	15
66	23	26	27
67	80	65	55
68	0	6	5
69	3	0	3
70	0	1	0
71	22	10	14
72	58	72	48
73	4	5	5
74	7	12	7
75	0	3	0
76	76	60	54
77	0	0	2
78	2	3	7
79	21	24	10
80	3	4	1
81	14	12	14
82	36	28	35
83	11	17	12
84	32	21	25
85	199	211	174
86	2	8	7
87	51	57	44
88	152	129	117
89	3	1	2
90	3	4	3
91	95	66	53
92	19	23	22
93	29	20	29
94	46	54	58
95	7	11	15
96	12	9	5
97	71	83	67
98	46	40	24
99	19	20	9
100	3	5	4
101	191	172	163
102	62	40	53
103	66	45	35
104	5	8	1
105	32	30	31
106	42	27	30
107	7	5	8
108	0	0	0
109	14	12	3
110	9	2	2
111	11	14	8
112	0	0	1
113	2	0	3
114	30	43	28
115	0	2	0
116	10	13	6
117	0	3	2
118	9	11	9
119	19	22	17
120	196	185	149
121	10	10	8
122	2	0	0
123	444	438	465
124	25	19	14
125	127	96	135
126	13	9	15
127	27	27	21
128	9	11	7
129	29	28	20
130	0	0	0
131	42	40	29
132	13	19	9
133	36	23	28
134	254	291	236
135	28	34	34
136	0	1	0
137	8	9	8
138	165	149	123
139	6	6	2
140	11	22	8
141	136	127	109
142	21	16	22
143	24	20	25
144	269	245	248
145	77	62	73
146	0	0	0
147	0	0	0
148	21	27	25
149	316	308	246
150	9	8	9
151	10	20	17
152	15	28	26
153	50	40	31
154	158	174	177
155	42	39	27
156	6	10	6
157	8	6	9
158	16	14	12
159	1	1	3
160	9	8	5
161	191	185	137
162	54	33	90
163	2	1	1
164	21	15	17
165	2	0	1
166	3	1	1
167	17	21	20
168	71	62	62
169	30	26	25
170	12	7	5
171	18	16	20
172	12	11	12
173	79	80	91
174	204	193	167
175	0	1	2
176	14	14	12
177	1	0	2
178	0	0	0
179	8	3	3
180	0	0	0
181	3	5	0
182	12	13	6
183	3	3	2
184	1	4	1
185	10	8	10
186	22	18	14
187	16	28	13
188	0	0	0
189	7	5	6
190	7	5	10
191	3	2	1
192	1	5	2
193	98	112	136
194	7	9	8
195	6	4	2
196	3	5	5
197	0	0	0
198	2	7	5
199	22	18	21
200	0	0	0
201	45	44	48
202	0	0	0
203	120	96	83
204	99	80	73
205	7	9	8
206	17	27	12
207	0	0	0
208	47	28	31
209	4	7	11
210	4	1	5
211	0	3	2
212	14	13	9
213	50	55	64
214	107	130	77
215	1	1	3
216	55	41	37
217	1	3	2
218	17	24	19
219	34	30	18
220	11	10	3
221	457	456	416
222	68	65	69
223	14	11	3
224	39	47	36
225	658	636	645
226	2	5	3
227	15	6	9
228	17	18	16
229	3	5	4
230	7	18	8
231	0	0	0
232	18	17	23
233	3	1	1
234	0	0	0
235	13	10	10
236	16	10	8
237	50	53	49
238	8	8	21
239	5	1	3
240	17	24	13
241	13	7	8
242	18	11	11
243	0	0	0
244	2	2	4
245	0	0	0
246	0	0	1
247	58	53	48
248	19	17	17
249	1	0	0
250	12	16	8
251	36	30	33
252	45	23	23
253	7	8	6
254	15	10	12
255	100	110	111
256	1	0	1
257	50	43	32
258	33	37	38
259	23	30	18
260	10	9	10
261	15	12	9
262	16	21	21
263	10	9	6
264	32	39	41
265	7	7	11
266	27	24	17
267	33	49	12
268	22	17	50
269	5	7	10
270	3	5	2
271	0	1	0
272	33	35	24
273	6	5	5
274	4	2	2
275	7	5	4
276	0	3	0
277	102	99	94
278	374	392	371
279	230	240	184
280	8	0	6
281	23	20	15
282	115	116	107
283	55	69	55
284	34	23	27
285	248	263	224
286	56	64	44
287	100	91	106
288	18	13	10
289	63	73	66
290	1	1	5
291	2	7	4
292	22	21	29
293	8	5	2
294	5	6	4
295	216	199	162
296	22	14	11
297	122	94	101
298	199	268	260
299	46	29	37
300	2	2	2
301	19	13	12
302	13	8	14
303	1	2	0
304	96	110	66
305	86	73	59
306	42	35	43
307	20	24	15
308	1	2	3
309	9	8	2
310	25	25	31
311	131	130	99
312	272	297	258
313	919	1028	968
314	34	33	31
315	8	7	8
316	16	7	13
317	27	49	26
318	6	10	5
319	17	22	12
320	57	31	35
321	36	30	18
322	0	0	0
323	21	26	16
324	6	12	8
