	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	17377	17502	15290	17296	17314	15227	17287	17456	15174	16987	17418	14892	17155	17640	15412	17103	17292	15077	17570	17420	15629	18772	17350	15159	18129	16573	14677	17386	19379	13029	17772	13468	12279
ARG	13742	13501	11710	13453	13648	11628	13606	13550	11706	13939	14019	12254	14324	13930	12324	14620	14552	12084	14551	14434	12249	13689	14622	12776	14210	14935	11984	13339	14289	12043	13347	15987	10694
ASN	16579	16404	14209	16307	16339	14099	16309	16215	13976	16637	16229	13946	16538	16002	13415	16923	16730	13908	15754	15964	14129	15850	16257	14025	16558	16414	13834	16661	15019	13911	17684	20554	13715
ASP	19940	19769	17890	19880	20054	17628	19917	19745	17787	19775	20063	17338	20526	20641	18300	19310	19432	17484	18958	20075	17847	20676	20657	17882	19582	19554	16986	19171	19588	16022	20576	18994	22654
CYS	2258	2201	1958	2216	2238	1960	2268	2193	1821	2277	2374	2052	2424	2391	1857	2074	2169	1958	2126	2303	1981	2311	2312	1868	2213	2464	2040	2100	2297	2142	2045	2295	1501
GLN	13406	13482	11812	13349	13485	11585	13312	13648	11973	13536	13757	11501	12800	13074	12091	13513	13223	11679	13312	13014	11899	12712	13402	11936	13312	14198	12100	13909	12859	11989	11919	15046	11934
GLU	26583	27125	24042	27050	27299	23957	26623	27293	23853	26751	26996	24529	26967	27027	24278	25913	26442	24270	26903	27224	24091	27233	27409	24686	27491	27321	24401	25332	27403	21986	26432	24922	36766
GLY	15924	15605	13456	15756	15880	13613	15867	15990	13706	15721	15746	13832	16778	16946	13949	16478	17561	14231	15583	16651	13904	16522	17289	14374	15993	17015	13923	15916	19307	14200	12763	14358	11960
HIS	5312	5292	4453	5246	5294	4598	5147	5199	4498	5436	5291	4415	4947	5186	4421	5353	5435	4631	5143	5376	4496	5166	5236	4518	4992	5478	4630	5677	4679	4692	4986	6423	4187
ILE	16713	16924	14517	17104	17186	14945	17088	16884	14888	16958	16960	14895	16767	16867	15178	17170	16940	14647	16480	17230	14340	16599	16614	14455	16728	16320	14761	16717	16261	15613	19687	16179	13652
LEU	23049	22845	19656	23091	22735	20099	23382	23165	20500	22880	22822	20246	22615	22629	20015	23230	22717	19735	22689	22462	20239	22975	22783	19483	22777	23425	20292	23124	23403	22044	22205	23049	16664
LYS	26917	27054	23362	26985	27007	23564	26999	26850	23167	26961	26624	23456	27607	27295	23210	27181	27793	23994	28840	26869	23410	26289	27065	23555	27634	27123	23952	26417	25200	22184	27148	30987	25523
PHE	9659	9564	8264	9726	9451	8309	9559	9774	8466	9658	9531	8268	8994	9160	8359	9859	9349	8536	9199	9556	8306	9326	9498	7980	8920	9906	8273	9788	9658	9659	9083	10692	7130
PRO	11680	12037	10318	11647	11707	10352	12030	11744	10358	11761	11839	10108	12326	12371	9965	13140	12840	10778	13716	12209	10501	11939	11296	10039	11938	11346	10888	14143	11634	11534	11283	12198	8883
SER	21767	21502	18653	21780	21677	18697	21984	21610	18780	22334	21944	18802	21556	21520	18496	20509	20801	18312	21807	22024	18838	22384	21627	19150	21659	22152	19447	22531	22286	20390	21446	22616	15146
THR	15415	15429	13589	15318	15317	13420	15267	15472	13513	15759	15718	13578	15182	15039	13385	15286	15389	13114	16079	15475	13380	15926	14930	13433	16421	14367	13414	15962	15366	13648	19470	14431	13129
TRP	2313	2351	1867	2379	2395	1906	2303	2340	1969	2336	2392	2111	2609	2430	1995	2288	2429	2160	2462	2369	2130	2250	2582	2165	2501	2573	2148	2522	2632	2734	2740	1705	1894
TYR	8268	8562	7303	8478	8382	7248	8389	8435	7059	8451	8404	7004	8504	8391	6874	8190	8283	7263	7956	8088	7081	8050	8248	7016	7801	8598	7176	8630	8179	7891	7893	10076	6861
VAL	16166	16120	14760	16490	16450	14472	16619	16584	14506	16133	16447	14750	16024	16242	14679	16476	15653	14625	15989	16781	14488	17116	16579	14615	16742	16102	14436	16846	16771	13906	16836	12661	16080
TERM	326	318	260	290	239	263	267	199	236	266	265	240	742	857	269	252	240	251	196	207	217	196	189	178	173	158	179	182	151	177	137	174	240
MET	4265	4328	3513	4270	4163	3622	4239	4242	3573	4261	4146	3639	4228	4214	3732	4574	4262	3756	4406	4052	3576	4066	4149	3666	4535	4280	3686	4246	4127	3658	5363	3986	2872
