	F0	F1	F2
0	22	15	22
1	1	2	0
2	149	160	171
3	101	141	121
4	33	42	37
5	31	26	35
6	8	10	9
7	24	34	24
8	23	26	30
9	4	7	8
10	43	35	26
11	82	64	75
12	69	48	43
13	616	625	638
14	1	1	2
15	362	374	343
16	0	0	0
17	0	1	1
18	77	87	72
19	21	24	15
20	18	17	17
21	12	18	25
22	0	0	0
23	0	0	0
24	7	2	4
25	6	17	13
26	5	5	6
27	193	159	178
28	6	11	3
29	5	5	4
30	0	1	1
31	28	34	22
32	30	26	20
33	40	71	44
34	9	3	5
35	3	6	4
36	10	9	12
37	150	176	152
38	16	11	8
39	1	7	8
40	9	6	11
41	162	190	164
42	3	6	5
43	37	53	32
44	13	10	4
45	14	12	14
46	12	12	11
47	37	26	19
48	6	10	7
49	90	99	73
50	83	85	50
51	1	3	0
52	83	103	91
53	29	29	20
54	36	18	19
55	5	3	5
56	0	0	0
57	131	123	130
58	109	121	112
59	11	8	3
60	10	5	3
61	2	1	0
62	18	9	9
63	16	12	10
64	16	18	20
65	13	13	11
66	15	16	10
67	133	132	99
68	4	2	0
69	1	3	2
70	0	0	0
71	15	23	20
72	61	70	58
73	7	11	9
74	9	14	4
75	2	10	2
76	59	49	54
77	0	0	1
78	10	5	5
79	56	43	31
80	7	11	4
81	15	13	20
82	26	30	41
83	16	14	16
84	27	27	23
85	285	281	253
86	8	10	7
87	48	45	28
88	214	198	191
89	5	5	5
90	7	5	9
91	64	67	55
92	25	22	11
93	32	23	28
94	53	47	47
95	6	6	14
96	12	12	10
97	70	78	59
98	55	45	36
99	16	18	13
100	3	4	1
101	177	174	115
102	43	40	39
103	70	51	50
104	8	3	3
105	25	17	18
106	64	87	55
107	13	7	7
108	0	0	0
109	8	12	12
110	3	3	1
111	7	5	5
112	0	0	0
113	2	0	4
114	28	35	22
115	0	0	0
116	14	9	9
117	2	0	2
118	13	10	6
119	31	15	27
120	183	155	138
121	14	16	20
122	3	2	0
123	326	326	320
124	42	43	28
125	127	93	98
126	11	12	5
127	33	26	26
128	4	8	4
129	21	19	25
130	0	1	1
131	33	31	9
132	26	26	10
133	48	30	25
134	176	212	140
135	51	54	68
136	1	0	2
137	8	7	8
138	99	88	85
139	7	4	6
140	20	15	11
141	150	135	113
142	20	14	11
143	8	15	11
144	246	279	264
145	65	54	42
146	1	0	1
147	0	0	0
148	8	15	8
149	269	294	183
150	17	8	20
151	23	25	23
152	29	20	20
153	21	34	30
154	211	222	168
155	71	57	30
156	1	1	0
157	1	3	2
158	5	3	3
159	2	3	1
160	12	18	8
161	236	217	169
162	41	46	73
163	1	2	4
164	18	12	11
165	1	0	0
166	0	1	1
167	23	23	21
168	40	41	29
169	17	25	25
170	5	5	5
171	20	21	15
172	9	9	6
173	22	27	27
174	158	168	139
175	0	2	0
176	30	18	14
177	3	1	2
178	0	0	0
179	10	10	7
180	0	0	0
181	5	8	5
182	1	4	3
183	4	3	1
184	3	2	2
185	27	25	13
186	15	21	18
187	48	32	21
188	0	0	0
189	3	5	1
190	13	8	14
191	6	4	3
192	4	3	2
193	76	62	52
194	3	3	3
195	3	3	3
196	1	1	2
197	0	0	0
198	2	3	6
199	18	26	18
200	0	2	1
201	219	206	166
202	2	2	1
203	103	107	93
204	46	54	56
205	8	8	4
206	15	22	10
207	0	0	0
208	54	40	37
209	10	11	11
210	5	2	2
211	1	3	5
212	11	11	12
213	87	69	84
214	118	124	85
215	1	2	0
216	53	67	52
217	4	1	1
218	32	40	31
219	21	14	10
220	12	20	7
221	342	331	330
222	103	81	74
223	30	15	15
224	62	67	61
225	384	422	334
226	6	5	5
227	23	10	14
228	22	22	20
229	12	15	6
230	8	13	10
231	0	0	0
232	34	39	42
233	0	0	0
234	0	0	0
235	4	12	7
236	1	17	6
237	38	61	45
238	13	10	9
239	1	2	1
240	12	8	15
241	13	14	8
242	18	15	9
243	1	0	1
244	4	4	3
245	0	0	0
246	0	1	2
247	51	70	45
248	18	19	9
249	0	1	0
250	10	14	8
251	25	38	35
252	44	9	19
253	5	6	3
254	20	27	15
255	50	73	54
256	0	0	1
257	70	53	38
258	49	34	30
259	25	25	15
260	9	10	4
261	21	21	14
262	29	29	30
263	10	12	7
264	33	33	44
265	8	6	13
266	19	23	12
267	18	22	10
268	16	14	32
269	5	11	7
270	4	6	5
271	1	1	0
272	30	24	24
273	1	2	1
274	4	4	3
275	11	7	13
276	5	3	1
277	85	66	70
278	460	452	427
279	130	124	100
280	2	2	2
281	11	9	10
282	110	116	108
283	70	78	52
284	26	35	24
285	216	240	235
286	67	64	66
287	51	59	71
288	32	32	28
289	44	56	50
290	2	1	4
291	7	9	11
292	24	30	27
293	6	1	3
294	2	2	2
295	209	210	171
296	9	11	13
297	110	109	83
298	108	108	115
299	38	29	36
300	1	2	3
301	21	17	23
302	20	18	11
303	0	0	2
304	64	64	50
305	109	98	64
306	32	19	24
307	17	12	11
308	2	1	3
309	4	7	3
310	39	39	28
311	115	113	123
312	345	328	287
313	1049	1113	1062
314	38	27	36
315	6	11	6
316	9	14	5
317	85	89	47
318	6	5	1
319	6	11	9
320	28	27	19
321	19	13	14
322	0	0	0
323	10	22	17
324	8	6	0
325	23	25	28
326	2	7	7
327	134	113	97
328	13	11	9
329	8	6	8
330	9	13	10
331	14	27	24
332	0	0	0
333	7	9	12
334	2	2	1
335	56	42	43
336	23	27	15
337	11	14	18
338	44	34	35
339	2	3	0
340	10	9	9
341	47	30	37
342	14	8	13
343	149	146	112
344	9	5	8
345	18	11	13
346	12	6	8
347	1	0	3
348	25	28	26
349	36	34	31
350	33	33	28
351	1702	1782	2031
352	18	29	11
353	7	6	2
354	1	3	3
355	17	5	14
356	32	23	14
357	87	80	47
358	1	3	2
359	0	0	0
360	0	0	0
361	1	0	1
362	402	428	243
363	5	8	5
364	27	26	35
365	47	42	45
366	0	1	0
367	48	49	42
368	3	3	3
369	10	10	13
370	17	23	13
371	4	2	0
372	1	0	1
373	1	3	3
374	172	176	212
375	0	0	0
376	1	2	0
377	2	7	9
378	4	5	3
379	68	40	30
380	18	29	28
381	1	0	0
382	130	147	102
383	340	331	257
384	2	3	1
385	0	2	0
386	16	12	16
387	111	97	115
388	86	103	68
389	11	6	2
390	150	139	109
391	175	201	178
392	2	2	1
393	66	59	56
394	96	102	76
395	156	151	98
396	0	0	0
397	9	18	5
398	93	83	87
399	337	357	416
400	1	0	1
401	7	6	9
402	149	145	80
403	4	3	0
404	10	6	5
405	9	13	10
406	8	6	7
407	16	15	14
408	580	555	432
409	63	57	42
410	12	12	9
411	59	72	60
412	3	1	0
413	0	0	0
414	7	16	9
415	0	0	0
416	5	1	4
417	26	22	11
418	49	58	46
419	3	3	0
420	4	4	3
421	12	15	10
422	19	16	15
423	13	12	13
424	1	1	1
425	3	7	2
426	9	5	1
427	8	7	7
428	2	2	1
429	32	44	42
430	105	109	119
431	455	452	415
432	28	26	15
433	19	11	18
434	0	0	0
435	23	17	18
436	30	38	31
437	44	59	36
438	0	0	0
439	6	7	6
440	12	15	10
441	3	2	1
442	69	69	50
443	2	1	3
444	0	0	2
445	22	13	20
446	75	73	45
447	88	87	58
448	26	29	15
449	0	0	0
450	15	25	14
451	2	4	2
452	69	74	54
453	0	6	2
454	41	45	28
455	5	0	0
456	17	13	15
457	170	144	118
458	4	10	8
459	1	0	0
460	0	0	0
461	0	0	0
462	85	87	58
463	51	58	28
464	1051	1156	1085
465	19	11	8
466	43	50	34
467	157	152	135
468	1	4	0
469	5	4	6
470	4	9	3
471	92	77	77
472	197	185	163
473	5	6	9
474	1	0	0
475	16	11	23
476	0	0	0
477	23	23	24
478	7	2	2
479	2	2	1
480	0	0	0
481	5	1	1
482	43	40	48
483	3	6	4
484	3	2	3
485	32	23	30
486	55	54	52
487	1	3	1
488	13	11	12
489	45	78	63
490	0	1	0
491	16	10	13
492	70	55	53
493	2	8	2
494	112	113	99
495	41	34	51
496	7	2	3
497	0	5	0
498	17	12	21
499	2	3	2
500	21	23	19
501	7	2	11
502	64	50	23
503	33	37	23
504	17	8	11
505	9	11	8
506	3	3	2
507	153	124	77
508	0	1	0
509	0	0	0
510	31	27	16
511	11	4	8
512	1	1	1
513	27	9	11
514	178	170	139
515	12	12	11
516	5	1	0
517	16	5	9
518	14	14	10
519	5	6	7
520	6	2	4
521	21	22	20
522	0	0	0
523	64	75	90
524	87	69	49
525	6	1	3
526	47	46	24
527	8	10	11
528	7	2	6
529	0	0	0
530	0	1	1
531	0	1	1
532	88	68	63
533	2	6	2
534	91	82	78
535	0	0	0
536	4	11	2
537	29	31	23
538	2	1	2
539	4	3	3
540	6	5	4
541	6	3	5
542	0	0	0
543	4	1	0
544	88	73	88
545	1	0	2
546	1	0	0
547	26	23	18
548	0	1	0
549	27	28	22
550	32	35	24
551	1	2	2
552	12	12	12
553	166	150	130
554	15	8	7
555	6	5	5
556	0	0	0
557	9	9	11
558	2	0	5
559	0	0	0
560	17	24	18
561	7	8	9
562	5	8	9
563	9	15	10
564	2	6	11
565	136	121	120
566	19	10	11
567	13	12	9
568	34	22	19
569	453	474	454
570	21	8	11
571	1	3	1
572	70	64	53
573	0	0	0
574	0	0	0
575	140	190	108
576	5	0	1
577	15	11	8
578	7	23	4
579	0	0	0
580	30	34	28
581	53	52	41
582	0	0	0
583	26	24	10
584	1	0	0
585	86	83	63
586	2	1	1
587	57	75	48
588	19	11	7
589	0	0	0
590	1	2	0
591	7	3	4
592	30	36	23
593	54	50	37
594	34	32	33
595	0	0	1
596	24	32	25
597	1068	960	940
598	52	60	67
599	92	94	79
600	15	17	10
601	6	8	3
602	3	8	5
603	42	51	37
604	360	338	236
605	44	27	21
606	147	166	149
607	31	17	12
608	0	2	1
609	1667	1695	1493
610	33	28	45
611	107	131	94
612	0	0	0
613	0	0	1
614	26	48	28
615	0	1	1
616	5	3	17
617	12	18	9
618	28	26	27
619	8	9	10
620	6	12	5
621	16	13	11
622	2	3	1
623	11	8	8
624	25	31	12
625	67	65	65
626	0	1	3
627	42	43	31
628	24	19	12
629	8	10	7
630	18	30	19
631	20	17	9
632	77	88	51
633	1	1	2
634	40	28	22
635	0	0	0
636	0	0	1
637	0	0	0
638	260	276	264
639	25	25	20
640	64	56	55
641	6	11	7
642	132	111	120
643	7	5	9
644	211	202	198
645	5	8	1
646	7	5	3
647	38	39	28
648	18	13	8
649	29	33	17
650	8	12	2
651	0	0	0
652	43	50	50
653	1	4	2
654	38	62	50
655	0	2	0
656	39	48	37
657	18	9	7
658	296	276	200
659	28	29	11
660	135	130	110
661	102	109	103
662	3	3	0
663	0	1	0
664	11	13	11
665	3	2	4
666	35	24	20
667	14	16	11
668	33	29	20
669	0	1	2
670	2	2	0
671	32	31	24
672	6	5	6
673	17	24	19
674	9	9	11
675	2	1	0
676	0	1	1
677	124	110	112
678	1	1	3
679	34	26	34
680	21	18	10
681	60	49	52
682	8	7	13
683	115	113	109
684	13	9	16
685	3	2	6
686	0	0	0
687	29	37	30
688	4	7	1
689	26	42	18
690	0	0	0
691	22	19	16
692	346	325	288
693	13	18	10
694	40	56	51
695	0	0	0
696	40	57	43
697	1	0	0
698	6	7	5
699	9	11	13
700	0	0	0
701	23	20	14
702	7	9	7
703	3	1	2
704	0	0	0
705	11	14	8
706	14	11	7
707	0	0	0
708	13	10	9
709	0	0	0
710	23	29	32
711	24	29	20
712	18	10	9
713	75	94	95
714	68	93	58
715	76	103	58
716	16	8	7
717	15	13	7
718	7	2	2
719	9	12	5
720	10	3	4
721	10	18	7
722	1	1	1
723	204	175	179
724	9	14	7
725	67	65	57
726	9	4	6
727	31	32	29
728	40	22	19
729	10	9	3
730	44	41	35
731	45	42	59
732	197	187	125
733	4	6	7
734	3	2	1
735	61	82	53
736	22	24	19
737	58	50	65
738	8	9	6
739	0	0	0
740	152	125	125
741	10	4	3
742	6	10	6
743	42	37	48
744	486	531	508
745	11	25	23
746	134	118	93
747	47	50	35
748	7	2	7
749	1	5	3
750	0	1	1
751	84	74	64
752	0	0	2
753	230	188	218
754	4	5	1
755	5	3	3
756	176	147	146
757	45	55	35
758	6	5	7
759	6	7	3
760	7	8	9
761	61	65	42
762	304	322	210
763	64	62	45
764	24	23	16
765	64	68	111
766	3	1	5
767	1	3	2
768	0	0	0
769	108	153	96
770	23	25	21
771	448	518	486
772	19	15	10
773	8	5	6
774	3	3	4
775	38	47	38
776	17	10	6
777	1	1	2
778	16	18	12
779	12	19	14
780	23	27	37
781	5	9	2
782	14	13	7
783	122	130	124
784	12	11	11
785	4	3	7
786	0	0	0
787	22	15	10
788	38	52	66
789	23	27	15
790	10	10	11
791	26	25	24
792	37	28	28
793	192	169	170
794	30	29	29
795	16	13	10
796	7	19	14
797	2	2	4
798	5	2	5
799	8	6	2
800	30	30	21
801	30	28	27
802	5	6	4
803	464	395	291
804	52	69	45
805	15	13	16
806	66	61	44
807	5	0	0
808	18	16	17
809	0	1	2
810	13	14	15
811	5	7	5
812	26	34	22
813	76	80	68
814	3	1	2
815	0	0	0
816	0	0	0
817	8	4	0
818	7	15	8
819	366	315	281
820	11	12	12
821	3	0	2
822	5	4	5
823	5	5	3
824	86	97	77
825	8	12	7
826	36	30	25
827	83	71	61
828	40	35	31
829	74	66	46
830	16	17	10
831	71	75	52
832	12	9	7
833	31	39	27
834	96	162	50
835	5	5	3
836	28	18	22
837	94	100	73
838	47	46	34
839	9	2	5
840	7	8	4
841	11	2	2
842	16	6	5
843	9	11	5
844	0	0	0
845	1	2	0
846	85	77	58
847	6	8	5
848	34	27	24
849	3	4	2
850	6	15	15
851	2	2	3
852	2	2	2
853	0	1	0
854	4	4	1
855	14	7	6
856	2	0	3
857	44	61	40
858	0	3	1
859	0	0	0
860	1	4	0
861	0	3	3
862	8	9	11
863	4	2	12
864	35	32	36
865	76	62	42
866	39	49	28
867	12	12	6
868	24	16	8
869	0	0	0
870	0	0	0
871	28	29	14
872	3	1	2
873	39	53	27
874	43	47	39
875	8	8	11
876	1	0	0
877	69	109	69
878	0	0	0
879	44	38	36
880	11	9	3
881	4	4	1
882	71	68	43
883	4	11	2
884	3	8	8
885	0	0	0
886	0	0	0
887	1	3	3
888	9	11	8
889	2	6	5
890	92	75	60
891	53	71	68
892	3	3	3
893	37	61	45
894	3	1	3
895	40	45	45
896	2	2	2
897	0	0	0
898	67	81	64
899	16	24	23
900	15	11	8
901	1	1	0
902	5	9	7
903	7	9	5
904	2	2	2
905	9	6	1
906	21	20	9
907	11	19	15
908	26	38	11
909	0	0	0
910	46	70	43
911	10	4	9
912	28	31	26
913	79	67	64
914	30	32	30
915	4	6	2
916	1	1	0
917	6	4	4
918	32	18	29
919	0	0	0
920	0	0	0
921	3	2	2
922	15	17	8
923	23	26	14
924	1	4	6
925	14	10	11
926	13	10	10
927	44	62	40
928	32	35	16
929	67	51	46
930	14	19	22
931	0	0	0
932	0	0	0
933	28	19	17
934	10	16	24
935	79	85	53
936	22	17	26
937	3	1	1
938	98	91	58
939	6	3	8
940	0	0	0
941	54	67	68
942	0	0	0
943	2	1	3
944	17	24	17
945	23	16	13
946	100	80	67
947	51	38	30
948	115	96	64
949	0	1	0
950	8	8	13
951	385	398	355
952	11	8	9
953	12	13	26
954	0	0	0
955	8	11	10
956	0	3	3
957	1	1	1
958	3	0	5
959	0	1	1
960	76	84	88
961	69	90	60
962	54	48	42
963	153	125	151
964	16	14	12
965	1	0	1
966	14	5	14
967	0	0	0
968	138	119	114
969	35	40	34
970	4	6	8
971	15	10	11
972	226	201	253
973	30	15	25
974	0	1	4
975	0	0	0
976	1	2	2
977	11	10	25
978	85	74	76
979	1	0	1
980	2	2	1
981	0	0	0
982	10	12	5
983	53	47	30
984	1171	1086	972
985	10	11	11
986	54	62	48
987	105	63	51
988	20	22	11
989	491	512	432
990	204	207	238
991	7	15	6
992	3	11	8
993	4	1	1
994	28	17	15
995	11	9	6
996	9	17	4
997	13	7	9
998	12	14	9
999	2	2	2
1000	13	6	6
1001	128	157	138
1002	5	4	6
1003	0	0	0
1004	6	6	5
1005	2	5	1
1006	59	61	56
1007	0	0	0
1008	7	19	16
1009	170	133	120
1010	15	11	14
1011	10	5	5
1012	30	29	23
1013	7	3	3
1014	5	9	5
1015	25	20	28
1016	384	349	279
1017	23	15	12
1018	458	469	431
1019	0	0	0
1020	22	17	15
1021	211	222	185
1022	6	7	8
1023	0	0	0
1024	46	32	43
1025	21	37	20
1026	1	2	0
1027	150	137	112
1028	19	22	27
1029	13	8	9
1030	16	9	6
1031	6	1	5
1032	16	15	18
1033	41	42	42
1034	4	3	1
1035	9	4	3
1036	5	8	10
1037	4	2	4
1038	15	12	6
1039	10	11	3
1040	188	193	151
1041	36	29	17
1042	74	58	66
1043	2	3	0
1044	10	11	5
1045	9	11	5
1046	0	0	0
1047	4	2	2
1048	9	15	13
1049	0	1	0
1050	11	10	8
1051	33	30	31
1052	0	0	0
1053	23	22	24
1054	0	0	0
1055	43	28	47
1056	67	60	51
1057	14	15	20
1058	26	16	14
1059	0	0	0
1060	698	686	552
1061	4	13	4
1062	1345	1426	1060
1063	29	39	18
1064	309	300	276
1065	43	58	50
1066	4	3	3
1067	5	9	6
1068	0	0	0
1069	16	11	9
1070	3	6	4
1071	22	11	13
1072	0	0	0
1073	95	96	94
1074	66	68	71
1075	6	10	3
1076	4	8	5
1077	1	2	2
1078	170	146	137
1079	10	6	4
1080	2	5	3
1081	0	0	0
1082	0	0	0
1083	8	4	6
1084	54	71	61
1085	27	39	32
1086	15	18	9
1087	4	7	2
1088	9	11	4
1089	0	0	1
1090	0	0	0
1091	5	8	10
1092	166	194	111
1093	26	18	17
1094	6	4	2
1095	14	14	14
1096	213	256	166
1097	0	1	4
1098	5	7	8
1099	16	14	19
1100	5	0	1
1101	91	114	111
1102	103	96	100
1103	17	22	15
1104	2	3	1
1105	104	76	60
1106	7	1	4
1107	157	148	141
1108	80	68	67
1109	5	1	3
1110	0	2	0
1111	0	0	0
1112	35	16	14
1113	6	9	4
1114	6	7	2
1115	0	1	0
1116	16	24	18
1117	9	4	3
1118	0	0	0
1119	152	144	141
1120	0	0	2
1121	3	4	3
1122	1	1	3
1123	0	0	0
1124	5	5	6
1125	0	0	0
1126	16	27	28
1127	8	5	5
1128	0	0	1
1129	0	0	0
1130	7	10	2
1131	3	6	1
1132	2	3	2
1133	4	2	2
1134	9	11	17
1135	31	26	26
1136	36	32	20
1137	422	350	237
1138	3	8	2
1139	14	8	8
1140	15	15	12
1141	1	1	0
1142	1	2	2
1143	21	15	7
1144	53	54	54
1145	26	27	24
1146	0	0	0
1147	39	31	28
1148	72	56	58
1149	17	15	12
1150	0	1	2
1151	73	88	55
1152	429	404	407
1153	4	2	3
1154	56	61	34
1155	15	20	15
1156	7	2	3
1157	175	191	128
1158	1	0	0
1159	0	0	3
1160	44	55	57
1161	29	26	32
1162	20	17	18
1163	24	25	16
1164	6	9	6
1165	94	75	54
1166	0	0	0
1167	5	3	1
1168	4	5	7
1169	3	3	1
1170	173	157	146
1171	15	10	7
1172	586	544	555
1173	5	8	8
1174	2	1	1
1175	1	1	1
1176	118	73	79
1177	20	27	21
1178	77	70	67
1179	0	0	0
1180	1	2	1
1181	30	26	16
1182	0	0	0
1183	11	10	6
1184	31	21	19
1185	3	5	4
1186	233	243	209
1187	924	871	842
1188	10	9	4
1189	14	11	10
1190	2	7	3
1191	3	9	10
1192	25	17	20
1193	61	56	38
1194	1	1	0
1195	0	0	0
1196	1	7	7
1197	0	0	0
1198	0	1	2
1199	1	8	4
1200	0	0	0
1201	3	0	1
1202	0	1	1
1203	0	0	0
1204	17	21	17
1205	157	193	128
1206	19	21	17
1207	77	71	68
1208	8	3	11
1209	93	89	76
1210	136	141	139
1211	77	77	69
1212	5	7	10
1213	0	0	0
1214	0	0	0
1215	192	158	115
1216	33	21	30
1217	28	40	24
1218	20	13	29
1219	0	0	0
1220	46	43	24
1221	0	1	0
1222	1	0	5
1223	6	7	5
1224	34	38	29
1225	5	2	2
1226	23	17	13
1227	25	18	25
1228	2	0	3
1229	23	15	22
1230	0	0	0
