	F0	F1	F2
0	16	23	20
1	3	0	2
2	212	251	240
3	245	313	230
4	51	58	71
5	35	28	44
6	9	7	8
7	37	45	34
8	44	47	54
9	8	11	17
10	55	52	29
11	123	136	122
12	112	81	61
13	675	766	790
14	2	2	3
15	659	689	582
16	0	0	0
17	0	1	0
18	121	129	111
19	43	52	54
20	28	30	36
21	14	31	35
22	0	0	0
23	0	0	0
24	12	12	7
25	19	22	28
26	9	12	17
27	328	306	250
28	19	37	14
29	8	10	4
30	1	1	2
31	51	45	31
32	42	54	25
33	53	57	56
34	8	8	4
35	8	12	8
36	32	17	23
37	255	224	172
38	17	17	10
39	12	9	13
40	16	14	12
41	257	287	259
42	8	11	17
43	61	87	75
44	9	19	16
45	14	20	21
46	23	16	20
47	39	49	32
48	9	10	11
49	160	188	136
50	192	165	88
51	5	4	3
52	209	190	183
53	40	47	53
54	45	43	31
55	21	13	11
56	0	1	0
57	201	214	194
58	117	119	105
59	14	21	15
60	10	11	4
61	2	0	1
62	24	22	13
63	31	27	21
64	24	27	22
65	21	11	8
66	15	27	27
67	279	234	186
68	8	8	4
69	2	1	2
70	0	0	0
71	47	36	32
72	108	123	71
73	11	15	7
74	19	14	11
75	3	5	3
76	124	120	99
77	2	0	2
78	5	9	4
79	72	71	53
80	12	13	11
81	13	15	9
82	57	72	63
83	20	18	13
84	46	66	38
85	502	465	455
86	12	24	12
87	88	60	49
88	352	317	229
89	9	8	5
90	8	5	10
91	99	93	84
92	40	43	19
93	49	35	44
94	81	78	82
95	9	8	10
96	13	12	10
97	77	78	66
98	93	58	53
99	51	35	20
100	11	4	8
101	283	310	250
102	76	61	59
103	113	129	84
104	12	7	5
105	27	22	37
106	85	114	83
107	14	21	10
108	0	0	0
109	11	13	18
110	10	3	3
111	10	8	8
112	2	0	0
113	1	2	5
114	45	52	32
115	0	0	1
116	11	15	17
117	4	1	2
118	27	21	15
119	43	39	51
120	307	261	214
121	15	15	25
122	1	6	3
123	559	612	573
124	82	80	49
125	168	147	197
126	22	18	18
127	55	60	34
128	12	8	5
129	66	41	38
130	0	0	0
131	51	48	32
132	36	27	21
133	65	46	29
134	247	305	287
135	87	105	91
136	4	1	3
137	16	16	18
138	168	188	147
139	17	10	7
140	31	24	29
141	244	250	183
142	16	23	21
143	25	24	22
144	401	455	399
145	64	73	50
146	0	0	0
147	1	1	2
148	17	18	7
149	415	452	310
150	20	19	14
151	29	48	39
152	29	21	30
153	48	43	40
154	253	287	216
155	88	81	44
156	4	3	6
157	6	7	4
158	4	8	7
159	4	7	6
160	23	18	8
161	281	308	232
162	115	79	146
163	2	5	1
164	35	35	24
165	0	2	2
166	1	3	2
167	41	41	35
168	53	78	58
169	28	35	40
170	15	20	11
171	23	29	20
172	16	15	16
173	45	47	33
174	210	217	217
175	1	2	2
176	27	30	19
177	6	3	5
178	0	0	0
179	15	17	15
180	0	0	0
181	13	9	3
182	6	9	9
183	3	7	2
184	7	5	2
185	29	28	34
186	40	39	37
187	48	50	41
188	0	0	0
189	6	5	3
190	29	19	11
191	5	8	5
192	2	1	4
193	113	114	114
194	10	4	10
195	2	2	6
196	3	1	2
197	0	0	0
198	2	5	3
199	42	43	29
200	1	1	1
201	412	362	256
202	2	1	2
203	203	199	181
204	116	113	92
205	13	15	12
206	21	27	17
207	0	1	0
208	59	62	50
209	13	16	14
210	13	4	10
211	3	3	4
212	17	12	15
213	105	98	95
214	230	204	104
215	1	4	1
216	105	97	87
217	2	3	2
218	79	61	34
219	43	29	27
220	17	20	22
221	721	776	666
222	159	135	148
223	36	25	20
224	96	94	75
225	929	923	828
226	21	14	12
227	28	21	27
228	33	37	28
229	18	11	20
230	10	15	20
231	0	0	0
232	71	59	71
233	0	0	0
234	0	0	0
235	7	7	11
236	30	56	14
237	83	98	72
238	13	20	19
239	5	1	0
240	14	14	10
241	20	21	17
242	21	17	7
243	0	0	0
244	3	2	0
245	0	0	0
246	0	1	4
247	63	100	71
248	27	32	17
249	2	1	1
250	22	23	12
251	56	57	52
252	45	15	18
253	7	4	9
254	30	31	34
255	95	109	113
256	0	1	1
257	101	76	57
258	58	68	55
259	30	51	30
260	8	4	6
261	29	30	14
262	61	59	62
263	18	15	11
264	45	49	57
265	18	15	15
266	36	31	18
267	42	37	19
268	29	37	42
269	14	8	6
270	10	5	9
271	1	0	1
272	43	43	23
273	5	5	5
274	6	2	6
275	16	13	19
276	1	5	4
277	128	164	129
278	695	715	611
279	188	205	179
280	6	5	8
281	28	15	20
282	143	164	147
283	86	77	85
284	60	45	49
285	359	339	331
286	100	99	89
287	87	85	113
288	46	40	43
289	99	96	98
290	4	3	2
291	10	13	6
292	39	40	22
293	3	7	3
294	3	7	4
295	280	269	231
296	27	21	20
297	148	156	119
298	241	257	232
299	44	66	45
300	6	4	2
301	29	19	18
302	30	26	18
303	0	2	0
304	94	111	94
305	144	138	86
306	59	51	33
307	23	29	20
308	4	1	2
309	13	11	11
310	42	42	42
311	172	148	132
312	440	464	361
313	1336	1521	1468
314	63	42	45
315	8	6	8
316	20	23	20
317	106	118	57
318	14	8	12
319	21	17	11
320	47	53	39
321	43	37	34
322	0	0	0
323	17	26	23
324	13	7	11
325	33	39	32
326	12	12	13
327	223	199	164
328	21	18	9
329	7	14	6
330	21	16	13
331	29	26	36
332	0	0	0
333	13	10	16
334	0	2	1
335	57	55	78
336	23	38	20
337	23	20	24
338	39	66	44
339	1	3	2
340	16	13	9
341	65	60	46
342	25	23	10
343	305	257	177
344	18	13	15
345	26	30	20
346	24	22	17
347	3	2	4
348	39	59	31
349	65	47	49
350	73	65	54
351	2407	2536	2615
352	24	23	20
353	4	6	0
354	4	6	4
355	14	15	8
356	50	43	38
357	135	121	78
358	4	4	6
359	0	0	0
360	0	0	0
361	3	1	1
362	473	551	363
363	4	10	8
364	67	67	48
365	68	61	53
366	1	0	0
367	66	80	45
368	11	8	4
369	19	11	9
370	42	30	27
371	8	5	4
372	3	0	0
373	7	11	12
374	257	240	264
375	0	0	0
376	1	3	4
377	17	9	8
378	7	7	5
379	84	56	49
380	38	32	38
381	0	1	0
382	148	180	143
383	418	454	408
384	2	3	4
385	1	0	0
386	20	24	13
387	189	155	198
388	149	194	118
389	15	16	9
390	266	232	168
391	202	254	239
392	7	2	4
393	85	88	102
394	136	147	129
395	184	209	177
396	0	0	0
397	14	12	4
398	172	171	161
399	528	635	712
400	1	0	3
401	20	12	14
402	245	260	135
403	6	5	2
404	10	19	14
405	17	16	13
406	19	9	10
407	39	44	34
408	788	872	669
409	88	75	84
410	14	15	10
411	105	103	108
412	3	1	1
413	0	0	0
414	18	18	19
415	0	0	1
416	4	2	3
417	27	22	18
418	65	82	58
419	4	1	5
420	5	9	4
421	25	19	10
422	33	25	10
423	18	30	27
424	2	2	1
425	13	15	8
426	13	11	4
427	19	18	17
428	2	1	1
429	50	50	68
430	175	189	185
431	659	662	648
432	28	37	21
433	28	14	26
