	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	13813	13665	11820	13808	13770	11747	13693	13747	11810	13697	13530	11756	13846	13696	12069	13487	13627	11739	13779	13764	12150	15019	13595	12079	14489	13143	11686	14353	15840	10473	15444	10560	9549
ARG	10704	10382	8802	10668	10580	8807	10811	10424	8953	10672	10651	8963	11394	10901	9389	11217	11148	9087	11269	10788	9048	10379	10956	9266	10725	10825	8863	9874	10392	8753	9821	12366	7820
ASN	12983	12901	10964	12979	12755	10910	12866	12437	10667	13079	12601	10560	12898	12524	10401	13145	12996	10492	12239	12221	10585	12601	12667	10948	12967	12860	10723	13092	11731	10648	13801	16331	10650
ASP	14838	14437	13170	14804	14595	12469	14877	14436	13096	14748	14410	12856	15074	15107	13242	14541	14147	12768	14136	14737	13142	15715	15228	13080	14771	14283	12391	14043	14158	11532	15613	13442	16032
CYS	1758	1759	1507	1779	1728	1536	1809	1713	1462	1863	1764	1532	1806	1808	1502	1715	1614	1510	1722	1832	1524	1734	1808	1460	1727	1910	1547	1740	1783	1773	1578	1870	1059
GLN	11110	11015	9430	11069	11067	9273	10962	10942	9453	11106	11061	9275	10545	10610	9438	11016	10898	9482	11076	10914	9640	10588	11433	9422	11183	11805	9794	11694	10835	9425	9369	12328	9360
GLU	19373	19576	17224	19976	19423	17394	20049	19803	17415	19596	19406	17871	20063	19816	18014	19209	19268	17586	19633	19281	17270	19800	19250	17346	19713	18970	16948	17920	19124	15203	18866	16809	27381
GLY	12391	12127	10468	12343	12035	10543	12246	12054	10498	12395	12179	10658	12970	12876	10728	12994	13402	10661	12325	12881	10422	12552	12857	10911	12135	12635	10441	11883	14399	10474	9979	10535	8491
HIS	4283	4280	3492	4259	4319	3646	4199	4153	3620	4529	4416	3587	4295	4238	3559	4490	4598	3902	4236	4451	3713	4173	4402	3612	4334	4672	4046	4935	3882	3822	3982	5351	3197
ILE	13057	12858	10979	13176	12843	11524	13341	12872	11377	13308	13130	11037	13054	12943	11734	13301	13087	11285	12775	13237	11172	13185	12808	11324	13323	12836	11174	13146	12684	12161	15831	12530	11115
LEU	18073	17376	15332	17907	17503	15405	18136	17698	15537	17687	17448	15325	17728	17472	15041	18061	16857	15323	17769	17159	15427	18103	17597	14882	17786	18226	15398	18210	18110	17236	17252	17738	12981
LYS	20183	20129	17282	20177	20167	17419	20410	19784	17017	20293	20069	17382	20786	20004	17007	20588	20596	17246	21534	19555	17031	19594	19924	17729	20328	19703	16991	19454	18339	15645	19760	22428	19420
PHE	7864	7620	6751	7703	7488	6512	7608	7696	6641	7706	7445	6475	7118	7176	6639	7673	7337	6545	7435	7454	6628	7660	7502	6126	7112	7859	6693	8131	7760	7947	7372	8385	5444
PRO	10054	9977	8327	9978	9857	8472	10017	10026	8432	9869	9869	8473	10332	10355	8180	11172	10871	8768	11552	10204	8711	10221	9422	8564	10379	9812	9436	12361	9840	9978	9891	10622	7268
SER	17748	17232	14695	17768	17338	14931	17967	17584	15251	18012	17792	15442	17629	17300	14874	17100	16870	14952	17859	17865	15304	18061	17627	15203	18014	18016	16022	18521	18170	16314	17298	18785	11855
THR	12677	12475	11088	12578	12407	10920	12468	12757	10913	12907	12636	10814	12106	12215	10652	12688	12292	10718	13200	12426	10743	13031	11970	10959	13587	11854	10873	13339	12272	11072	15872	12008	11498
TRP	1818	1827	1441	1776	1737	1446	1802	1782	1458	1803	1792	1706	2006	1830	1509	1828	1754	1583	2000	1834	1598	1724	1924	1658	1962	1972	1587	1791	1916	1875	1869	1384	1398
TYR	6555	6540	5614	6681	6516	5607	6436	6392	5641	6709	6390	5417	6683	6328	5331	6315	6360	5690	6224	6599	5615	6437	6539	5364	6093	6904	5649	6821	6524	6409	6013	8393	5191
VAL	12744	12365	11423	12894	12745	11422	12755	12918	10984	12747	12768	11169	12662	12442	11154	12555	12190	11258	12489	12934	11194	13288	12777	11065	13055	12315	10922	12769	13062	10726	13620	9182	12425
TERM	204	219	173	210	157	160	159	158	165	147	201	157	577	562	198	182	136	148	140	129	172	118	122	110	103	118	111	139	104	111	99	127	123
MET	3238	3344	2761	3293	3346	2803	3417	3274	2766	3402	3351	2896	3348	3265	2909	3486	3189	2971	3533	3177	2833	3125	3246	2919	3518	3080	2904	3284	3027	2785	4273	3005	2280
