	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	125631	122537	106856	0.13137113175427095	0.0	35.38662174951553	-9	1.0759366716813525	355024	137408	0.05020143339764637	0.06072785113404539
ARG	97839	96655	81178	0.13795849733253282	0.0	35.491090861603645	-18	1.0481096495262625	275672	103907	0.03796198430985999	0.06235769743035686
ASN	115757	113962	96250	0.13925440983721787	0.0	35.51165908414604	-15	1.0220116278065257	325969	183545	0.06705739180375962	0.041742260237168226
ASP	133504	131380	116214	0.10890661425423338	0.0	35.031409243816555	-9	1.0594064597315436	381098	162972	0.05954113300303639	0.054962425980422336
CYS	15913	15936	13580	0.11191697308300873	1.0	35.078914349864625	-5	1.0786897590361446	45429	28205	0.010304577819199872	0.03785726999327839
GLN	98655	99745	85207	0.11769309005359611	1.0	35.17014742231327	-5	1.0651661737430447	283607	124243	0.04539165615993085	0.05365216306966508
GLU	177412	174793	157068	0.09652450044970808	0.0	34.8363255071445	-18	1.0177834644781638	509273	179457	0.06556385824145192	0.06670101888346643
GLY	112351	113046	95330	0.122540709768106	1.0	35.24679867925058	-14	1.0669815827185394	320727	137634	0.050284001544681975	0.054771168912703394
HIS	38798	39529	33177	0.13541557470073443	1.0	35.450746161572674	-5	1.0637253661868502	111504	57116	0.020867089761440163	0.04588543800399908
ILE	118520	116614	101606	0.11934719978450932	0.0	35.196293876581336	-24	1.0130695241309484	336740	193144	0.07056434597807268	0.04097846682413289
LEU	161250	157336	137670	0.1285548634098276	0.0	35.342000981904896	-24	1.0122418604651162	456256	251731	0.09196885938681094	0.04260044218837825
LYS	183893	179931	155104	0.13455474669248493	0.0	35.4370933925323	-12	1.0539063477130723	518928	201766	0.07371435732205925	0.060450700792929656
PHE	67879	67577	59010	0.1009079631076784	0.0	34.90533049479087	-30	1.0426788844856287	194466	118553	0.04331283865270705	0.03855434704241705
PRO	93574	90393	77363	0.15781526351535718	0.0	35.806834270845286	-12	1.1110778635090943	261330	122668	0.04481623655116503	0.05007260700936758
SER	160158	157624	136674	0.1222181255043696	0.0	35.24169556568732	-9	1.0149290076049902	454456	244836	0.08944980021065838	0.043627345119041934
THR	115242	111032	97680	0.14315305213863339	0.0	35.57356908696914	-6	1.0610975165304317	323954	167172	0.06107558529307856	0.04554723606311574
TRP	16719	16452	13986	0.13561499294696602	0.0	35.45390928176093	-18	1.079849273281895	47157	25784	0.009420075677725561	0.04298709484172493
TYR	58133	58568	49928	0.11633859687340915	1.0	35.148743616057224	-5	1.0609206392569321	166629	95729	0.034974186493677874	0.04091186571040436
VAL	115189	113454	100591	0.10608881767688635	0.0	34.98696975403512	-9	1.038224135985207	329234	147107	0.05374492215029376	0.052603368929759114
TERM	1840	1802	1394	0.20343835801639842	0.0	36.53693407466243	-18	2.822282608695652	5036	5424	0.0019816355288544618	0.021822688824455063
MET	30360	29272	25762	0.14184859982113052	0.0	35.552849146310045	-12	1.0473320158102766	85394	48732	0.017804030713889314	0.04118654300916841
