	F0	F1	F2
0	6	10	10
1	3	2	1
2	129	131	152
3	151	199	162
4	43	54	42
5	19	24	37
6	10	2	3
7	11	12	17
8	32	28	31
9	4	3	6
10	33	23	21
11	75	66	51
12	64	65	41
13	401	460	412
14	3	0	1
15	339	389	291
16	0	0	0
17	0	0	0
18	49	48	49
19	32	27	36
20	25	17	17
21	8	10	32
22	0	0	0
23	0	0	0
24	5	2	5
25	14	20	10
26	8	8	3
27	113	96	92
28	5	12	3
29	5	3	4
30	1	1	0
31	23	16	16
32	27	28	23
33	29	35	28
34	5	1	2
35	4	5	3
36	6	10	10
37	106	125	96
38	4	5	10
39	11	5	3
40	6	6	4
41	120	139	105
42	1	3	5
43	43	47	26
44	5	6	3
45	5	5	9
46	10	9	7
47	28	29	19
48	3	4	10
49	95	94	80
50	93	84	57
51	3	2	5
52	93	94	95
53	30	26	32
54	20	14	24
55	7	4	3
56	0	2	1
57	110	129	116
58	59	66	49
59	7	13	7
60	5	5	1
61	0	1	0
62	10	11	8
63	10	4	7
64	22	14	23
65	8	11	15
66	9	9	7
67	205	167	135
68	1	2	0
69	1	0	1
70	1	0	0
71	20	19	17
72	52	57	49
73	6	11	1
74	8	2	5
75	2	1	2
76	82	55	66
77	0	1	0
78	2	2	7
79	23	24	18
80	5	5	8
81	10	8	11
82	25	26	14
83	5	9	3
84	36	23	25
85	285	264	241
86	8	14	5
87	42	42	33
88	181	123	95
89	4	3	2
90	3	4	4
91	61	38	34
92	18	20	12
93	24	24	19
94	53	27	45
95	6	7	9
96	12	6	5
97	46	42	18
98	44	28	23
99	18	10	15
100	3	4	6
101	154	145	106
102	51	31	50
103	57	58	40
104	10	10	6
105	11	19	8
106	46	42	29
107	8	15	8
108	0	0	0
109	10	9	5
110	5	4	3
111	5	5	6
112	1	0	0
113	4	1	2
114	26	21	18
115	0	2	0
116	13	16	4
117	1	0	0
118	16	14	6
119	14	17	17
120	122	105	93
121	6	12	3
122	1	0	0
123	331	386	351
124	45	33	38
125	85	78	89
126	21	6	17
127	34	37	22
128	3	3	3
129	28	29	18
130	0	0	0
131	34	42	27
132	16	12	8
133	26	23	27
134	131	187	149
135	37	45	38
136	1	3	1
137	10	4	6
138	92	97	73
139	6	6	7
140	13	12	9
141	161	190	125
142	11	11	13
143	13	14	11
144	214	239	192
145	44	27	28
146	0	0	1
147	0	0	1
148	7	15	5
149	219	194	149
150	10	3	11
151	21	17	15
152	8	11	11
153	25	31	23
154	144	170	114
155	30	30	17
156	2	1	1
157	1	2	5
158	6	2	1
159	1	2	3
160	13	5	8
161	183	192	131
162	29	33	50
163	1	0	2
164	14	10	9
165	3	0	0
166	1	1	1
167	19	16	12
168	33	41	43
169	19	18	32
170	5	9	5
171	14	13	16
172	7	11	4
173	35	18	19
174	115	108	117
175	0	2	2
176	14	6	9
177	0	1	1
178	0	0	0
179	7	4	4
180	0	0	0
181	4	2	1
182	5	3	4
183	4	1	1
184	1	3	1
185	11	16	11
186	12	20	19
187	22	33	20
188	0	0	0
189	4	3	2
190	11	8	22
191	2	6	4
192	0	5	3
193	35	40	35
194	1	3	1
195	3	0	2
196	2	0	0
197	0	0	0
198	3	2	3
199	22	23	19
200	0	0	0
201	170	156	103
202	1	2	0
203	95	105	71
204	51	64	42
205	4	6	7
206	10	19	10
207	0	0	0
208	34	38	16
209	5	2	12
210	3	4	1
211	3	1	3
212	9	7	9
213	51	58	65
214	86	76	46
215	0	0	0
216	48	53	37
217	1	1	0
218	25	22	26
219	17	24	23
220	10	11	18
221	446	461	406
222	101	68	65
223	11	9	6
224	38	57	32
225	570	543	497
226	1	9	2
227	9	7	12
228	13	15	12
229	10	1	5
230	7	11	5
231	0	0	0
232	27	25	26
233	0	0	1
234	0	0	0
235	6	4	5
236	14	14	7
237	45	44	41
238	9	7	10
239	2	1	1
240	9	11	8
241	10	8	10
242	9	5	7
243	0	0	0
244	2	2	2
245	0	0	0
246	1	0	1
247	40	48	38
248	7	14	9
249	1	0	1
250	11	3	6
251	37	21	24
252	34	22	13
253	2	4	4
254	14	17	10
255	59	61	53
256	1	1	0
257	62	40	24
258	47	42	25
259	19	25	12
260	7	3	6
261	15	17	10
262	12	18	20
263	1	9	7
264	17	28	13
265	8	2	2
266	22	23	16
267	13	14	11
268	12	14	31
269	2	5	1
270	9	7	5
271	0	1	0
272	31	34	18
273	3	7	2
274	5	5	0
275	14	7	7
276	3	4	1
277	82	66	56
278	316	295	270
279	139	160	122
280	2	1	2
281	17	15	14
282	43	58	46
283	45	29	42
284	36	41	42
285	209	201	186
286	61	81	47
287	60	78	77
288	27	15	32
289	63	66	51
290	2	1	2
291	6	6	12
292	14	12	9
293	0	3	1
294	3	3	3
295	134	170	151
296	9	8	8
297	73	78	69
298	142	173	183
299	43	23	31
300	3	0	0
301	14	12	9
302	14	12	13
303	1	0	1
