	F0	F1	F2
0	37	33	31
1	2	4	3
2	381	396	374
3	315	414	349
4	113	126	77
5	48	66	53
6	22	16	10
7	67	73	39
8	57	92	70
9	20	25	26
10	99	78	39
11	191	197	150
12	183	158	98
13	1130	1274	1321
14	5	4	6
15	990	1164	1015
16	0	0	0
17	0	1	3
18	223	245	182
19	56	100	67
20	87	64	56
21	28	60	83
22	0	0	0
23	0	0	2
24	22	16	22
25	46	32	31
26	17	14	11
27	488	460	384
28	26	49	28
29	16	17	5
30	1	1	0
31	84	74	74
32	92	91	66
33	92	96	85
34	13	10	12
35	10	18	16
36	38	34	32
37	446	460	407
38	35	31	29
39	24	11	18
40	21	24	18
41	450	413	342
42	17	14	17
43	93	129	100
44	21	16	6
45	26	27	27
46	42	34	29
47	77	84	54
48	19	15	21
49	269	291	233
50	261	234	123
51	11	9	5
52	266	262	242
53	66	74	96
54	65	68	41
55	15	16	11
56	2	0	0
57	329	344	325
58	267	224	256
59	28	33	16
60	17	11	14
61	1	2	0
62	29	30	19
63	59	28	28
64	54	48	35
65	23	23	24
66	22	47	23
67	486	472	365
68	4	9	5
69	11	5	3
70	0	0	0
71	56	49	38
72	133	148	92
73	6	17	8
74	21	24	15
75	4	4	8
76	215	183	178
77	4	1	1
78	16	13	13
79	105	115	92
80	18	15	16
81	26	26	25
82	111	106	70
83	30	46	28
84	87	79	88
85	730	717	603
86	25	32	21
87	163	147	121
88	581	519	385
89	10	14	9
90	8	15	15
91	193	175	118
92	61	58	44
93	80	76	70
94	131	112	119
95	19	14	11
96	40	41	28
97	174	181	111
98	161	128	88
99	61	51	46
100	7	6	11
101	476	491	371
102	151	129	151
103	201	171	123
104	15	20	8
105	56	59	39
106	150	161	125
107	16	23	22
108	1	0	0
109	32	27	12
110	11	7	4
111	19	17	18
112	1	1	0
113	3	5	4
114	57	85	68
115	0	1	0
116	37	30	33
117	3	2	5
118	34	32	17
119	66	61	54
120	435	387	276
121	31	43	42
122	5	4	0
123	804	816	769
124	138	145	118
125	312	264	314
126	36	33	24
127	71	87	50
128	18	14	14
129	75	74	66
130	0	0	0
131	91	92	71
132	54	41	29
133	124	63	57
134	387	493	392
135	164	199	143
136	1	4	5
137	21	24	32
138	299	260	244
139	19	16	16
140	44	59	29
141	409	424	278
142	41	55	28
143	31	55	45
144	706	690	638
145	144	138	105
146	1	0	0
147	2	0	1
148	29	32	23
149	549	556	373
150	38	35	25
151	65	83	43
152	34	53	46
153	79	72	61
154	503	532	461
155	167	123	76
156	5	2	2
157	14	3	10
158	11	4	13
159	2	5	3
160	34	21	19
161	520	501	333
162	156	179	226
163	9	4	5
164	41	59	50
165	6	8	3
166	1	4	3
167	75	62	48
168	122	132	94
169	63	52	98
170	24	19	6
171	65	50	47
172	42	25	25
173	83	68	61
174	407	365	318
175	1	2	4
176	49	37	40
177	8	5	5
178	0	0	0
179	22	34	21
180	0	0	0
181	7	13	4
182	7	13	12
183	7	8	11
184	6	9	4
185	44	49	32
186	48	52	57
187	86	80	63
188	0	0	0
189	8	5	10
190	46	23	29
191	9	10	12
192	5	7	3
193	133	136	116
194	12	10	17
195	3	6	11
196	12	4	3
197	0	0	0
198	9	6	4
199	57	50	51
200	3	0	2
201	655	596	434
202	1	3	6
203	352	298	267
204	195	173	139
205	17	18	15
206	35	42	45
207	1	0	0
208	122	136	67
209	28	24	22
210	16	14	13
211	9	6	10
212	26	20	17
213	167	167	181
214	266	239	169
215	4	6	3
216	221	180	152
217	5	2	5
218	113	96	67
219	47	62	37
220	33	41	26
221	999	1103	999
222	247	264	184
223	37	58	28
224	160	192	172
225	1280	1205	1073
226	14	24	14
227	119	88	103
228	50	61	62
229	33	20	12
230	27	33	36
231	0	0	0
232	94	80	80
233	0	0	0
234	0	0	0
235	12	12	15
236	12	32	18
237	150	131	122
238	18	28	26
239	7	3	3
240	23	27	17
241	36	32	33
242	28	28	31
243	0	0	0
244	4	8	6
245	0	0	0
246	7	4	11
247	148	142	122
248	47	48	25
249	0	2	5
250	37	49	25
251	78	95	64
252	74	32	33
253	18	12	9
254	46	53	52
255	141	170	174
256	1	2	4
257	114	95	52
258	112	108	78
259	43	75	41
260	12	12	11
261	43	49	24
262	84	93	92
263	19	21	20
264	86	81	92
265	33	14	13
266	77	78	35
267	44	51	25
268	48	41	48
269	11	9	8
270	17	14	11
271	2	1	2
272	46	53	43
273	14	11	3
274	9	10	10
275	29	25	11
276	7	9	3
277	254	279	248
278	1176	1050	963
279	342	360	287
280	11	8	7
281	42	31	29
282	210	265	235
283	167	144	139
284	96	109	80
285	490	557	483
286	205	187	168
287	134	152	178
288	80	71	55
289	123	143	140
290	5	6	6
291	21	22	20
292	42	42	26
293	13	12	2
294	9	7	4
295	669	658	557
296	31	43	28
297	266	276	226
298	338	367	314
299	84	71	56
300	9	5	6
301	60	55	43
302	43	54	32
303	0	2	0
304	129	158	94
305	280	264	200
306	73	92	50
307	43	33	29
308	9	3	2
309	19	15	9
310	90	73	78
311	275	289	235
312	896	863	719
313	2527	2693	2589
314	95	92	64
315	10	12	18
316	42	37	24
317	239	255	130
318	6	20	6
319	32	24	24
320	72	89	70
321	81	71	34
322	0	0	0
323	48	48	35
324	29	22	18
325	51	65	65
326	23	22	16
327	296	269	213
328	29	33	19
329	18	20	9
330	20	19	23
331	54	52	65
332	0	0	0
333	16	17	18
334	4	1	7
335	124	118	132
336	57	47	45
337	54	44	29
338	107	119	111
339	1	1	2
340	26	31	23
341	137	118	82
342	37	19	25
343	454	399	260
344	17	23	32
345	38	39	32
346	29	27	26
347	6	5	5
348	56	50	45
349	88	70	62
350	91	81	71
351	2986	3074	3177
352	41	54	31
353	20	22	12
354	11	8	16
355	29	28	23
356	65	73	32
357	255	235	194
358	3	6	2
359	0	0	0
360	0	1	0
361	1	4	4
362	1092	1081	583
363	16	8	9
364	98	80	76
365	101	105	80
366	1	2	2
367	170	164	101
368	14	13	10
369	21	25	17
370	71	74	49
371	3	5	6
372	2	3	2
373	8	14	13
374	470	465	443
375	0	0	0
376	2	6	1
377	15	13	16
378	13	19	9
379	131	133	97
380	81	86	76
381	3	4	0
382	248	289	269
383	839	771	652
384	2	2	4
385	0	0	0
386	34	29	25
387	319	309	310
388	267	330	213
389	26	23	21
390	407	354	257
391	436	433	445
392	7	6	14
393	147	171	148
394	234	240	225
395	337	360	274
396	1	0	0
397	25	15	11
398	261	238	265
399	1105	1187	1238
400	7	3	2
401	25	19	13
402	318	340	190
403	11	6	7
404	30	25	18
405	36	45	33
406	22	31	16
407	50	46	34
408	1205	1247	926
409	153	117	139
410	28	34	26
411	154	128	112
412	2	0	1
413	0	0	0
414	30	21	35
415	0	2	0
416	2	1	4
417	38	50	29
418	122	117	110
419	0	3	3
420	10	8	5
421	26	33	30
422	53	39	37
423	31	38	34
424	3	3	3
425	13	11	19
426	27	17	12
427	15	14	7
428	5	2	0
429	105	110	94
430	326	306	319
431	1066	1105	969
432	73	72	40
433	44	32	36
434	0	0	0
435	34	50	34
436	107	92	77
437	112	127	72
438	0	0	0
439	9	5	4
440	32	33	24
441	9	10	3
442	235	218	171
443	4	6	2
444	1	4	0
445	34	20	23
446	70	81	73
447	180	144	109
448	38	53	42
449	0	0	0
450	76	52	34
451	7	2	8
452	187	200	153
453	13	13	5
454	152	171	126
455	5	3	4
456	45	50	52
457	418	407	381
458	29	20	24
459	1	1	0
460	0	1	1
461	0	0	0
