	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	24285	23804	20675	24076	23982	20383	24038	23628	20314	23639	23429	20309	24696	23877	20776	23345	23291	20368	24242	23550	20763	26122	23437	20926	25774	22190	20128	24587	27020	17655	25380	17014	16078
ARG	18973	18676	15899	19078	18704	15751	19261	18643	15920	19435	18703	16209	19996	19311	16583	20541	19593	15771	19979	19213	16318	18756	19385	16667	19249	19576	15861	17440	18952	15434	17629	20631	13144
ASN	23313	22791	19482	23441	22898	19481	23403	22570	19245	23999	22792	19190	23556	22359	18861	24231	23926	19324	22686	22620	19315	23314	23057	19563	23856	23299	19438	24361	20741	19385	25715	29763	19026
ASP	27702	26890	24114	27482	27070	23615	27724	26909	24191	27595	27038	23779	28750	28307	24529	27312	26694	24299	26988	28314	25095	29503	28873	24974	28272	27818	23704	27322	27612	21739	27809	25160	31258
CYS	3229	3043	2639	3205	3168	2716	3264	3199	2633	3284	3239	2684	3450	3268	2490	2895	2904	2656	3154	3271	2875	3191	3340	2712	3104	3465	2788	3077	3223	3113	2721	3171	1862
GLN	19262	18606	16297	19296	18735	16173	19107	18925	16195	19264	19202	15894	18432	18412	16830	19360	18433	15948	19116	18424	16361	18055	19386	16762	19359	20151	17063	20276	18403	16153	16312	21118	16027
GLU	36721	36209	32312	37616	36769	32227	37630	36714	32422	36804	36631	33192	37717	36544	32946	35894	36294	33346	37628	36333	32394	36907	35912	32548	37617	35968	31890	34017	36327	28549	34244	31029	51522
GLY	21640	21290	17956	21533	21061	18277	21720	21269	17981	21392	21141	17981	22893	22070	18152	22620	22918	18366	21034	22118	17926	22079	21988	18279	20882	21194	17538	20106	24332	17485	15620	18018	14928
HIS	7746	7337	6299	7653	7314	6558	7472	7198	6418	7818	7529	6195	7317	7239	6259	8005	7930	6621	7629	7884	6708	7614	7896	6444	7565	7973	6729	8536	6942	6861	6961	9190	5425
ILE	23775	23233	19841	23693	23259	20319	23855	23318	20265	24231	23485	20149	23580	23029	20655	24485	23271	20160	23063	23968	19645	23701	22982	20329	24166	22916	20115	23770	22377	22095	30070	23036	20253
LEU	32375	31643	27168	32446	31291	27326	32361	31725	27947	32662	31380	27392	32118	31240	27538	32534	31126	27274	32274	30783	27872	32653	31413	26896	32147	32555	27802	33025	33357	31713	32547	33841	23322
LYS	36793	36630	31795	37307	36550	31853	37494	36208	31483	37256	36457	31630	37840	37038	31039	37699	37422	31650	40177	35762	30932	35957	36137	31482	37262	36524	31823	36738	34066	29127	37386	41889	34937
PHE	13500	13253	11362	13659	13280	11440	13512	13575	11434	13728	13121	11292	12522	12673	11536	13952	12818	11459	12844	13172	11374	13309	13230	10859	12309	13970	11423	14277	13860	14294	13781	16037	10104
PRO	16837	16654	14019	17074	16292	13987	17066	16468	14176	17064	16207	14233	17788	17495	13765	19218	18353	14893	19622	16831	14298	17248	16020	14292	17342	16151	15500	20229	15634	16268	15912	16261	11730
SER	30667	29341	25239	30478	29834	25684	30715	29930	25650	30745	30039	25602	29962	29685	24950	28772	28282	24848	30248	29488	25391	31258	29918	25515	30406	30609	26395	32115	31212	28115	30905	32640	19815
THR	21989	20867	18258	21373	21057	18397	21690	21016	18357	21967	21618	18669	21191	20287	18396	21640	20802	17929	22558	20980	18335	22587	20851	18622	23807	20143	18674	23034	20464	18233	27655	20006	16626
TRP	3356	3277	2629	3244	3092	2605	3332	3164	2730	3322	3183	2906	3665	3257	2752	3125	3104	2933	3475	3246	2844	3277	3247	2838	3461	3457	2853	3398	3324	3421	3321	2170	2532
TYR	11941	11662	9996	12137	11336	9939	11739	11704	9751	12003	11549	9828	11911	11662	9476	11138	11277	9962	11050	11521	10120	11580	11521	9615	10862	12072	9795	12307	11548	11249	11485	15215	9265
VAL	22779	21897	19552	22955	22434	19316	22747	22472	19269	22453	22157	19610	21852	21710	19630	22246	21330	19492	21560	22642	19205	23441	21983	19002	22999	21292	19071	22391	22430	18480	24054	16353	22926
TERM	421	418	397	421	404	372	314	368	321	374	397	340	1091	1179	370	374	333	331	278	275	330	270	243	280	252	267	245	262	243	239	204	256	302
MET	6057	6088	4867	5901	5788	4863	6029	5839	5018	6034	6010	5083	5923	5860	5114	6569	5977	5425	6702	6042	5349	5899	6007	5196	6434	5659	5308	6167	5537	4848	8036	5224	3775
