	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	220217	211188	184642	0.1540448857814731	0.0	35.74678555369964	-9	1.0675742563017387	616047	138989	0.050170539188277505	0.05914534320882865
ARG	175268	171804	144979	0.14606770043834422	0.0	35.61988493062711	-15	1.0547789670675765	492051	104927	0.03787525750533059	0.06257631752232706
ASN	211799	206312	173899	0.1558955060838814	0.0	35.77625377949697	-15	1.0296507537807071	592010	185701	0.06703206223371865	0.04254043630482065
ASP	251328	247913	218300	0.1085821747322524	0.0	35.02629118057365	-9	1.0564958938120703	717541	164838	0.05950119317872124	0.05808667596672103
CYS	28776	28897	24193	0.12577145192107061	1.0	35.29792587887523	-5	1.0791777693186144	81866	28764	0.010382874826148933	0.03797881680575268
GLN	171251	170274	147523	0.10800690681892311	0.0	35.0172171238815	-15	1.017453912677882	489048	125686	0.04536858591987744	0.05192203693803723
GLU	334534	327374	293277	0.1083705944999357	0.0	35.022953668661046	-18	1.0147040360621042	955185	181173	0.06539760050333336	0.07035276286450137
GLY	195793	195049	162456	0.13136576726373028	0.0	35.386536730658705	-18	1.0523205630436225	553298	139563	0.05037773464614878	0.0529024692678739
HIS	68819	68300	58231	0.12138794629743184	0.0	35.228564115689785	-15	1.0468765893139975	195350	57934	0.02091230253713365	0.04499528842972403
ILE	214549	209461	181478	0.13436366199867497	0.0	35.43406310281954	-15	1.027108026604645	605488	195750	0.0706594266172526	0.04127536374127539
LEU	291570	283156	247215	0.13684039370450923	0.0	35.473349060334016	-21	1.0081901430188291	821941	254580	0.09189515621057556	0.04308275843163996
LYS	337785	328728	283687	0.14159564440066882	0.0	35.548831824878974	-12	1.0704827034948265	950200	204163	0.07369624784908374	0.062104794193912016
PHE	119335	119092	102179	0.10920285353566088	0.0	35.03608274663394	-15	1.0522311140905853	340606	120090	0.04334861068948079	0.03784709835203014
PRO	159259	150471	129163	0.18783511889655286	0.0	36.28652086043751	-12	1.1088729679327385	438893	124108	0.04479897889457975	0.04718956964773271
SER	273251	267126	229274	0.13872366018152144	0.0	35.503234582947336	-9	1.029536945884919	769651	247551	0.08935791427089398	0.041487407056346196
THR	198802	187621	165637	0.17061003817339554	0.0	36.01094083976379	-6	1.077770847375781	552060	169337	0.06112518684590397	0.04350323558556629
TRP	30257	29027	25090	0.16118708546367994	0.0	35.860573162348594	-18	1.09016095448987	84374	26197	0.009456270748874413	0.042977803712136275
TYR	104361	104304	88482	0.11458238566559964	0.0	35.12100071681693	-27	1.0466841061316008	297147	97149	0.03506765076086576	0.040815033278129326
VAL	203032	197917	174147	0.12615632381236797	0.0	35.30401880729478	-9	1.039092359825052	575096	149072	0.05381017647349721	0.05147915484691785
TERM	3795	3884	2986	0.19604515620700375	1.0	36.418190342240976	-17	2.731977342945417	10665	5536	0.001998317168598265	0.025707030798434994
MET	55548	53270	46223	0.1591399425112245	0.0	35.82794228623396	-12	1.0858716785482825	155041	49223	0.01776791293170383	0.042030603047292295
