	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	21666	21002	20096	21542	21213	19618	21719	20931	19763	21680	21182	20058	22666	21797	20385	22010	21540	20253	22787	21908	20733	24026	21405	20541	23435	20967	20449	23302	24992	18259	23702	15277	15539
ARG	16755	16079	14762	16790	16071	14889	17278	16252	15107	17115	16721	15283	18245	17293	15644	18337	17002	15402	18065	17304	15341	17217	17285	16165	17374	16994	15069	15869	16292	14741	16492	17878	12705
ASN	20088	19292	17523	20275	19369	17827	19982	19119	17786	20075	19168	17571	20006	18736	16953	20474	19758	17645	19244	18845	17589	19570	19416	17759	20384	19499	17783	20412	17826	18233	22782	25989	18673
ASP	24415	23512	22294	23979	23398	22150	24270	23296	22509	23912	23339	22733	24890	23575	23104	23889	22671	22201	23637	23572	23106	25759	24510	22703	24350	23500	21989	23104	22612	20724	24113	20991	30717
CYS	2802	2775	2541	2649	2703	2563	2810	2687	2443	2901	2680	2518	2966	2639	2466	2560	2450	2430	2555	2772	2528	2696	2858	2481	2698	2751	2554	2622	2682	2725	2490	2469	1626
GLN	17482	16886	15701	17632	16769	15170	17378	16860	15678	17579	17271	15371	16663	16396	15896	17624	16671	15810	17605	16820	15883	16670	17214	15997	17746	18107	16532	18968	16840	15500	16402	19077	15652
GLU	32872	31399	30609	32914	31603	30332	33186	31845	30601	32765	31618	30839	32357	31265	30502	31407	30850	30855	32990	31352	30556	33190	31606	30796	32665	30552	29551	30017	30260	27546	30858	27739	50088
GLY	19510	18695	17315	19284	18890	17474	19427	18911	17591	19556	18725	17673	20510	19719	17502	19953	20147	17753	19209	19213	17319	19841	19527	17327	18879	18698	16745	18562	21029	16332	13594	14843	14363
HIS	6689	6276	5792	6537	6171	5968	6397	6196	5953	6730	6210	5717	6341	6201	5869	6684	6633	6024	6462	6496	5815	6570	6267	5868	6534	6853	5967	7547	5781	5909	6192	7651	5183
ILE	20378	19469	17997	20229	19845	18280	20407	19654	18226	20534	19338	18466	20007	19446	18752	20370	19423	18324	20068	19706	17798	19975	19216	18412	20664	19365	18561	20328	19164	20205	24502	19377	17938
LEU	27850	26660	24734	28337	26965	25289	28087	27064	25249	27826	26410	25024	27753	26327	25561	28291	26350	24868	27586	25883	25523	27659	26293	24756	27760	27494	25490	27981	27949	27927	27689	27130	19910
LYS	32370	31762	29969	33003	31409	29952	33065	31397	29667	32940	31611	29636	33845	32085	29637	32811	32437	30029	34154	31641	29853	32108	31851	30411	32959	31930	30054	32376	29800	28889	33677	38962	33348
PHE	11813	11285	10704	11943	11412	10665	11876	11460	10680	11831	11391	10483	10881	10806	10518	12173	11381	10583	11422	11111	10671	11574	11257	10415	11158	11989	10792	12243	11850	12530	11528	12865	8937
PRO	15135	14738	13502	14984	14338	13662	15309	14543	13636	15255	14602	13395	15959	15435	13139	16969	15744	14182	17439	15395	13975	15543	14181	13625	15778	14649	14667	18438	15141	15350	14443	14556	10930
SER	27087	25894	24180	27400	26196	24365	27320	26052	24341	27471	26403	24267	26806	26075	24147	26156	25348	23916	27041	26209	24399	27999	26234	24034	27042	26499	24986	28195	27181	25540	27015	28231	17924
THR	19333	18419	17441	18962	18102	17356	19004	18406	17610	19759	18707	17417	18698	17929	17136	18973	18197	16754	19454	18276	17175	19287	18126	17414	20518	17641	17548	20069	18541	17519	24184	18945	15762
TRP	2871	2786	2483	2726	2518	2391	2780	2739	2588	2812	2711	2553	3027	2886	2442	2729	2697	2581	2888	2711	2499	2847	2803	2712	3005	2904	2545	2792	2796	3053	2904	1732	2132
TYR	9919	9610	9190	10326	9912	9270	10104	9894	8760	10305	9862	8916	10138	9763	8645	10073	9538	8893	9782	9688	8906	9636	9515	8739	9642	10160	9049	10566	9933	10163	9930	12687	8015
VAL	20305	19364	18654	20508	19607	18623	20163	19559	18052	19898	19398	18697	19776	19415	18724	20219	19141	18874	19848	19811	18369	20842	19497	18089	20405	18769	18322	20302	19148	17764	19622	13469	21080
TERM	449	394	350	369	375	378	336	326	342	344	337	353	860	827	365	345	296	259	263	211	295	239	256	246	236	215	215	227	235	243	184	224	256
MET	5353	5035	4492	5274	4980	4611	5222	5039	4649	5328	4986	4678	5214	4888	4710	5453	5103	4790	5366	4756	4523	5046	4814	4665	5424	4940	4644	5070	4749	4713	6975	5051	3448
