	F0	F1	F2
0	33	33	48
1	0	2	1
2	86	88	100
3	173	208	170
4	42	37	46
5	40	37	52
6	8	5	7
7	22	27	25
8	33	53	34
9	10	8	3
10	55	50	30
11	106	107	87
12	60	55	56
13	986	1050	1063
14	6	6	12
15	502	589	537
16	0	0	0
17	0	1	1
18	87	75	97
19	38	30	35
20	15	28	23
21	3	8	6
22	0	0	0
23	3	10	7
24	6	7	2
25	15	19	17
26	9	7	6
27	243	222	214
28	7	12	11
29	8	4	3
30	0	0	0
31	32	30	35
32	51	55	23
33	25	21	36
34	12	2	4
35	5	9	4
36	15	15	15
37	168	187	185
38	14	14	15
39	11	14	7
40	8	13	8
41	224	241	217
42	6	7	6
43	58	64	54
44	4	11	13
45	18	10	18
46	15	14	11
47	50	44	18
48	7	7	6
49	129	134	119
50	97	84	68
51	1	0	6
52	166	148	158
53	27	23	33
54	38	28	19
55	13	7	9
56	0	1	4
57	175	201	206
58	119	124	118
59	21	21	13
60	4	4	4
61	2	4	0
62	16	17	12
63	41	14	25
64	28	18	23
65	23	19	17
66	19	14	12
67	233	193	157
68	12	18	15
69	1	2	2
70	0	0	0
71	15	13	15
72	89	110	76
73	7	9	4
74	7	10	11
75	10	5	0
76	95	70	70
77	0	1	0
78	2	2	2
79	50	54	42
80	7	4	3
81	12	16	12
82	51	37	42
83	17	16	14
84	27	36	32
85	333	353	288
86	6	11	10
87	60	68	41
88	263	206	193
89	0	6	1
90	9	9	12
91	102	101	56
92	28	33	22
93	50	35	43
94	68	65	81
95	16	13	11
96	6	12	7
97	65	77	82
98	50	64	37
99	21	27	18
100	5	6	2
101	265	218	178
102	73	63	72
103	84	69	53
104	13	11	4
105	23	26	19
106	48	48	27
107	14	10	12
108	0	0	0
109	12	6	7
110	8	4	1
111	28	12	19
112	0	0	0
113	4	5	3
114	38	47	33
115	1	0	0
116	14	8	10
117	1	0	0
118	16	9	13
119	30	22	30
120	298	269	250
121	15	4	15
122	0	1	1
123	473	515	507
124	64	68	74
125	157	149	175
126	14	17	18
127	41	41	26
128	4	15	6
129	30	39	21
130	0	0	0
131	49	56	24
132	18	15	14
133	61	33	35
134	263	279	258
135	62	47	45
136	0	1	1
137	5	4	8
138	199	186	152
139	13	15	5
140	18	15	21
141	214	217	184
142	16	17	14
143	20	15	22
144	351	342	313
145	69	54	48
146	0	0	0
147	0	0	1
148	8	10	2
149	365	348	279
150	6	14	7
151	36	33	22
152	21	30	11
153	32	51	45
154	226	222	221
155	55	59	51
156	4	0	3
157	3	5	3
158	7	12	8
159	4	1	0
160	5	18	10
161	257	281	219
162	75	46	122
163	0	1	4
164	23	21	11
165	3	1	1
166	3	6	1
167	30	25	32
168	68	67	63
169	31	28	33
170	4	5	9
171	26	18	27
172	22	20	9
173	62	61	42
174	282	255	245
175	0	2	1
176	21	24	20
177	2	1	5
178	0	0	0
179	10	13	5
180	0	0	0
181	2	3	1
182	15	5	7
183	3	5	3
184	3	2	0
185	25	25	22
186	30	24	27
187	27	28	14
188	0	0	0
189	12	7	6
190	25	7	12
191	4	3	5
192	3	1	3
193	125	125	124
194	2	1	4
195	2	2	7
196	2	1	0
197	0	0	0
198	3	7	3
199	38	32	33
200	0	0	2
201	167	141	143
202	2	1	6
203	169	162	132
204	98	97	74
205	15	13	8
206	19	14	20
207	0	0	0
208	41	29	14
209	8	14	15
210	9	10	8
211	1	4	4
212	14	10	14
213	93	104	122
214	157	172	103
215	2	4	2
216	53	28	37
217	0	0	2
218	34	27	42
219	42	41	21
220	9	19	16
221	387	401	376
222	83	77	73
223	11	14	9
224	52	60	51
225	626	537	513
226	8	12	4
227	54	64	60
228	33	23	27
229	11	6	7
230	12	17	18
231	0	0	0
232	34	28	29
233	0	0	0
234	0	0	0
235	37	43	37
236	34	52	25
237	58	67	60
238	12	13	18
239	0	4	2
240	29	20	21
241	24	16	11
242	13	11	8
