	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	16351	16344	15972	16658	16337	15852	16610	16241	15884	16074	15893	16061	16690	16063	16209	16072	16153	15771	16487	16616	16378	17469	15921	16053	16834	15607	15748	17101	18310	14575	18033	11459	12318
ARG	12859	12598	12147	12910	12704	12036	13016	12477	12334	13161	12853	12471	13782	12929	12711	13551	13085	12481	13613	13245	12551	13082	13421	12930	13190	13314	12147	11909	12605	11783	12540	15163	10025
ASN	15247	15263	14659	15495	15219	14798	15239	14883	14594	15373	15121	14566	15307	14817	14336	15836	15461	14765	14796	14746	14665	14960	15063	15142	16055	15594	14747	15764	14079	15103	17342	20800	14969
ASP	18772	18052	18321	18403	17892	17991	18274	17849	18391	18245	17785	18078	18637	18393	18354	18026	17545	17999	17664	18063	18741	19194	18735	18437	18081	17642	17819	17733	17460	17236	19027	15743	24652
CYS	2186	2120	2048	2077	2122	2061	2125	1999	2047	2197	2111	2046	2290	2140	1957	2056	1944	2020	2053	1992	2147	2046	2088	2025	2165	2111	2024	2007	2157	2111	1963	1928	1178
GLN	13123	12930	12642	13123	13014	12287	13068	13085	12664	13219	13211	12323	12637	12886	12777	13123	12792	12703	13154	12886	12849	12686	13171	12837	13257	14030	13511	14105	13026	12272	11941	14510	12823
GLU	24073	24135	24328	24071	23983	24676	24571	24257	24614	24420	23906	25141	24308	23639	24639	23292	23185	24613	24074	23877	24729	24655	23894	24494	24491	23197	23990	22196	22979	22762	23663	20875	42066
GLY	15086	14323	14116	14926	14504	14439	14843	14858	14112	14909	14612	14384	15541	14969	14372	15223	15507	14453	14528	14955	14039	15027	15058	14523	14252	14307	13783	14300	15883	13524	11454	12238	11353
HIS	5155	4856	4920	4959	4976	4862	5023	4917	4736	5268	5108	4706	5031	4910	4848	5235	5144	4857	5161	5174	4849	5016	5017	4885	5128	5294	5167	5723	4856	4993	4849	5954	4215
ILE	15556	15595	15104	15885	15673	15351	15852	15611	15332	15792	15603	15219	15904	15488	15962	16334	15672	15484	15720	15831	14819	15778	15232	15234	16331	15470	15458	15810	15347	16862	18790	15119	14952
LEU	21395	21041	20699	21530	20857	20970	21495	21157	21061	21428	20658	20757	21194	20909	20876	21683	20643	20404	21232	20553	21050	21254	20943	20485	21384	22021	20961	22000	22005	23185	20831	20973	16545
LYS	24853	24530	24096	25091	24612	24496	25277	24215	24029	25025	24939	24198	25764	25200	24091	25405	25151	24210	26174	24443	24184	24451	25060	25000	25614	24898	24330	23614	23100	23308	25202	30943	27623
PHE	9159	9001	8828	9278	8994	8712	9115	8939	8932	9330	8931	8696	8435	8553	8799	9277	8961	8769	9024	8843	8660	8999	9010	8389	8552	9176	8772	9521	9494	10344	8720	9930	7107
PRO	11806	11404	11327	11694	11487	11451	11821	11797	11353	11810	11634	11439	12418	12461	11359	13450	12884	12381	14031	12604	11917	12602	11593	11849	12546	12304	13017	15222	12326	12571	10881	11392	8705
SER	20411	19924	19795	20608	20181	19644	20589	20440	19969	20697	20446	20250	20407	20384	19822	19572	20000	19777	20572	20234	19820	20914	20131	19535	20416	20251	20460	21219	20922	20769	19829	21989	14288
THR	15081	14595	14530	14605	14563	14647	14941	14740	14744	15112	15046	14647	14520	14432	14462	14874	14575	14388	15618	14917	14636	15347	14700	14808	15746	14601	15182	15935	15288	14606	18449	14552	13789
TRP	2287	2200	2039	2167	2070	2015	2064	2064	2090	2172	2078	2129	2289	2224	2013	2120	2030	2135	2232	2095	2117	2172	2232	2127	2243	2207	2047	2141	2122	2592	2122	1434	1750
TYR	7815	7725	7691	7848	7692	7443	7877	7622	7400	7932	7697	7420	7836	7586	7131	7650	7759	7817	7614	7865	7684	7693	7595	7302	7629	8073	7459	8309	7944	8480	7584	9880	6551
VAL	15445	15120	15453	15700	15369	15260	15611	15347	15149	15544	15359	15188	15323	15250	15365	15580	15095	15356	14996	15043	15121	15942	15366	15088	15429	14473	14863	15257	15074	14646	15777	10162	17974
TERM	364	321	298	292	246	316	268	277	298	260	307	289	585	600	300	292	258	236	197	211	272	200	202	215	186	183	198	170	192	172	146	191	215
MET	3873	3923	3709	3965	3844	3840	3957	3967	3803	4055	3810	3861	3827	3865	3869	4090	3826	3909	4022	3736	3709	3837	3809	3814	4081	3712	3780	3818	3575	3832	4948	3836	2964
