	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	149245	145175	143928	0.04609901955819716	0.0	34.04714975316415	-9	1.053442326376093	438348	139050	0.05023448177198206	0.05986974492594702
ARG	119164	116626	111808	0.06117106004757991	0.0	34.28213050708002	-18	1.040901614581585	347598	104922	0.03790508663415967	0.0629173004229653
ASN	138308	136167	132272	0.043290319296260954	0.0	34.00344686008747	-6	1.04473349336264	406747	185282	0.06693667926412354	0.04169178601804273
ASP	165296	161956	164131	0.01979488645885333	0.0	33.63893337783359	-9	1.0450706611170264	491383	164631	0.059476109087401495	0.056684965013964875
CYS	19195	18627	18375	0.05312730803513797	0.0	34.15662757798459	-18	1.073717113831727	56197	28831	0.01041575220401305	0.03701798691046222
GLN	117390	118005	114593	0.024828902681136345	1.0	33.71687029269575	-5	1.0700394051099529	349988	125289	0.04526305635907846	0.05305173391780734
GLU	217955	214073	221224	0.034383090818570834	2.0	33.86503217747516	-19	1.0228049397895347	653252	181071	0.06541537467770271	0.068515876775105
GLY	134335	133093	128221	0.04005081768230114	0.0	33.95307456862017	-18	1.0411955186660216	395649	139269	0.050313599726013444	0.05395292405067741
HIS	45976	45396	43830	0.043416788922769775	0.0	34.00541412109288	-21	1.0312336871411172	135202	57842	0.020896532863394362	0.044391435233424585
ILE	143152	140175	137963	0.041746963380308796	0.0	33.97944408839517	-15	1.0269224321001453	421290	195364	0.07057899530313917	0.04095396770907299
LEU	192595	188782	187263	0.0346649350110945	0.0	33.86940770962296	-15	1.0132506035982243	568640	254137	0.09181186978846605	0.04249412380501433
LYS	227654	223048	218634	0.043834769498044615	0.0	34.011916287186104	-12	1.034754495857749	669336	203945	0.0736790462782228	0.062329047942146165
PHE	81169	80408	78557	0.030291588598474535	0.0	33.80154413785637	-21	1.0345082482228436	240134	119894	0.043314009044013065	0.038037816330490595
PRO	112178	108168	106093	0.06642049370212184	0.0	34.36415379289852	-12	1.1257020093066377	326439	124274	0.04489636812464076	0.049886281526494686
SER	184186	181991	179072	0.028912818762466513	0.0	33.780162824691104	-9	1.0219343489733204	545249	247888	0.0895542985795979	0.04177329624163989
THR	135844	132169	132044	0.04024939270349418	0.0	33.9561612470223	-6	1.0432113306439739	400057	169566	0.061258972572081336	0.04480664951478854
TRP	19746	19200	18712	0.0589058662129045	0.0	34.246765409830374	-18	1.0432999088422972	57658	26090	0.009425513336433024	0.04197056990218422
TYR	69894	69614	67347	0.029475378404467546	0.0	33.78888593459186	-21	1.021375225341231	206855	96817	0.03497699979660544	0.04057642430102501
VAL	139570	136422	136843	0.030688183321087248	0.0	33.80769556844744	-9	1.0280002865945403	412835	149043	0.053844644852510046	0.05260466963649732
TERM	2644	2605	2422	0.0730244878123246	0.0	34.4674749054882	-18	1.9913010590015128	7671	5565	0.0020104630784687533	0.02617858604200679
MET	35707	34492	34294	0.05409196451628429	0.0	34.17166700161734	-15	1.0308903016215307	104493	49249	0.017792146657952854	0.04029481378024288
