	F0	F1	F2
0	65	52	58
1	0	0	0
2	101	102	101
3	171	169	188
4	55	41	44
5	26	30	32
6	5	3	1
7	10	22	17
8	33	34	26
9	5	7	8
10	62	48	35
11	87	92	87
12	36	40	43
13	1119	1148	1125
14	7	7	8
15	501	556	475
16	0	0	0
17	1	1	0
18	109	86	100
19	41	37	29
20	25	19	20
21	6	7	7
22	0	0	0
23	9	7	6
24	5	0	2
25	19	17	17
26	10	5	4
27	228	176	211
28	12	12	16
29	11	2	6
30	2	0	0
31	20	24	26
32	52	42	43
33	41	42	40
34	6	1	3
35	9	7	8
36	12	15	20
37	166	139	200
38	15	10	18
39	10	11	9
40	3	4	8
41	261	275	253
42	4	3	2
43	59	68	53
44	10	8	9
45	23	15	21
46	8	9	10
47	39	28	22
48	1	11	13
49	120	122	109
50	87	70	59
51	1	0	1
52	158	150	155
53	35	26	50
54	36	33	22
55	9	9	6
56	7	4	1
57	208	209	206
58	128	132	144
59	10	23	11
60	4	3	2
61	2	1	2
62	16	8	10
63	33	16	22
64	23	28	32
65	20	20	25
66	12	16	13
67	198	197	185
68	5	8	12
69	2	0	0
70	0	3	1
71	23	18	10
72	53	59	50
73	3	7	5
74	6	6	6
75	5	4	1
76	89	70	78
77	1	1	0
78	4	4	6
79	61	48	43
80	3	3	4
81	10	9	9
82	54	41	61
83	13	17	16
84	30	18	21
85	282	255	309
86	11	12	6
87	63	52	40
88	196	177	165
89	1	2	2
90	5	5	3
91	100	88	80
92	30	19	21
93	47	43	44
94	88	53	59
95	10	12	11
96	14	6	2
97	91	95	75
98	69	78	57
99	18	14	16
100	4	3	9
101	198	191	173
102	91	61	72
103	56	65	60
104	8	5	4
105	16	29	18
106	50	44	32
107	17	8	18
108	0	0	0
109	9	6	11
110	3	5	3
111	23	28	18
112	0	0	0
113	1	5	3
114	21	31	28
115	2	1	0
116	18	6	13
117	1	0	3
118	9	11	6
119	34	26	33
120	256	218	225
121	18	13	12
122	1	5	4
123	384	430	402
124	100	74	74
125	155	130	125
126	15	16	19
127	38	26	20
128	7	11	8
129	35	29	18
130	0	0	0
131	38	41	22
132	21	20	17
133	45	37	24
134	278	337	272
135	71	66	44
136	2	2	3
137	8	5	6
138	169	163	122
139	7	11	8
140	22	35	22
141	203	140	135
142	25	26	20
143	29	24	16
144	334	370	333
145	75	80	55
146	0	0	0
147	2	1	0
148	7	12	8
149	381	370	334
150	12	12	19
151	32	38	23
152	31	34	19
153	39	51	46
154	224	235	212
155	49	53	26
156	2	7	5
157	3	6	5
158	10	13	10
159	1	2	0
160	6	5	8
161	199	239	216
162	53	67	80
163	2	3	5
164	18	16	28
165	2	0	1
166	9	3	6
167	31	47	36
168	59	51	69
169	21	31	43
170	7	5	7
171	17	20	15
172	11	16	3
