	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	10619	10331	10083	10655	10092	9763	10597	10088	9766	10481	10056	9901	10813	10222	10069	10194	10209	9724	10425	10242	10123	11308	10226	10048	10895	9657	9738	10987	11177	8789	11571	7122	7586
ARG	8315	7973	7578	8157	8003	7606	8511	7797	7670	8515	7917	7841	8862	8575	7846	8776	8168	7751	8887	8198	7634	8287	8354	7950	8372	8185	7406	7717	7864	7407	8069	8961	5896
ASN	10081	9575	9336	9890	9594	9277	9835	9782	9395	10171	9580	9262	10155	9464	8895	10542	9926	9411	9612	9442	9487	9872	9777	9585	10230	9911	9578	10647	9106	9547	11334	13598	9270
ASP	11907	11322	11327	11704	11330	11449	11804	11405	11782	11690	11583	11579	11888	11400	11678	11625	11120	11476	11729	11575	11954	12507	11953	11766	11730	11167	11350	11416	11208	10662	11983	10174	16505
CYS	1404	1306	1270	1340	1341	1266	1300	1332	1283	1348	1347	1334	1477	1260	1218	1232	1190	1214	1258	1341	1371	1327	1341	1247	1341	1460	1254	1265	1372	1402	1230	1258	846
GLN	8519	8219	7992	8552	8238	7964	8672	8366	8161	8483	8505	7770	8200	8051	8128	8581	8306	8350	8645	8246	8352	8308	8504	8280	8930	8802	8453	9203	8327	7994	7890	8906	7821
GLU	15746	15376	15332	15809	15248	15334	15868	15197	15386	15519	14780	16117	15545	14841	15488	14825	14577	15459	15277	14843	15365	16060	15013	15505	15544	14269	14985	14400	14544	14124	15172	13106	27940
GLY	9536	8981	8832	9527	9195	8845	9549	9203	8757	9506	9181	8786	10037	9379	8887	9669	9594	8830	9164	9313	8757	9534	9312	8849	8848	8899	8257	8717	9778	7933	6614	7658	7081
HIS	3260	3148	2953	3330	3152	3190	3264	3101	3046	3365	3247	3031	3279	3112	3219	3495	3371	3238	3366	3336	3096	3233	3281	3206	3313	3525	3360	3764	3006	3291	2967	3639	2565
ILE	10240	9668	9514	10134	9864	9519	10147	9662	9425	10448	9800	9620	10230	10031	10234	10617	9946	9898	10215	10120	9590	10006	9700	9710	10152	9765	9801	10136	9592	10829	12428	9673	9120
LEU	13845	13465	12931	14019	13303	13367	14194	13305	13386	14230	13201	13154	13861	13294	13489	14371	13577	13332	14057	13133	13406	13681	13170	12916	14409	13817	13525	14302	14085	15137	13595	13298	10258
LYS	15803	15452	15090	16104	15396	15222	16055	15400	15201	16115	15497	14908	16732	16017	15315	16527	15773	15276	17123	15429	14924	16105	15650	15674	16594	15811	15255	15517	14414	14239	16636	19399	16884
PHE	5972	5555	5628	5973	5613	5612	5909	5495	5567	5921	5544	5610	5608	5522	5578	6098	5627	5617	5685	5501	5438	5828	5659	5301	5673	5882	5705	6281	6009	6671	5559	6296	4443
PRO	7614	7121	6904	7336	7078	7038	7412	7123	7060	7397	7202	6948	7781	7332	6597	8107	7534	7045	8482	7433	6965	7651	6841	6946	7594	7235	7308	8927	7157	7638	6810	6814	5452
SER	13223	12660	12662	13410	12483	12472	13492	12842	12613	13589	12882	12638	13214	12633	12151	12894	12328	12257	13034	12646	12474	13443	12710	12329	13215	13108	12901	13789	13422	13359	12910	13961	8534
THR	9596	9157	9132	9454	9169	9172	9630	9350	9093	9598	9416	8941	9344	8955	8955	9460	9171	8896	10084	9294	9261	9866	9145	9193	10503	9265	9360	10169	9466	9024	12007	9130	7578
TRP	1358	1365	1316	1316	1299	1244	1385	1287	1271	1407	1340	1386	1468	1424	1301	1341	1307	1367	1443	1362	1353	1399	1417	1369	1438	1454	1345	1271	1453	1462	1280	826	1163
TYR	5050	4985	4925	5238	4853	4756	4955	4932	4589	5185	4906	4640	4928	4765	4635	5023	4784	4838	4979	4967	4840	5019	4723	4623	4954	5163	4936	5402	5184	5393	4910	6313	4170
VAL	9932	9266	9689	10355	9866	9583	9842	9581	9387	9672	9565	9452	9383	9337	9377	9562	9207	9365	9695	9649	9238	10080	9439	9109	9728	8931	9421	9850	9381	9188	10103	6445	11756
TERM	202	190	168	132	131	183	148	136	160	153	186	168	315	283	187	142	144	124	120	120	140	113	114	115	90	91	108	104	86	106	95	115	147
MET	2560	2517	2313	2525	2510	2309	2584	2562	2334	2558	2441	2434	2577	2533	2492	2629	2563	2383	2567	2384	2286	2415	2429	2487	2607	2460	2337	2446	2349	2335	3282	2505	1725
