	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2
ALA	9418	9171	8676	9312	9170	8520	9498	8965	8569	9260	8874	8489	9569	8907	8868	9325	8985	8360	9432	9148	8727	10066	9148	8883	9870	8862	8519	9586	9713	7478	10143	6406	6831
ARG	7188	6765	6386	7249	6846	6460	7380	6744	6526	7506	6931	6670	7725	7152	6721	7602	7249	6592	7723	7094	6589	7115	7233	6782	7327	7023	6338	6818	6691	6180	6828	7658	5036
ASN	8747	8224	7770	8816	8395	7936	8572	8104	7666	8858	8032	7694	8763	8202	7441	8863	8533	7780	8372	8111	7725	8310	8379	8023	8962	8512	7845	9069	7769	8069	9637	10892	7944
ASP	10005	9512	9196	9908	9456	9216	9963	9259	9501	9896	9523	9404	10117	9632	9503	9672	9171	9259	9833	9607	9501	10448	9976	9429	9874	9313	9172	9326	8814	8226	9953	8039	11807
CYS	1189	1082	1079	1155	1120	1102	1176	1117	1028	1220	1134	1081	1215	1188	999	1166	1110	1163	1175	1220	1229	1162	1168	1041	1105	1170	1124	1156	1130	1125	1011	1024	622
GLN	7900	7425	7034	8222	7434	6902	7937	7395	7068	8047	7675	6844	7805	7268	7106	7954	7431	6916	7938	7310	7035	8018	7731	7043	8254	8124	7311	8564	7565	6964	7766	8611	7031
GLU	13284	12552	12383	13182	12691	12497	13230	12677	12209	13159	12791	12837	12949	12509	12598	12608	12360	12802	13357	12468	12553	13115	12354	12232	12824	11930	12158	11924	11742	11193	12387	10367	20551
GLY	8261	7882	7500	8200	7759	7514	8451	8101	7422	8322	7768	7564	8961	8264	7482	8510	8546	7764	8422	8261	7850	8679	8164	7464	7938	7915	7134	7789	8591	7148	6311	6474	5771
HIS	3007	2760	2597	2965	2797	2689	2870	2696	2612	3123	2840	2629	2938	2685	2638	3160	2823	2591	2934	2743	2627	2928	2825	2658	2928	3007	2744	3411	2672	2935	2887	3716	2439
ILE	8488	8122	7744	8564	8247	7728	8671	8204	7815	8677	8275	7800	8620	8032	8236	8979	8139	7836	8509	8167	7635	8630	7974	7808	8953	8166	8101	8765	8281	9078	10785	8156	8302
LEU	12066	11195	10651	11970	11103	10720	12133	11433	10995	11832	11160	10613	11877	11239	10994	11987	11005	10611	11822	11378	10698	11875	11145	10491	11883	11659	10772	12039	12217	12372	11658	11270	8489
LYS	13660	12989	12600	13744	13083	12263	13765	13071	12403	13855	13077	12480	14058	13379	12481	14014	13347	12456	14416	12801	12325	13456	13141	12597	13976	12988	12533	13266	12364	11668	13615	15413	14114
PHE	5153	4897	4680	5254	4761	4661	5196	4871	4721	5161	4881	4573	4700	4656	4562	5186	4810	4732	4784	4793	4605	5086	4890	4415	4868	5111	4653	5415	5224	5700	5172	5388	3589
PRO	7119	6584	6235	7111	6606	6210	7111	6718	6081	6981	6450	6212	7357	6949	5963	7874	6973	6302	8004	6953	6389	7571	6617	6458	7646	6771	6784	8938	6820	7013	7284	7692	5637
SER	11975	11457	10653	11956	11477	10884	11907	11348	10840	12096	11497	10948	11994	11416	10549	11584	11227	10636	11681	11368	10720	12167	11357	11042	12043	11711	11099	12458	12068	11341	11655	12714	8190
THR	8635	8203	7948	8497	8080	7844	8653	8317	8077	8585	8349	7922	8396	7986	7785	8571	7975	7676	8688	8118	7842	8723	8299	8244	9256	8289	8048	9047	8715	7927	10626	8858	8783
TRP	1152	1122	991	1165	1063	985	1149	1111	1119	1222	1167	1099	1270	1135	1037	1177	1181	1129	1310	1190	1142	1173	1182	1174	1180	1121	1072	1139	1227	1251	1109	755	887
TYR	4287	4124	4054	4538	4155	4004	4392	4222	3777	4348	4146	3796	4342	4114	3828	4369	4185	4025	4161	4161	3918	4240	4077	3949	4372	4432	4110	4851	4480	4621	4303	5418	3436
VAL	8742	8236	8004	8749	8308	8124	8741	8404	8092	8727	8385	8149	8544	8336	8097	8673	8321	8363	8908	8675	8133	9019	8098	7741	8613	7778	8133	8530	8061	7601	8579	5446	8872
TERM	218	200	173	159	167	158	156	166	168	176	186	157	296	317	189	175	159	139	148	122	135	103	118	111	115	107	134	132	107	119	92	93	142
MET	2169	2123	1827	2145	2084	1991	2110	2091	1954	2259	2065	1861	2112	2151	1998	2218	2020	2058	2201	2017	2003	2119	2019	1947	2192	2064	1929	2127	1962	1856	2680	1995	1569
