	F0	F1	F2
0	14	7	19
1	0	0	0
2	28	34	46
3	102	114	89
4	26	22	33
5	26	17	21
6	8	0	3
7	7	9	8
8	15	28	21
9	4	0	0
10	20	27	9
11	43	47	51
12	41	27	22
13	377	388	467
14	3	1	3
15	307	338	267
16	0	0	0
17	0	2	2
18	32	32	25
19	32	22	27
20	15	13	13
21	4	5	4
22	0	0	0
23	5	0	2
24	3	0	2
25	7	11	6
26	2	5	5
27	75	50	64
28	8	11	4
29	6	2	4
30	0	1	0
31	14	9	10
32	20	15	17
33	11	20	9
34	2	2	1
35	2	5	7
36	5	12	8
37	60	57	66
38	10	10	8
39	5	10	8
40	5	1	2
41	77	87	83
42	3	3	5
43	22	33	29
44	1	0	2
45	7	4	9
46	4	5	5
47	13	17	12
48	3	2	3
49	55	50	46
50	37	43	23
51	1	1	0
52	86	76	72
53	9	15	16
54	11	18	9
55	2	5	3
56	0	0	2
57	79	72	55
58	52	43	45
59	7	10	3
60	2	3	2
61	2	1	0
62	6	7	4
63	12	11	11
64	10	10	14
65	13	11	8
66	9	11	9
67	120	109	113
68	4	6	4
69	1	3	3
70	1	1	2
71	5	6	13
72	28	17	20
73	0	1	1
74	2	9	3
75	0	2	1
76	66	48	47
77	2	0	1
78	3	5	0
79	21	17	13
80	2	2	2
81	4	8	6
82	27	20	16
83	4	3	7
84	16	17	16
85	102	151	124
86	4	4	9
87	27	30	26
88	80	76	65
89	1	1	1
90	2	1	0
91	39	28	24
92	19	18	7
93	16	19	19
94	28	23	21
95	5	7	8
96	9	5	7
97	30	43	26
98	20	20	17
99	13	11	8
100	4	10	4
101	72	85	71
102	33	23	38
103	35	29	29
104	4	3	3
105	8	11	7
106	19	18	14
107	2	4	7
108	0	0	0
109	3	0	2
110	2	0	3
111	8	7	3
112	0	1	0
113	1	0	1
114	10	11	9
115	0	0	0
116	5	9	8
117	0	0	1
118	8	6	5
119	5	6	12
120	98	86	82
121	3	3	5
122	2	0	0
123	288	285	298
124	49	43	38
125	91	80	120
126	8	10	12
127	29	19	21
128	5	2	2
129	13	24	12
130	1	0	0
131	20	21	13
132	7	4	6
133	26	11	14
134	138	138	119
135	16	21	26
136	0	1	1
137	5	4	4
138	81	72	72
139	5	5	7
140	4	9	8
141	135	122	96
142	4	6	6
143	8	6	8
144	118	116	147
145	24	34	20
146	0	0	0
147	0	0	1
148	1	2	5
149	116	145	91
150	7	1	7
151	14	12	10
152	11	8	6
153	33	20	23
154	89	94	70
155	18	19	14
156	3	1	1
157	2	2	2
158	4	2	7
159	1	0	1
160	3	0	1
161	128	106	117
162	23	24	37
163	0	3	1
164	12	8	6
165	0	1	0
166	0	0	4
167	8	14	5
168	29	24	39
169	20	17	11
170	0	3	4
171	7	8	15
172	7	8	7
173	35	33	30
174	108	87	131
175	1	1	2
176	11	12	8
177	2	4	1
178	0	0	0
179	9	7	2
180	0	0	0
181	3	2	1
182	11	7	6
183	2	4	2
184	0	1	1
185	17	8	7
186	7	8	18
187	9	6	9
188	0	0	0
189	5	1	5
190	13	3	5
191	3	3	0
192	0	1	0
193	73	61	44
194	1	3	2
195	0	3	0
196	0	0	1
197	0	0	0
198	2	7	5
199	8	18	11
200	0	0	1
201	84	50	57
202	0	1	1
203	54	39	44
204	54	59	49
205	2	3	6
206	13	13	8
207	0	0	0
208	19	20	11
209	11	6	3
210	3	5	3
211	2	3	1
212	8	5	3
213	49	30	57
214	31	29	22
215	1	1	0
216	29	31	20
217	1	1	0
218	9	12	8
219	21	23	15
220	5	7	5
221	177	203	203
222	32	18	25
223	6	4	3
224	32	31	24
225	323	281	273
226	1	4	3
227	22	17	23
228	5	12	7
229	11	1	6
230	8	4	9
231	0	0	0
232	10	10	9
233	1	1	0
234	0	0	0
235	15	15	11
236	21	24	10
237	34	25	31
238	11	9	14
239	1	0	1
240	16	8	10
241	11	8	10
242	4	7	7
243	0	0	0
244	1	0	1
245	0	0	0
246	2	0	1
247	34	25	21
248	14	5	7
249	0	2	0
250	12	7	6
251	22	19	21
252	32	11	9
253	3	5	5
254	9	4	3
255	50	53	65
256	0	0	0
257	25	13	9
258	29	30	26
259	12	19	3
260	9	14	5
261	11	9	5
262	8	13	8
263	5	3	1
264	16	26	25
265	6	7	4
266	9	12	6
267	18	19	11
268	11	7	17
269	3	1	2
270	8	3	0
271	0	0	1
272	19	16	7
273	6	4	1
274	3	6	4
275	0	1	0
276	0	0	2
277	85	67	86
278	223	210	232
279	127	122	90
280	0	3	1
281	14	14	13
282	54	53	46
283	24	43	34
284	14	20	17
285	124	140	134
286	40	38	42
287	37	43	54
288	17	10	4
289	54	44	35
290	3	4	1
291	2	1	1
292	5	5	4
293	2	0	0
294	1	2	1
295	112	120	97
296	14	10	12
297	48	64	36
298	108	116	124
299	29	19	19
300	4	2	2
301	10	9	7
302	12	5	2
303	0	0	0
304	43	58	41
305	43	28	38
306	15	16	11
307	9	5	5
308	0	2	4
309	5	1	3
310	11	17	11
311	75	57	56
312	140	128	117
313	473	462	492
314	14	18	15
315	7	9	5
316	6	7	4
317	13	37	16
318	0	4	2
319	5	6	10
320	23	20	14
321	20	13	7
322	0	0	0
323	7	9	9
324	0	1	2
325	10	12	9
326	4	6	4
327	51	49	42
328	6	6	7
329	3	6	2
330	7	3	8
331	8	17	6
332	0	0	0
333	3	3	2
334	0	1	2
335	21	14	13
336	9	8	13
337	9	4	11
338	20	22	20
339	1	0	1
340	5	4	3
341	31	24	21
342	4	8	7
343	123	94	62
344	7	3	7
345	3	8	4
346	4	6	4
347	1	2	2
348	12	11	6
349	26	23	20
350	20	19	11
351	664	647	939
352	3	7	5
353	4	0	2
354	2	1	1
355	4	6	8
356	3	8	4
357	79	65	37
358	0	1	2
359	0	0	0
360	0	0	0
361	0	3	0
362	59	54	42
363	3	1	3
364	21	17	16
365	13	25	15
366	0	1	0
367	23	28	18
368	4	1	2
369	2	7	0
370	5	8	2
371	2	0	3
372	1	0	0
373	2	3	4
374	103	104	97
375	0	0	0
376	1	0	3
377	1	1	3
378	0	1	3
379	42	16	15
380	29	24	29
381	0	0	1
382	53	71	50
383	182	149	170
384	0	1	0
385	0	0	0
386	1	7	3
387	55	42	53
388	52	74	56
389	4	4	6
390	82	46	58
391	80	73	103
392	2	0	6
393	27	31	36
394	38	34	61
395	52	46	39
396	0	0	0
397	2	2	3
398	74	76	82
399	448	437	456
400	0	0	0
401	2	3	5
402	46	48	39
403	4	4	1
404	17	7	10
405	8	7	12
406	2	9	2
407	8	6	4
408	205	181	179
409	43	60	64
410	11	18	5
411	35	36	25
412	1	3	2
413	0	0	0
414	10	7	7
415	1	1	0
416	1	0	0
417	9	6	14
418	21	22	24
419	2	2	2
420	2	2	0
421	8	7	11
422	9	4	5
423	5	11	8
424	0	1	1
425	2	2	2
426	2	5	2
427	6	6	10
428	1	0	1
429	28	14	25
430	92	71	71
431	218	227	223
432	7	12	5
433	13	10	6
434	0	0	0
435	8	5	9
436	21	19	19
437	26	31	12
438	0	0	0
439	3	1	3
440	8	6	6
441	4	0	1
442	21	12	21
443	3	0	2
444	1	0	0
445	7	6	2
446	19	12	12
447	41	27	28
448	6	13	8
449	0	0	0
450	16	17	16
451	6	3	4
452	27	32	26
453	3	3	3
454	17	17	11
455	1	1	0
456	3	8	3
457	78	73	72
458	3	2	0
459	2	2	3
460	0	0	0
461	0	0	0
462	58	64	47
463	18	21	20
464	456	485	490
465	9	6	4
466	19	32	33
467	92	77	75
468	1	0	1
469	3	4	4
470	3	4	0
471	58	62	58
472	102	96	93
473	7	8	9
474	0	0	0
475	10	6	6
476	1	1	1
477	28	22	14
478	5	2	2
479	5	3	1
480	0	0	0
481	0	4	0
482	21	21	19
483	2	4	1
484	0	3	2
485	32	27	15
486	28	16	13
487	1	0	1
488	5	1	9
489	37	28	24
490	1	1	0
491	11	6	4
492	43	37	24
493	6	1	3
494	46	50	49
495	22	20	27
496	3	1	1
497	2	2	3
498	12	8	4
499	0	4	1
500	16	7	6
501	2	2	4
502	16	16	21
503	17	14	8
504	2	9	6
505	8	4	6
506	1	1	1
507	106	78	64
508	0	0	1
509	0	0	0
510	13	11	11
511	4	2	4
512	2	0	1
513	20	9	8
514	73	57	45
515	2	3	1
516	2	3	2
517	4	19	9
518	6	4	4
519	8	2	7
520	6	2	2
521	9	4	7
522	0	0	0
523	63	56	49
524	37	36	22
525	6	9	2
526	24	30	29
527	6	7	6
528	2	2	2
529	0	0	0
530	1	0	0
531	3	0	0
532	78	81	60
533	4	2	5
534	35	44	37
535	1	0	0
536	0	3	3
537	22	24	10
538	2	0	2
539	6	4	3
540	5	3	6
541	9	1	4
542	0	0	1
543	0	0	2
544	27	22	30
545	0	2	4
546	1	1	2
547	4	4	12
548	0	1	0
549	20	28	15
550	16	12	4
551	5	2	2
552	25	17	22
553	82	64	63
554	5	8	2
555	2	7	4
556	0	0	0
557	7	7	5
558	2	3	3
559	0	0	0
560	2	5	4
561	7	1	2
562	5	3	5
563	1	3	4
564	11	5	7
565	28	22	25
566	9	8	8
567	4	6	4
568	13	18	16
569	219	216	189
570	7	7	2
571	0	0	0
572	42	47	58
573	0	0	0
574	0	0	0
575	42	37	33
576	0	0	1
577	7	4	5
578	3	1	1
579	0	0	0
580	16	14	9
581	15	16	20
582	0	0	0
583	6	5	4
584	4	4	3
585	81	58	54
586	4	1	2
587	53	47	43
588	11	3	6
589	0	0	0
590	2	2	1
591	4	0	3
592	23	14	14
593	18	18	6
594	23	25	14
595	0	0	0
596	11	12	12
597	234	226	241
598	67	52	68
599	62	61	63
600	6	11	9
601	4	4	1
602	2	3	1
603	11	16	14
604	225	198	177
605	16	11	9
606	80	85	90
607	9	8	4
608	0	0	0
609	597	581	526
610	21	20	25
611	58	66	60
612	0	0	0
613	0	0	0
614	17	20	9
615	6	1	1
616	3	7	6
617	13	6	8
618	12	8	8
619	20	13	18
620	6	4	5
621	10	9	7
622	1	3	1
623	12	4	5
624	5	9	3
625	30	28	26
626	2	0	1
627	20	17	22
628	9	7	10
629	5	8	3
630	8	8	2
631	11	16	15
632	27	22	22
633	2	0	1
634	16	18	12
635	0	0	0
636	0	1	1
637	0	0	0
638	207	193	219
639	31	33	33
640	26	30	24
641	3	5	1
642	126	95	76
643	5	7	5
644	130	116	109
645	5	2	3
646	4	5	3
647	14	27	15
648	21	23	15
649	20	16	12
650	5	6	3
651	0	0	0
652	10	9	6
653	0	2	1
654	77	72	57
655	0	0	2
656	25	22	16
657	5	4	1
658	129	108	82
659	29	27	28
660	55	34	38
661	45	45	47
662	1	1	2
663	0	0	0
664	5	4	3
665	8	7	5
666	22	25	15
667	15	9	11
668	6	11	10
669	2	2	2
670	1	0	3
671	11	14	11
672	1	1	1
673	15	15	7
674	8	9	16
675	2	0	1
676	0	0	0
677	69	56	50
678	0	0	2
679	13	18	14
680	4	15	9
681	13	18	20
682	10	1	11
683	40	43	48
684	10	7	6
685	0	0	4
686	0	0	0
