cds_id	sc5314_fluc_rep01	sc5314_fluc_rep02	sc5314_fluc_rep03	sc5314_ut_rep01	sc5314_ut_rep02	sc5314_ut_rep03
XP_719073.1	156	143	124	197	91	52
XP_719072.1	4	1	1	1	1	0
XP_719071.2	65	37	52	90	40	31
XP_719068.2	615	307	409	562	322	351
XP_019330598.1	148	109	106	147	74	104
XP_719061.1	106	73	76	78	30	58
XP_719062.1	21	14	23	5	8	8
XP_719059.1	98	72	73	63	42	60
XP_719058.1	117	100	92	91	57	80
XP_719055.1	21	17	23	18	11	5
XP_719053.1	145	90	109	141	60	68
XP_719052.1	313	252	246	273	174	156
XP_719051.1	184	126	137	126	80	96
XP_719050.1	4644	3206	3341	4697	1708	1553
XP_719048.1	25	21	13	24	10	8
XP_719047.1	1917	1808	1805	1747	1224	1019
XP_719046.1	2	3	1	0	1	0
XP_719045.1	2	1	1	3	2	5
XP_719044.2	266	252	206	297	146	89
XP_719043.1	105	78	94	112	55	86
XP_719042.1	79	79	67	73	45	50
XP_719041.2	18	22	12	20	11	13
XP_019330599.1	0	0	0	0	0	0
XP_719040.2	25	22	13	24	21	9
XP_719039.1	15	9	17	15	4	5
XP_719038.1	52	49	36	54	27	28
XP_719037.2	26	17	22	21	15	14
XP_719036.1	698	588	471	627	323	196
XP_719035.1	34	30	21	44	25	24
XP_719034.1	15	9	13	19	5	12
XP_019330600.1	1	3	4	2	1	1
XP_719033.1	101	93	89	73	44	34
XP_719032.1	135	104	106	140	75	54
XP_719030.1	82	154	139	125	72	40
XP_719028.2	18	13	12	10	8	5
XP_719027.1	21	22	24	26	15	15
XP_719026.2	46	32	24	48	22	26
XP_019330601.1	543	435	352	506	236	184
XP_019330602.1	49	35	33	50	19	30
XP_719024.1	73	39	58	58	28	36
XP_719023.1	31	26	18	17	13	9
XP_719022.1	711	657	559	822	354	259
XP_719021.1	25	14	11	12	7	11
XP_719020.1	177	100	158	180	74	84
XP_719019.1	32	23	23	28	13	6
XP_719018.1	72	65	50	71	29	30
XP_719017.1	41	26	23	27	18	14
XP_719016.2	118	69	72	96	56	44
XP_719015.2	24	14	19	28	8	10
XP_719014.1	418	277	290	368	186	159
XP_719011.2	251	205	181	219	129	107
XP_719010.1	11	4	6	4	6	4
XP_719009.1	508	394	457	506	244	265
XP_719008.2	84	67	90	111	58	40
XP_719007.1	86	75	70	93	53	42
XP_719006.1	32	23	25	28	9	17
XP_719005.1	6	2	5	12	2	2
XP_719003.2	596	527	515	633	314	212
XP_719002.1	368	244	292	415	175	141
XP_719001.1	57	41	36	43	22	23
