	count	F	f_count	f_perc	fpi
0	0	0	0		
1	0	0	0		
2	0	0	0		
3	0	0	0		
4	0	0	0		
5	0	0	0		
6	0	0	0		
7	0	0	0		
8	0	0	0		
9	0	0	0		
10	0	0	0		
11	1	2	1	100.0	1.0
12	3	2	2	66.66666666666666	2.0
13	3	0	2	66.66666666666666	2.0
14	6	1	5	83.33333333333334	3.321928094887362
15	0	0	0		
16	11	1	8	72.72727272727273	2.415037499278844
17	13	1	7	53.84615384615385	1.222392421336448
18	0	0	0		
19	27	1	12	44.44444444444444	0.6780719051126377
20	5	2	3	60.0	1.584962500721156
21	1	2	1	100.0	1.0
22	21	1	9	42.857142857142854	0.5849625007211562
23	7	0	4	57.14285714285714	1.4150374992788437
24	4	1	3	75.0	2.584962500721156
25	9	0	4	44.44444444444444	0.6780719051126377
26	0	0	0		
27	18	0	7	38.88888888888889	0.3479233034203068
28	1	1	1	100.0	1.0
29	0	0	0		
30	3	0	2	66.66666666666666	2.0
31	29	0	11	37.93103448275862	0.28950661719498505
32	44	0	17	38.63636363636363	0.3325753390868709
33	0	0	0		
34	84	1	32	38.095238095238095	0.29956028185890793
35	59	1	25	42.3728813559322	0.5563933485243854
36	36	1	19	52.77777777777778	1.1604646721932461
37	18	0	7	38.88888888888889	0.3479233034203068
38	203	2	80	39.40886699507389	0.3794135895481225
39	0	0	0		
40	0	0	0		
41	1	2	1	100.0	1.0
42	105	1	44	41.904761904761905	0.5286942810744111
43	596	1	232	38.92617449664429	0.35018635492887573
44	0	0	0		
45	21	1	13	61.904761904761905	1.7004397181410922
46	7	2	5	71.42857142857143	2.321928094887362
47	19	1	10	52.63157894736842	1.15200309344505
48	7	1	5	71.42857142857143	2.321928094887362
49	0	0	0		
50	20	1	8	40.0	0.4150374992788437
51	3	0	3	100.0	2.584962500721156
52	73	1	30	41.0958904109589	0.4806258409064207
53	2	1	2	100.0	2.0
54	6	1	5	83.33333333333334	3.321928094887362
55	13	0	6	46.15384615384615	0.777607578663552
56	32	1	13	40.625	0.4525122046975067
57	135	1	62	45.925925925925924	0.7643717515068579
58	45	1	25	55.55555555555556	1.3219280948873624
59	41	1	18	43.90243902439025	0.6463630453852995
60	18	1	8	44.44444444444444	0.6780719051126377
61	42	2	18	42.857142857142854	0.5849625007211562
62	13	2	5	38.46153846153847	0.32192809488736235
63	1	2	1	100.0	1.0
64	96	1	45	46.875	0.819427754358179
65	0	0	0		
66	46	1	23	50.0	1.0
67	0	0	0		
68	0	0	0		
69	23	2	9	39.130434782608695	0.3625700793847084
70	17	0	7	41.17647058823529	0.48542682717024166
71	14	1	6	42.857142857142854	0.5849625007211562
72	42	1	22	52.38095238095239	1.1375035237499351
73	46	1	16	34.78260869565217	0.09310940439148147
74	50	1	22	44.0	0.6520766965796931
75	3	0	2	66.66666666666666	2.0
76	17	1	10	58.82352941176471	1.5145731728297582
77	8	0	4	50.0	1.0
78	17	2	9	52.94117647058824	1.1699250014423124
79	312	1	121	38.782051282051285	0.3414344092388457
80	0	0	0		
81	853	1	344	40.328253223915596	0.4347429086264026
82	14	1	6	42.857142857142854	0.5849625007211562
83	28	1	13	46.42857142857143	0.7935491225325737
84	34	2	14	41.17647058823529	0.48542682717024166
85	18	2	8	44.44444444444444	0.6780719051126377
86	29	1	14	48.275862068965516	0.9004643264490856
87	18	0	8	44.44444444444444	0.6780719051126377
88	14	1	7	50.0	1.0
89	79	0	29	36.708860759493675	0.21412480535284734
90	19	2	8	42.10526315789473	0.5405683813627027
91	7	0	3	42.857142857142854	0.5849625007211562
92	6	0	3	50.0	1.0
93	0	0	0		
94	0	0	0		
95	0	0	0		
96	7	1	4	57.14285714285714	1.4150374992788437
97	2	0	2	100.0	2.0
