	count	F	f_count	f_perc	fpi
0	4	0	2	50.0	1.0
1	7	0	5	71.42857142857143	2.321928094887362
2	387	2	156	40.310077519379846	0.4336531774461908
3	319	0	115	36.05015673981191	0.17306470897287962
4	95	1	35	36.84210526315789	0.22239242133644802
5	66	2	28	42.42424242424242	0.5594274086140185
6	9	0	4	44.44444444444444	0.6780719051126377
7	81	1	40	49.382716049382715	0.9643760902692786
8	92	2	35	38.04347826086957	0.29639300278022485
9	25	2	12	48.0	0.8845227825800641
10	115	0	56	48.69565217391305	0.9247118726957628
11	211	0	78	36.96682464454976	0.23011978336105865
12	109	0	48	44.03669724770643	0.6542251631582698
13	2277	2	852	37.417654808959156	0.25796341628637187
14	10	1	5	50.0	1.0
15	1325	1	506	38.18867924528302	0.3052739330533016
16	0	0	0		
17	4	0	3	75.0	2.584962500721156
18	185	1	66	35.67567567567568	0.14957635605051
19	111	0	43	38.73873873873874	0.3388019134517585
20	59	0	26	44.06779661016949	0.6560455987826386
21	52	2	18	34.61538461538461	0.08246216019197297
22	0	0	0		
23	64	1	27	42.1875	0.5454341365345188
24	6	0	4	66.66666666666666	2.0
25	60	2	21	35.0	0.1069152039165119
26	16	2	8	50.0	1.0
27	485	1	167	34.43298969072165	0.07082133718969685
28	23	1	11	47.82608695652174	0.874469117916141
29	13	1	8	61.53846153846154	1.6780719051126378
30	2	0	1	50.0	1.0
31	89	1	34	38.20224719101123	0.30610312772567977
32	42	1	15	35.714285714285715	0.15200309344505006
33	125	2	46	36.8	0.21978120787990993
34	15	0	7	46.666666666666664	0.8073549220576041
35	25	1	11	44.0	0.6520766965796931
36	38	1	14	36.84210526315789	0.22239242133644802
37	449	2	174	38.75278396436526	0.33965568743670627
38	28	0	10	35.714285714285715	0.15200309344505006
39	16	0	9	56.25	1.3625700793847084
40	28	2	13	46.42857142857143	0.7935491225325737
41	686	1	248	36.15160349854227	0.17940925078570172
42	9	1	4	44.44444444444444	0.6780719051126377
43	298	1	121	40.604026845637584	0.45125768719159715
44	18	2	8	44.44444444444444	0.6780719051126377
45	50	1	19	38.0	0.29373120305671035
46	38	2	15	39.473684210526315	0.38332863955150565
47	75	0	31	41.333333333333336	0.49476469174957804
48	14	1	10	71.42857142857143	2.321928094887362
49	219	2	77	35.15981735159817	0.11703942119021946
50	301	0	122	40.53156146179402	0.4469215602986297
51	3	0	1	33.33333333333333	0.0
52	472	2	171	36.228813559322035	0.18423283812619567
53	84	1	32	38.095238095238095	0.29956028185890793
54	103	2	42	40.77669902912621	0.461580085215874
55	20	0	8	40.0	0.4150374992788437
56	6	1	3	50.0	1.0
57	596	0	214	35.90604026845637	0.16403815836539823
58	213	2	80	37.558685446009385	0.2666456593861727
59	41	2	15	36.58536585365854	0.20645087746742624
60	29	1	11	37.93103448275862	0.28950661719498505
61	2	0	1	50.0	1.0
62	32	2	12	37.5	0.2630344058337938
63	66	0	30	45.45454545454545	0.7369655941662062
64	54	0	25	46.2962962962963	0.7858751946471525
65	39	1	18	46.15384615384615	0.777607578663552
66	52	2	19	36.53846153846153	0.20353339408513216
67	215	0	75	34.883720930232556	0.09953567355091437
68	20	2	8	40.0	0.4150374992788437
69	6	2	3	50.0	1.0
70	0	0	0		
71	53	0	26	49.056603773584904	0.9455522159776235
72	361	0	127	35.18005540166205	0.11831996718876121
73	12	1	7	58.333333333333336	1.4854268271702415
74	27	1	10	37.03703703703704	0.23446525363702297
75	8	1	4	50.0	1.0
76	160	0	57	35.625	0.14638948698152324
77	1	0	1	100.0	1.0
78	11	1	6	54.54545454545454	1.263034405833794
79	63	0	24	38.095238095238095	0.29956028185890793
80	7	0	4	57.14285714285714	1.4150374992788437
81	49	2	18	36.734693877551024	0.21572869105543724
82	96	1	34	35.41666666666667	0.1332665308634641
83	42	1	17	40.476190476190474	0.44360665147561484
84	61	1	24	39.34426229508197	0.37550913509220646
85	765	0	269	35.16339869281046	0.11726605216974897
86	23	2	10	43.47826086956522	0.6214883767462702
87	142	0	49	34.50704225352113	0.07555103300717676
