	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713980.1	XM_713980.1	155	157	67.0	28.0
1	rna-XM_713980.1	XM_713980.1	156	156	58.0	28.0
2	rna-XM_713980.1	XM_713980.1	184	128	41.0	28.0
3	rna-XM_713980.1	XM_713980.1	224	88	37.0	28.0
4	rna-XM_713980.1	XM_713980.1	232	80	39.0	28.0
5	rna-XM_713980.1	XM_713980.1	233	79	42.0	28.0
6	rna-XM_713978.2	XM_713978.2	246	522	41.0	28.0
7	rna-XM_713978.2	XM_713978.2	247	521	98.0	28.0
8	rna-XM_713978.2	XM_713978.2	249	519	62.0	28.0
9	rna-XM_713978.2	XM_713978.2	302	466	48.0	28.0
10	rna-XM_713978.2	XM_713978.2	303	465	43.0	28.0
11	rna-XM_713978.2	XM_713978.2	334	434	38.0	28.0
12	rna-XM_713975.2	XM_713975.2	73	1466	92.0	28.0
13	rna-XM_713975.2	XM_713975.2	122	1417	29.0	28.0
14	rna-XM_713975.2	XM_713975.2	186	1353	41.0	28.0
15	rna-XM_713975.2	XM_713975.2	187	1352	35.0	28.0
16	rna-XM_713975.2	XM_713975.2	210	1329	32.0	28.0
17	rna-XM_713968.1	XM_713968.1	158	694	30.0	28.0
18	rna-XM_713968.1	XM_713968.1	161	691	99.0	28.0
19	rna-XM_713968.1	XM_713968.1	191	661	38.0	28.0
20	rna-XM_713968.1	XM_713968.1	343	509	30.0	28.0
21	rna-XM_713968.1	XM_713968.1	379	473	49.0	28.0
22	rna-XM_713968.1	XM_713968.1	597	255	29.0	28.0
23	rna-XM_713966.1	XM_713966.1	505	224	33.0	28.0
24	rna-XM_713965.1	XM_713965.1	1489	134	82.0	28.0
25	rna-XM_713962.1	XM_713962.1	8	673	33.0	28.0
26	rna-XM_713960.1	XM_713960.1	352	1748	73.0	28.0
27	rna-XM_713960.1	XM_713960.1	2094	6	33.0	28.0
28	rna-XM_713958.1	XM_713958.1	1620	249	50.0	28.0
29	rna-XM_713957.1	XM_713957.1	0	1203	255.0	28.0
30	rna-XM_713957.1	XM_713957.1	1	1202	77.0	28.0
31	rna-XM_713957.1	XM_713957.1	7	1196	38.0	28.0
32	rna-XM_713957.1	XM_713957.1	8	1195	40.0	28.0
33	rna-XM_713957.1	XM_713957.1	19	1184	79.0	28.0
34	rna-XM_713957.1	XM_713957.1	20	1183	51.0	28.0
35	rna-XM_713957.1	XM_713957.1	28	1175	57.0	28.0
36	rna-XM_713957.1	XM_713957.1	30	1173	59.0	28.0
37	rna-XM_713957.1	XM_713957.1	31	1172	31.0	28.0
38	rna-XM_713957.1	XM_713957.1	34	1169	42.0	28.0
39	rna-XM_713957.1	XM_713957.1	40	1163	60.0	28.0
40	rna-XM_713957.1	XM_713957.1	43	1160	65.0	28.0
41	rna-XM_713957.1	XM_713957.1	47	1156	58.0	28.0
42	rna-XM_713957.1	XM_713957.1	50	1153	32.0	28.0
43	rna-XM_713957.1	XM_713957.1	52	1151	40.0	28.0
44	rna-XM_713957.1	XM_713957.1	53	1150	88.0	28.0
45	rna-XM_713957.1	XM_713957.1	54	1149	88.0	28.0
46	rna-XM_713957.1	XM_713957.1	55	1148	348.0	28.0
47	rna-XM_713957.1	XM_713957.1	57	1146	30.0	28.0
48	rna-XM_713957.1	XM_713957.1	64	1139	46.0	28.0
49	rna-XM_713957.1	XM_713957.1	67	1136	31.0	28.0
50	rna-XM_713957.1	XM_713957.1	73	1130	31.0	28.0
51	rna-XM_713957.1	XM_713957.1	76	1127	34.0	28.0
52	rna-XM_713957.1	XM_713957.1	77	1126	32.0	28.0
53	rna-XM_713957.1	XM_713957.1	79	1124	31.0	28.0
54	rna-XM_713957.1	XM_713957.1	85	1118	29.0	28.0
55	rna-XM_713957.1	XM_713957.1	88	1115	45.0	28.0
56	rna-XM_713957.1	XM_713957.1	89	1114	46.0	28.0
57	rna-XM_713957.1	XM_713957.1	90	1113	37.0	28.0
58	rna-XM_713957.1	XM_713957.1	91	1112	64.0	28.0
59	rna-XM_713957.1	XM_713957.1	92	1111	55.0	28.0
60	rna-XM_713957.1	XM_713957.1	94	1109	90.0	28.0
61	rna-XM_713957.1	XM_713957.1	96	1107	34.0	28.0
62	rna-XM_713957.1	XM_713957.1	97	1106	51.0	28.0
63	rna-XM_713957.1	XM_713957.1	99	1104	39.0	28.0
64	rna-XM_713957.1	XM_713957.1	100	1103	71.0	28.0
65	rna-XM_713957.1	XM_713957.1	102	1101	46.0	28.0
66	rna-XM_713957.1	XM_713957.1	103	1100	87.0	28.0
67	rna-XM_713957.1	XM_713957.1	105	1098	44.0	28.0
68	rna-XM_713957.1	XM_713957.1	106	1097	77.0	28.0
69	rna-XM_713957.1	XM_713957.1	109	1094	48.0	28.0
70	rna-XM_713957.1	XM_713957.1	111	1092	38.0	28.0
71	rna-XM_713957.1	XM_713957.1	112	1091	67.0	28.0
72	rna-XM_713957.1	XM_713957.1	114	1089	31.0	28.0
73	rna-XM_713957.1	XM_713957.1	115	1088	68.0	28.0
74	rna-XM_713957.1	XM_713957.1	118	1085	392.0	28.0
75	rna-XM_713957.1	XM_713957.1	119	1084	50.0	28.0
76	rna-XM_713957.1	XM_713957.1	120	1083	44.0	28.0
77	rna-XM_713957.1	XM_713957.1	121	1082	484.0	28.0
78	rna-XM_713957.1	XM_713957.1	122	1081	70.0	28.0
79	rna-XM_713957.1	XM_713957.1	124	1079	182.0	28.0
80	rna-XM_713957.1	XM_713957.1	126	1077	46.0	28.0
81	rna-XM_713957.1	XM_713957.1	127	1076	125.0	28.0
82	rna-XM_713957.1	XM_713957.1	129	1074	70.0	28.0
83	rna-XM_713957.1	XM_713957.1	130	1073	271.0	28.0
84	rna-XM_713957.1	XM_713957.1	132	1071	83.0	28.0
85	rna-XM_713957.1	XM_713957.1	133	1070	519.0	28.0
86	rna-XM_713957.1	XM_713957.1	134	1069	30.0	28.0
87	rna-XM_713957.1	XM_713957.1	135	1068	53.0	28.0
88	rna-XM_713957.1	XM_713957.1	136	1067	327.0	28.0
89	rna-XM_713957.1	XM_713957.1	139	1064	34.0	28.0
90	rna-XM_713957.1	XM_713957.1	142	1061	75.0	28.0
91	rna-XM_713957.1	XM_713957.1	144	1059	30.0	28.0
92	rna-XM_713957.1	XM_713957.1	145	1058	89.0	28.0
93	rna-XM_713957.1	XM_713957.1	148	1055	71.0	28.0
94	rna-XM_713957.1	XM_713957.1	149	1054	51.0	28.0
95	rna-XM_713957.1	XM_713957.1	151	1052	78.0	28.0
96	rna-XM_713957.1	XM_713957.1	154	1049	61.0	28.0
97	rna-XM_713957.1	XM_713957.1	156	1047	45.0	28.0
98	rna-XM_713957.1	XM_713957.1	157	1046	126.0	28.0
99	rna-XM_713957.1	XM_713957.1	160	1043	51.0	28.0
100	rna-XM_713957.1	XM_713957.1	163	1040	53.0	28.0
101	rna-XM_713957.1	XM_713957.1	164	1039	31.0	28.0
102	rna-XM_713957.1	XM_713957.1	165	1038	33.0	28.0
103	rna-XM_713957.1	XM_713957.1	166	1037	52.0	28.0
104	rna-XM_713957.1	XM_713957.1	168	1035	44.0	28.0
105	rna-XM_713957.1	XM_713957.1	169	1034	61.0	28.0
106	rna-XM_713957.1	XM_713957.1	172	1031	38.0	28.0
107	rna-XM_713957.1	XM_713957.1	174	1029	47.0	28.0
108	rna-XM_713957.1	XM_713957.1	175	1028	195.0	28.0
109	rna-XM_713957.1	XM_713957.1	176	1027	62.0	28.0
110	rna-XM_713957.1	XM_713957.1	180	1023	30.0	28.0
111	rna-XM_713957.1	XM_713957.1	181	1022	74.0	28.0
112	rna-XM_713957.1	XM_713957.1	183	1020	41.0	28.0
113	rna-XM_713957.1	XM_713957.1	184	1019	99.0	28.0
114	rna-XM_713957.1	XM_713957.1	185	1018	35.0	28.0
115	rna-XM_713957.1	XM_713957.1	187	1016	33.0	28.0
116	rna-XM_713957.1	XM_713957.1	190	1013	57.0	28.0
117	rna-XM_713957.1	XM_713957.1	191	1012	29.0	28.0
