	count	F	f_count	f_perc	fpi
0	4	0	3	75.0	2.584962500721156
1	7	0	3	42.857142857142854	0.5849625007211562
2	429	1	162	37.76223776223776	0.27915407119707086
3	290	1	106	36.55172413793103	0.20435849850618631
4	79	1	31	39.24050632911392	0.3692338096657191
5	76	2	35	46.05263157894737	0.7717310123268827
6	7	0	3	42.857142857142854	0.5849625007211562
7	62	2	22	35.483870967741936	0.13750352374993502
8	49	1	18	36.734693877551024	0.21572869105543724
9	22	2	11	50.0	1.0
10	92	0	33	35.869565217391305	0.16175106999661207
11	168	1	63	37.5	0.2630344058337938
12	79	0	30	37.9746835443038	0.29218075149331035
13	1846	2	679	36.78223185265439	0.21867891853738372
14	11	1	6	54.54545454545454	1.263034405833794
15	908	1	330	36.34361233480176	0.1913965317451369
16	0	0	0		
17	2	0	1	50.0	1.0
18	169	0	66	39.053254437869825	0.3578935921752352
19	82	2	32	39.02439024390244	0.35614381022527536
20	49	0	18	36.734693877551024	0.21572869105543724
21	51	0	18	35.294117647058826	0.12553088208385882
22	0	0	0		
23	58	1	21	36.206896551724135	0.18286405714981044
24	3	1	2	66.66666666666666	2.0
25	28	2	15	53.57142857142857	1.2064508774674263
26	16	1	8	50.0	1.0
27	427	0	158	37.00234192037471	0.2323183856204788
28	23	1	10	43.47826086956522	0.6214883767462702
29	12	2	6	50.0	1.0
30	0	0	0		
31	69	2	25	36.231884057971016	0.18442457113742758
32	62	1	24	38.70967741935484	0.33703498727757064
33	89	1	31	34.831460674157306	0.09621531525930298
34	6	0	3	50.0	1.0
35	15	1	6	40.0	0.4150374992788437
36	16	1	7	43.75	0.6374299206152918
37	325	1	116	35.69230769230769	0.1506218630466894
38	18	1	9	50.0	1.0
39	15	2	8	53.333333333333336	1.1926450779423958
40	22	0	8	36.36363636363637	0.19264507794239583
41	602	1	218	36.21262458471761	0.18322182405577025
42	9	2	6	66.66666666666666	2.0
43	232	0	81	34.91379310344828	0.10144526355954574
44	16	1	9	56.25	1.3625700793847084
45	34	1	13	38.23529411764706	0.30812229536233193
46	25	0	10	40.0	0.4150374992788437
47	64	0	29	45.3125	0.7286979781826057
48	16	1	8	50.0	1.0
49	189	0	66	34.92063492063492	0.10187961401921365
50	198	0	81	40.909090909090914	0.4694852833012202
51	5	1	3	60.0	1.584962500721156
52	403	2	143	35.483870967741936	0.13750352374993502
53	89	2	38	42.69662921348314	0.57550217147209
54	54	0	23	42.592592592592595	0.5693656456701377
55	21	2	10	47.61904761904761	0.8624964762500651
56	1	1	1	100.0	1.0
57	424	0	160	37.735849056603776	0.27753397552890896
58	158	2	58	36.708860759493675	0.21412480535284734
59	25	0	11	44.0	0.6520766965796931
60	7	0	3	42.857142857142854	0.5849625007211562
