ID	gene	chr	cds_start	cds_end	type
rna-XM_713980.1	XM_713980.1	NC_032089.1	4408	4720	mRNA
rna-XM_713979.1	XM_713979.1	NC_032089.1	8596	8908	mRNA
rna-XM_713978.2	XM_713978.2	NC_032089.1	10717	11485	mRNA
rna-XM_713975.2	XM_713975.2	NC_032089.1	12162	13701	mRNA
rna-XM_019475053.1	XM_019475053.1	NC_032089.1	13777	14917	mRNA
rna-XM_713968.1	XM_713968.1	NC_032089.1	14909	15761	mRNA
rna-XM_713969.1	XM_713969.1	NC_032089.1	15594	16116	mRNA
rna-XM_713966.1	XM_713966.1	NC_032089.1	16599	17328	mRNA
rna-XM_713965.1	XM_713965.1	NC_032089.1	17337	18960	mRNA
rna-XM_713962.1	XM_713962.1	NC_032089.1	18947	19628	mRNA
rna-XM_713960.1	XM_713960.1	NC_032089.1	19614	21714	mRNA
rna-XM_713959.1	XM_713959.1	NC_032089.1	22269	25326	mRNA
rna-XM_713958.1	XM_713958.1	NC_032089.1	25380	27249	mRNA
rna-XM_713957.1	XM_713957.1	NC_032089.1	28285	29488	mRNA
rna-XM_713955.2	XM_713955.2	NC_032089.1	29803	31543	mRNA
rna-XM_713954.1	XM_713954.1	NC_032089.1	31841	32444	mRNA
rna-XM_713953.1	XM_713953.1	NC_032089.1	32679	33318	mRNA
rna-XM_713952.1	XM_713952.1	NC_032089.1	34098	34446	mRNA
rna-XM_713951.2	XM_713951.2	NC_032089.1	34524	35679	mRNA
rna-XM_713950.1	XM_713950.1	NC_032089.1	37850	39485	mRNA
rna-XM_713949.1	XM_713949.1	NC_032089.1	40483	41770	mRNA
rna-XM_713948.2	XM_713948.2	NC_032089.1	42604	43504	mRNA
rna-XM_019475054.1	XM_019475054.1	NC_032089.1	43548	43679	mRNA
rna-XM_713947.2	XM_713947.2	NC_032089.1	43802	45764	mRNA
rna-XM_713946.1	XM_713946.1	NC_032089.1	46802	48359	mRNA
rna-XM_713945.1	XM_713945.1	NC_032089.1	48512	49298	mRNA
rna-XM_713944.2	XM_713944.2	NC_032089.1	49294	49843	mRNA
rna-XM_713943.1	XM_713943.1	NC_032089.1	49996	50743	mRNA
rna-XM_713942.1	XM_713942.1	NC_032089.1	50805	51681	mRNA
rna-XM_713941.1	XM_713941.1	NC_032089.1	53098	54442	mRNA
rna-XM_019475055.1	XM_019475055.1	NC_032089.1	54557	54842	mRNA
rna-XM_713940.2	XM_713940.2	NC_032089.1	54836	57074	mRNA
rna-XM_713939.1	XM_713939.1	NC_032089.1	59348	62552	mRNA
rna-XM_713937.1	XM_713937.1	NC_032089.1	63201	64350	mRNA
rna-XM_713935.2	XM_713935.2	NC_032089.1	64695	66324	mRNA
rna-XM_713934.1	XM_713934.1	NC_032089.1	67842	68814	mRNA
rna-XM_713933.2	XM_713933.2	NC_032089.1	69225	70902	mRNA
rna-XM_019475056.1	XM_019475056.1	NC_032089.1	71067	72581	mRNA
rna-XM_019475057.1	XM_019475057.1	NC_032089.1	72740	73283	mRNA
rna-XM_713931.1	XM_713931.1	NC_032089.1	73579	73900	mRNA
rna-XM_713930.1	XM_713930.1	NC_032089.1	74055	75381	mRNA
rna-XM_713929.2	XM_713929.2	NC_032089.1	75572	77828	mRNA
rna-XM_713928.2	XM_713928.2	NC_032089.1	78007	78367	mRNA
rna-XM_713927.2	XM_713927.2	NC_032089.1	78640	79669	mRNA
rna-XM_713926.2	XM_713926.2	NC_032089.1	80123	81053	mRNA
rna-XM_713925.1	XM_713925.1	NC_032089.1	81232	81901	mRNA
rna-XM_713924.1	XM_713924.1	NC_032089.1	82116	84558	mRNA
rna-XM_713923.2	XM_713923.2	NC_032089.1	85079	87248	mRNA
rna-XM_713922.2	XM_713922.2	NC_032089.1	87899	89810	mRNA
rna-XM_713921.1	XM_713921.1	NC_032089.1	90098	91271	mRNA
rna-XM_713918.2	XM_713918.2	NC_032089.1	91309	93694	mRNA
rna-XM_713917.1	XM_713917.1	NC_032089.1	93969	94899	mRNA
rna-XM_713916.1	XM_713916.1	NC_032089.1	95213	96494	mRNA
rna-XM_713915.2	XM_713915.2	NC_032089.1	96815	101423	mRNA
rna-XM_713914.1	XM_713914.1	NC_032089.1	101750	103523	mRNA
rna-XM_713913.1	XM_713913.1	NC_032089.1	103867	104809	mRNA
rna-XM_713912.1	XM_713912.1	NC_032089.1	105178	106924	mRNA
rna-XM_713910.2	XM_713910.2	NC_032089.1	107124	111027	mRNA
rna-XM_713909.1	XM_713909.1	NC_032089.1	111570	112251	mRNA
rna-XM_713908.1	XM_713908.1	NC_032089.1	112787	113801	mRNA
rna-XM_713907.1	XM_713907.1	NC_032089.1	114126	115878	mRNA
rna-XM_713906.1	XM_713906.1	NC_032089.1	117318	119442	mRNA
rna-XM_713905.2	XM_713905.2	NC_032089.1	119766	122808	mRNA
rna-XM_713904.1	XM_713904.1	NC_032089.1	123065	123431	mRNA
rna-XM_019475058.1	XM_019475058.1	NC_032089.1	123868	125597	mRNA
rna-XM_713902.2	XM_713902.2	NC_032089.1	126790	128620	mRNA
rna-XM_713901.2	XM_713901.2	NC_032089.1	129259	130681	mRNA
rna-XM_713900.2	XM_713900.2	NC_032089.1	131412	133938	mRNA
rna-XM_713899.1	XM_713899.1	NC_032089.1	134253	134913	mRNA
rna-XM_713898.2	XM_713898.2	NC_032089.1	135653	136436	mRNA
rna-XM_713897.2	XM_713897.2	NC_032089.1	138573	140931	mRNA
rna-XM_713896.2	XM_713896.2	NC_032089.1	150606	151707	mRNA
rna-XM_713895.2	XM_713895.2	NC_032089.1	154632	155286	mRNA
rna-XM_713894.2	XM_713894.2	NC_032089.1	155442	156324	mRNA
rna-XM_713893.1	XM_713893.1	NC_032089.1	156642	157689	mRNA
rna-XM_713892.2	XM_713892.2	NC_032089.1	158724	160524	mRNA
rna-XM_713891.2	XM_713891.2	NC_032089.1	160941	162672	mRNA
rna-XM_713890.2	XM_713890.2	NC_032089.1	167076	167823	mRNA
rna-XM_713889.1	XM_713889.1	NC_032089.1	168532	169534	mRNA
rna-XM_713887.2	XM_713887.2	NC_032089.1	170157	172254	mRNA
rna-XM_713886.2	XM_713886.2	NC_032089.1	174458	176084	mRNA
rna-XM_713885.2	XM_713885.2	NC_032089.1	176324	178475	mRNA
rna-XM_713883.1	XM_713883.1	NC_032089.1	178689	179307	mRNA
rna-XM_019475059.1	XM_019475059.1	NC_032089.1	179822	180829	mRNA
rna-XM_713881.1	XM_713881.1	NC_032089.1	181402	185239	mRNA
rna-XM_019475060.1	XM_019475060.1	NC_032089.1	185506	190145	mRNA
rna-XM_019475061.1	XM_019475061.1	NC_032089.1	190697	191156	mRNA
rna-XM_713879.1	XM_713879.1	NC_032089.1	191443	193405	mRNA
rna-XM_713878.1	XM_713878.1	NC_032089.1	194675	197798	mRNA
rna-XM_019475062.1	XM_019475062.1	NC_032089.1	198220	198746	mRNA
rna-XM_019475063.1	XM_019475063.1	NC_032089.1	198950	199220	mRNA
rna-XM_713018.2	XM_713018.2	NC_032089.1	199315	202249	mRNA
rna-XM_713019.1	XM_713019.1	NC_032089.1	202531	203623	mRNA
rna-XM_713020.2	XM_713020.2	NC_032089.1	203944	204415	mRNA
rna-XM_713021.1	XM_713021.1	NC_032089.1	205264	206284	mRNA
rna-XM_713022.1	XM_713022.1	NC_032089.1	206476	206920	mRNA
rna-XM_713023.2	XM_713023.2	NC_032089.1	206916	207855	mRNA
rna-XM_713024.2	XM_713024.2	NC_032089.1	208284	208740	mRNA
rna-XM_713025.2	XM_713025.2	NC_032089.1	209077	210502	mRNA
rna-XM_713026.1	XM_713026.1	NC_032089.1	210871	212377	mRNA
rna-XM_713027.1	XM_713027.1	NC_032089.1	212438	212747	mRNA
rna-XM_713028.2	XM_713028.2	NC_032089.1	213634	220399	mRNA
rna-XM_713030.1	XM_713030.1	NC_032089.1	220538	222068	mRNA
rna-XM_713031.2	XM_713031.2	NC_032089.1	224666	226874	mRNA
rna-XM_713032.1	XM_713032.1	NC_032089.1	227676	229779	mRNA
rna-XM_713033.1	XM_713033.1	NC_032089.1	232864	234934	mRNA
rna-XM_713034.2	XM_713034.2	NC_032089.1	235076	235889	mRNA
rna-XM_713035.2	XM_713035.2	NC_032089.1	236083	238300	mRNA
rna-XM_713036.1	XM_713036.1	NC_032089.1	239090	240914	mRNA
rna-XM_713037.1	XM_713037.1	NC_032089.1	241112	242504	mRNA
rna-XM_713038.1	XM_713038.1	NC_032089.1	242740	244663	mRNA
rna-XM_713039.1	XM_713039.1	NC_032089.1	245205	246453	mRNA
rna-XM_713040.1	XM_713040.1	NC_032089.1	246660	247413	mRNA
rna-XM_713041.1	XM_713041.1	NC_032089.1	248815	249865	mRNA
rna-XM_713042.2	XM_713042.2	NC_032089.1	250102	251977	mRNA
rna-XM_713044.1	XM_713044.1	NC_032089.1	252035	252488	mRNA
rna-XM_713045.2	XM_713045.2	NC_032089.1	253157	254441	mRNA
rna-XM_713047.2	XM_713047.2	NC_032089.1	254617	254965	mRNA
rna-XM_713048.2	XM_713048.2	NC_032089.1	255169	257443	mRNA
rna-XM_713049.2	XM_713049.2	NC_032089.1	257920	258904	mRNA
rna-XM_713051.1	XM_713051.1	NC_032089.1	259646	261173	mRNA
rna-XM_713052.1	XM_713052.1	NC_032089.1	261358	261838	mRNA
rna-XM_713053.1	XM_713053.1	NC_032089.1	262216	263083	mRNA
rna-XM_713054.1	XM_713054.1	NC_032089.1	263478	264672	mRNA
rna-XM_713055.2	XM_713055.2	NC_032089.1	265482	267465	mRNA
rna-XM_019475064.1	XM_019475064.1	NC_032089.1	269371	270012	mRNA
rna-XM_713057.2	XM_713057.2	NC_032089.1	270318	271974	mRNA
rna-XM_713058.2	XM_713058.2	NC_032089.1	272373	274197	mRNA
rna-XM_713059.2	XM_713059.2	NC_032089.1	275476	276952	mRNA
rna-XM_713060.2	XM_713060.2	NC_032089.1	278221	279262	mRNA
rna-XM_019475065.1	XM_019475065.1	NC_032089.1	280420	280819	mRNA
rna-XM_713061.2	XM_713061.2	NC_032089.1	282436	284137	mRNA
rna-XM_713062.2	XM_713062.2	NC_032089.1	284638	287617	mRNA
rna-XM_713063.2	XM_713063.2	NC_032089.1	288032	289328	mRNA
rna-XM_713064.2	XM_713064.2	NC_032089.1	289698	290448	mRNA
rna-XM_713065.1	XM_713065.1	NC_032089.1	291846	292449	mRNA
rna-XM_713068.2	XM_713068.2	NC_032089.1	299613	301767	mRNA
rna-XM_713070.2	XM_713070.2	NC_032089.1	305307	306012	mRNA
rna-XM_713071.2	XM_713071.2	NC_032089.1	306617	308486	mRNA
rna-XM_713072.1	XM_713072.1	NC_032089.1	309121	310972	mRNA
rna-XM_713074.2	XM_713074.2	NC_032089.1	311199	312759	mRNA
rna-XM_713075.2	XM_713075.2	NC_032089.1	313160	317798	mRNA
rna-XM_713077.2	XM_713077.2	NC_032089.1	317949	318471	mRNA
rna-XM_713078.2	XM_713078.2	NC_032089.1	318928	319459	mRNA
rna-XM_713079.2	XM_713079.2	NC_032089.1	319664	323369	mRNA
rna-XM_713080.2	XM_713080.2	NC_032089.1	323649	324531	mRNA
rna-XM_019475066.1	XM_019475066.1	NC_032089.1	324886	325940	mRNA
rna-XM_713082.2	XM_713082.2	NC_032089.1	326427	327426	mRNA
rna-XM_713083.2	XM_713083.2	NC_032089.1	331353	332037	mRNA
rna-XM_019475067.1	XM_019475067.1	NC_032089.1	332720	334077	mRNA
rna-XM_713085.2	XM_713085.2	NC_032089.1	334642	336025	mRNA
rna-XM_713086.2	XM_713086.2	NC_032089.1	336699	341496	mRNA
rna-XM_713087.1	XM_713087.1	NC_032089.1	341927	342440	mRNA
rna-XM_713088.1	XM_713088.1	NC_032089.1	342929	343901	mRNA
rna-XM_713089.2	XM_713089.2	NC_032089.1	345561	348762	mRNA
rna-XM_713090.2	XM_713090.2	NC_032089.1	351097	353101	mRNA
