	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713980.1	XM_713980.1	155	157	42.0	26.0
1	rna-XM_713980.1	XM_713980.1	156	156	30.0	26.0
2	rna-XM_713980.1	XM_713980.1	184	128	29.0	26.0
3	rna-XM_713980.1	XM_713980.1	223	89	28.0	26.0
4	rna-XM_713980.1	XM_713980.1	224	88	45.0	26.0
5	rna-XM_713980.1	XM_713980.1	232	80	34.0	26.0
6	rna-XM_713980.1	XM_713980.1	233	79	39.0	26.0
7	rna-XM_713978.2	XM_713978.2	246	522	30.0	26.0
8	rna-XM_713978.2	XM_713978.2	247	521	98.0	26.0
9	rna-XM_713978.2	XM_713978.2	249	519	39.0	26.0
10	rna-XM_713978.2	XM_713978.2	302	466	31.0	26.0
11	rna-XM_713975.2	XM_713975.2	73	1466	76.0	26.0
12	rna-XM_713975.2	XM_713975.2	74	1465	34.0	26.0
13	rna-XM_713975.2	XM_713975.2	161	1378	31.0	26.0
14	rna-XM_713975.2	XM_713975.2	187	1352	49.0	26.0
15	rna-XM_713968.1	XM_713968.1	158	694	52.0	26.0
16	rna-XM_713968.1	XM_713968.1	161	691	111.0	26.0
17	rna-XM_713968.1	XM_713968.1	191	661	36.0	26.0
18	rna-XM_713968.1	XM_713968.1	379	473	47.0	26.0
19	rna-XM_713965.1	XM_713965.1	1489	134	51.0	26.0
20	rna-XM_713962.1	XM_713962.1	8	673	35.0	26.0
21	rna-XM_713960.1	XM_713960.1	352	1748	72.0	26.0
22	rna-XM_713960.1	XM_713960.1	2094	6	35.0	26.0
23	rna-XM_713958.1	XM_713958.1	1596	273	37.0	26.0
24	rna-XM_713958.1	XM_713958.1	1620	249	63.0	26.0
25	rna-XM_713957.1	XM_713957.1	0	1203	273.0	26.0
26	rna-XM_713957.1	XM_713957.1	1	1202	58.0	26.0
27	rna-XM_713957.1	XM_713957.1	7	1196	30.0	26.0
28	rna-XM_713957.1	XM_713957.1	19	1184	73.0	26.0
29	rna-XM_713957.1	XM_713957.1	20	1183	33.0	26.0
30	rna-XM_713957.1	XM_713957.1	28	1175	41.0	26.0
31	rna-XM_713957.1	XM_713957.1	30	1173	29.0	26.0
32	rna-XM_713957.1	XM_713957.1	40	1163	43.0	26.0
33	rna-XM_713957.1	XM_713957.1	43	1160	64.0	26.0
34	rna-XM_713957.1	XM_713957.1	47	1156	48.0	26.0
35	rna-XM_713957.1	XM_713957.1	50	1153	30.0	26.0
36	rna-XM_713957.1	XM_713957.1	52	1151	29.0	26.0
37	rna-XM_713957.1	XM_713957.1	53	1150	72.0	26.0
38	rna-XM_713957.1	XM_713957.1	54	1149	74.0	26.0
39	rna-XM_713957.1	XM_713957.1	55	1148	249.0	26.0
40	rna-XM_713957.1	XM_713957.1	64	1139	33.0	26.0
41	rna-XM_713957.1	XM_713957.1	77	1126	27.0	26.0
42	rna-XM_713957.1	XM_713957.1	89	1114	28.0	26.0
43	rna-XM_713957.1	XM_713957.1	91	1112	35.0	26.0
44	rna-XM_713957.1	XM_713957.1	92	1111	33.0	26.0
45	rna-XM_713957.1	XM_713957.1	94	1109	69.0	26.0
46	rna-XM_713957.1	XM_713957.1	97	1106	35.0	26.0
47	rna-XM_713957.1	XM_713957.1	99	1104	32.0	26.0
48	rna-XM_713957.1	XM_713957.1	100	1103	48.0	26.0
49	rna-XM_713957.1	XM_713957.1	103	1100	69.0	26.0
50	rna-XM_713957.1	XM_713957.1	106	1097	58.0	26.0
51	rna-XM_713957.1	XM_713957.1	109	1094	30.0	26.0
52	rna-XM_713957.1	XM_713957.1	112	1091	29.0	26.0
53	rna-XM_713957.1	XM_713957.1	115	1088	44.0	26.0
54	rna-XM_713957.1	XM_713957.1	118	1085	118.0	26.0
55	rna-XM_713957.1	XM_713957.1	119	1084	28.0	26.0
56	rna-XM_713957.1	XM_713957.1	120	1083	27.0	26.0
57	rna-XM_713957.1	XM_713957.1	121	1082	232.0	26.0
58	rna-XM_713957.1	XM_713957.1	122	1081	40.0	26.0
59	rna-XM_713957.1	XM_713957.1	123	1080	30.0	26.0
60	rna-XM_713957.1	XM_713957.1	124	1079	85.0	26.0
61	rna-XM_713957.1	XM_713957.1	127	1076	54.0	26.0
62	rna-XM_713957.1	XM_713957.1	129	1074	29.0	26.0
63	rna-XM_713957.1	XM_713957.1	130	1073	110.0	26.0
64	rna-XM_713957.1	XM_713957.1	132	1071	43.0	26.0
65	rna-XM_713957.1	XM_713957.1	133	1070	146.0	26.0
66	rna-XM_713957.1	XM_713957.1	136	1067	67.0	26.0
67	rna-XM_713957.1	XM_713957.1	141	1062	28.0	26.0
68	rna-XM_713957.1	XM_713957.1	142	1061	37.0	26.0
69	rna-XM_713957.1	XM_713957.1	145	1058	36.0	26.0
70	rna-XM_713957.1	XM_713957.1	148	1055	30.0	26.0
71	rna-XM_713957.1	XM_713957.1	149	1054	27.0	26.0
72	rna-XM_713957.1	XM_713957.1	151	1052	39.0	26.0
73	rna-XM_713957.1	XM_713957.1	154	1049	27.0	26.0
74	rna-XM_713957.1	XM_713957.1	157	1046	46.0	26.0
75	rna-XM_713957.1	XM_713957.1	160	1043	29.0	26.0
76	rna-XM_713957.1	XM_713957.1	163	1040	36.0	26.0
77	rna-XM_713957.1	XM_713957.1	166	1037	36.0	26.0
78	rna-XM_713957.1	XM_713957.1	169	1034	36.0	26.0
79	rna-XM_713957.1	XM_713957.1	172	1031	35.0	26.0
80	rna-XM_713957.1	XM_713957.1	175	1028	89.0	26.0
81	rna-XM_713957.1	XM_713957.1	176	1027	46.0	26.0
82	rna-XM_713957.1	XM_713957.1	181	1022	60.0	26.0
83	rna-XM_713957.1	XM_713957.1	184	1019	59.0	26.0
84	rna-XM_713957.1	XM_713957.1	190	1013	51.0	26.0
85	rna-XM_713957.1	XM_713957.1	193	1010	64.0	26.0
86	rna-XM_713957.1	XM_713957.1	196	1007	27.0	26.0
87	rna-XM_713957.1	XM_713957.1	199	1004	34.0	26.0
88	rna-XM_713957.1	XM_713957.1	203	1000	31.0	26.0
89	rna-XM_713957.1	XM_713957.1	206	997	32.0	26.0
90	rna-XM_713957.1	XM_713957.1	208	995	41.0	26.0
91	rna-XM_713957.1	XM_713957.1	209	994	28.0	26.0
92	rna-XM_713957.1	XM_713957.1	232	971	28.0	26.0
93	rna-XM_713957.1	XM_713957.1	239	964	30.0	26.0
94	rna-XM_713957.1	XM_713957.1	254	949	32.0	26.0
95	rna-XM_713957.1	XM_713957.1	298	905	82.0	26.0
96	rna-XM_713957.1	XM_713957.1	703	500	65.0	26.0
97	rna-XM_713954.1	XM_713954.1	57	546	50.0	26.0
