	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	127243	122326	122539	0.05559971599990963	0.0	34.195179894009264	-9	1.062518173887758	372108	137116	0.050140255659867135	0.06325799965509801
ARG	97635	94315	91720	0.06989624939279669	0.0	34.4185144710403	-18	1.0545398678752496	283670	103715	0.03792625671521281	0.06375385051609792
ASN	108716	105961	104663	0.04589444426619624	0.0	34.04396567921338	-15	1.0362964053129253	319340	183241	0.06700713693055306	0.04062236935162788
ASP	134947	130879	135474	0.02753377880046564	2.0	33.7587839521555	-7	1.0224102041720182	401300	162536	0.05943578133793405	0.05755117236053185
CYS	16558	16409	15604	0.04887054282851876	0.0	34.090300796771736	-6	1.057736441599227	48571	28266	0.010336244249261972	0.04005412724795351
GLN	91437	91202	89235	0.019354770687800844	0.0	33.632123704363046	-6	1.0370418977000557	271874	124197	0.045416066193504176	0.0510259564679296
GLU	182649	176656	184466	0.03814591761599718	2.0	33.92347146133206	-10	1.0247742131341278	543771	179181	0.06552248570108997	0.0707389597747581
GLY	111920	109986	106600	0.047527876669726396	0.0	34.069392948682825	-15	1.0160382416011438	328506	137451	0.05026275767017997	0.0557095929371673
HIS	36569	36173	34958	0.04014272999636752	0.0	33.954503249767875	-15	1.0280018594984823	107700	57007	0.020846185378818268	0.04403744353209999
ILE	115687	111448	111128	0.05592871711268526	0.0	34.200311591867866	-15	1.018429036970446	338263	193124	0.07062112907360323	0.040827504097355416
LEU	160707	155817	154243	0.05188535083553744	0.0	34.137269604708905	-18	1.014037969721294	470767	251448	0.09194891190789019	0.043640770442000806
LYS	183649	178675	177983	0.042409706145876254	0.0	33.98975027160485	-15	1.0214920854456055	540307	201896	0.07382885335558603	0.062380300458037725
PHE	67110	65554	64810	0.042054137692605936	0.0	33.98422070753618	-15	1.0316942333482342	197474	118410	0.043299889675055186	0.03887372203690304
PRO	82511	79818	77962	0.06474402830668424	0.0	34.33794857069137	-15	1.06774854261856	240291	122672	0.04485840778834871	0.04565902587652428
SER	145995	142535	141490	0.03990103895135418	0.0	33.95074647690805	-9	1.0221514435425871	430020	244716	0.08948717001706617	0.040960087185583506
THR	106567	101995	102581	0.05912385197578625	0.0	34.25016792921583	-6	1.0302532678971914	311143	167149	0.061122652303824	0.04339011837301718
TRP	16390	15903	15355	0.06859038199834408	0.0	34.39808596373405	-18	1.1081147040878585	47648	25813	0.009439236991657796	0.04302697136280019
TYR	56531	55555	53894	0.04685534961223736	0.0	34.058922761778526	-27	1.0529797810051122	165980	95518	0.03492879707779682	0.04050467227674022
VAL	116084	112398	113543	0.03922304678673524	0.0	33.940209049046125	-9	1.0208383584301024	342025	147092	0.05378825582369072	0.05420051102992502
TERM	1501	1632	1249	0.2472094386721113	1.0	37.24326791419443	-17	2.707720588235294	4382	5453	0.0019940401857788696	0.01873145263002885
MET	29583	28412	27685	0.07684474366942566	0.0	34.52731092436975	-6	1.044113173106176	85680	48648	0.017789485963280845	0.04105339238781966
