Position	sc5314_Cycloheximide
-60	8629
-59	7766
-58	6580
-57	8631
-56	7739
-55	6529
-54	8967
-53	7923
-52	6616
-51	13261
-50	14334
-49	6829
-48	19348
-47	21143
-46	6533
-45	9111
-44	7881
-43	5616
-42	7336
-41	6453
-40	5273
-39	6858
-38	6143
-37	5408
-36	6686
-35	5973
-34	5102
-33	6245
-32	5692
-31	4974
-30	6415
-29	5515
-28	4783
-27	5910
-26	5248
-25	4584
-24	5650
-23	4804
-22	4397
-21	5258
-20	4926
-19	4886
-18	32552
-17	35331
-16	5531
-15	6695
-14	5428
-13	4254
-12	4297
-11	4512
-10	4233
-9	4289
-8	3912
-7	4068
-6	3962
-5	3778
-4	3516
-3	3604
-2	3385
-1	3293
0	2758
1	3240
2	3935
3	4127
4	3113
5	3266
6	3100
7	3309
8	3128
9	3230
10	3106
