ID	gene	chr	cds_start	cds_end	type
transcript:YAL069W_mRNA		I	334	649	mRNA
transcript:YAL068W-A_mRNA		I	537	792	mRNA
transcript:YAL068C_mRNA	PAU8	I	1806	2169	mRNA
transcript:YAL067W-A_mRNA		I	2479	2707	mRNA
transcript:YAL067C_mRNA	SEO1	I	7234	9016	mRNA
transcript:YAL066W_mRNA		I	10090	10399	mRNA
transcript:YAL065C_mRNA		I	11564	11951	mRNA
transcript:YAL064W-B_mRNA		I	12045	12426	mRNA
transcript:YAL064C-A_mRNA	TDA8	I	13362	13743	mRNA
transcript:YAL064W_mRNA		I	21565	21850	mRNA
transcript:YAL063C-A_mRNA		I	22394	22685	mRNA
transcript:YAL063C_mRNA	FLO9	I	23999	27968	mRNA
transcript:YAL062W_mRNA	GDH3	I	31566	32940	mRNA
transcript:YAL061W_mRNA	BDH2	I	33447	34701	mRNA
transcript:YAL060W_mRNA	BDH1	I	35154	36303	mRNA
transcript:YAL059C-A_mRNA		I	36495	36918	mRNA
transcript:YAL059W_mRNA	ECM1	I	36508	37147	mRNA
transcript:YAL058W_mRNA	CNE1	I	37463	38972	mRNA
transcript:YAL056C-A_mRNA		I	38695	39046	mRNA
transcript:YAL056W_mRNA	GPB2	I	39258	41901	mRNA
transcript:YAL055W_mRNA	PEX22	I	42176	42719	mRNA
transcript:YAL054C_mRNA	ACS1	I	42880	45022	mRNA
transcript:YAL053W_mRNA	FLC2	I	45898	48250	mRNA
transcript:YAL051W_mRNA	OAF1	I	48563	51707	mRNA
transcript:YAL049C_mRNA	AIM2	I	51854	52595	mRNA
transcript:YAL048C_mRNA	GEM1	I	52800	54789	mRNA
transcript:YAL047W-A_mRNA		I	54583	54913	mRNA
transcript:YAL047C_mRNA	SPC72	I	54988	56857	mRNA
transcript:YAL046C_mRNA	BOL3	I	57028	57385	mRNA
transcript:YAL045C_mRNA		I	57487	57796	mRNA
transcript:YAL044W-A_mRNA	BOL1	I	57517	57850	mRNA
transcript:YAL044C_mRNA	GCV3	I	57949	58462	mRNA
transcript:YAL043C_mRNA	PTA1	I	58694	61052	mRNA
transcript:YAL042C-A_mRNA		I	61230	61608	mRNA
transcript:YAL042W_mRNA	ERV46	I	61315	62563	mRNA
transcript:YAL041W_mRNA	CDC24	I	62839	65404	mRNA
transcript:YAL040C_mRNA	CLN3	I	65777	67520	mRNA
transcript:YAL039C_mRNA	CYC3	I	68715	69525	mRNA
transcript:YAL038W_mRNA	CDC19	I	71785	73288	mRNA
transcript:YAL037C-B_mRNA		I	72325	73300	mRNA
transcript:YAL037C-A_mRNA		I	73425	73518	mRNA
transcript:YAL037W_mRNA		I	74019	74823	mRNA
transcript:YAL036C_mRNA	RBG1	I	75042	76152	mRNA
transcript:YAL035W_mRNA	FUN12	I	76426	79435	mRNA
transcript:YAL034C-B_mRNA		I	79488	79842	mRNA
transcript:YAL034W-A_mRNA	MTW1	I	79717	80587	mRNA
transcript:YAL034C_mRNA	FUN19	I	80709	81951	mRNA
transcript:YAL033W_mRNA	POP5	I	82705	83227	mRNA
transcript:YAL032C_mRNA	PRP45	I	83334	84474	mRNA
transcript:YAL031W-A_mRNA		I	84668	84977	mRNA
transcript:YAL031C_mRNA	GIP4	I	84748	87031	mRNA
transcript:YAL030W_mRNA	SNC1	I	87285	87752	mRNA
transcript:YAL029C_mRNA	MYO4	I	87854	92270	mRNA
transcript:YAL028W_mRNA	FRT2	I	92899	94486	mRNA
