	count	F	f_count	f_perc	fpi
0	0	0	0		
1	0	0	0		
2	0	0	0		
3	0	0	0		
4	2	1	1	50.0	1.0
5	1	1	1	100.0	1.0
6	1	1	1	100.0	1.0
7	9	1	4	44.44444444444444	0.6780719051126377
8	0	0	0		
9	1	0	1	100.0	1.0
10	3	2	2	66.66666666666666	2.0
11	16	0	8	50.0	1.0
12	18	0	7	38.88888888888889	0.3479233034203068
13	45	1	25	55.55555555555556	1.3219280948873624
14	132	1	73	55.3030303030303	1.307181509518176
15	0	0	0		
16	393	1	262	66.66666666666666	2.0
17	151	1	94	62.251655629139066	1.7216988375128957
18	0	0	0		
19	517	1	310	59.96131528046421	1.5826374477749123
20	218	1	121	55.5045871559633	1.3189503950874668
21	4	0	3	75.0	2.584962500721156
22	287	1	184	64.11149825783971	1.8370614288737945
23	395	1	263	66.58227848101265	1.994524869933849
24	99	1	56	56.56565656565656	1.3810901673555063
25	99	1	57	57.57575757575758	1.4405725913859815
26	0	0	0		
27	394	1	246	62.43654822335025	1.73306113971029
28	56	1	25	44.642857142857146	0.6896598793878495
29	1	1	1	100.0	1.0
30	74	1	39	52.702702702702695	1.156119201917282
31	548	1	270	49.27007299270073	0.9578745243273235
32	386	1	264	68.39378238341969	2.113656781795567
33	0	0	0		
34	1327	1	801	60.36171816126601	1.6067394431164077
35	1348	1	822	60.97922848664689	1.6440755943893806
36	941	1	625	66.41870350690755	1.9839316313723465
37	464	1	315	67.88793103448276	2.0800394979251173
38	2156	1	1064	49.35064935064935	0.9625252945813372
39	0	0	0		
40	0	0	0		
41	16	1	9	56.25	1.3625700793847084
42	2474	1	1423	57.51818916734034	1.437172992564304
43	9154	1	4583	50.065545116888785	1.0037824667702777
44	2	0	1	50.0	1.0
45	487	1	303	62.217659137576995	1.719612027415938
46	99	1	43	43.43434343434344	0.618909832644494
47	567	1	338	59.61199294532628	1.5616756481852405
48	414	1	287	69.32367149758454	2.176222239903522
49	0	0	0		
50	188	1	120	63.829787234042556	1.8194277543581792
51	119	1	71	59.66386554621849	1.564784618783526
52	1146	1	686	59.860383944153575	1.5765747152284373
53	39	1	25	64.1025641025641	1.8365012677171206
54	195	1	107	54.871794871794876	1.2820353677638496
55	278	0	147	52.87769784172662	1.166249343298914
56	809	1	466	57.60197775030902	1.4421213784814677
57	4106	1	2455	59.79055041402825	1.5723829042887973
58	1099	1	685	62.32939035486807	1.7264732203485638
59	557	1	335	60.14362657091562	1.5936014189950287
60	198	1	130	65.65656565656566	1.9349049717781153
61	330	1	202	61.212121212121204	1.6582114827517946
62	170	1	95	55.88235294117647	1.341036917835067
63	2	1	1	50.0	1.0
64	1518	1	968	63.76811594202898	1.8155754288625725
65	0	0	0		
66	484	1	306	63.22314049586777	1.781654411726254
67	0	0	0		
68	0	0	0		
69	374	1	218	58.288770053475936	1.482782105914678
70	438	1	245	55.93607305936074	1.3441809017344903
71	106	1	57	53.77358490566038	1.2181801700495334
72	1488	1	959	64.4489247311828	1.858263092904105
73	944	1	530	56.144067796610166	1.3563615919512362
74	708	1	440	62.14689265536724	1.7152705230668872
75	115	1	65	56.52173913043478	1.3785116232537298
76	321	1	199	61.99376947040498	1.7058872829807625
77	181	1	107	59.11602209944752	1.5320136207721973
78	934	1	588	62.95503211991434	1.7650441171996396
79	3271	1	1761	53.83674717211861	1.221846359618767
80	0	0	0		
81	8648	1	3736	43.20074005550416	0.6051838943394825
82	178	1	103	57.865168539325836	1.4576818366873374
83	396	1	240	60.60606060606061	1.6214883767462702
84	632	1	384	60.75949367088608	1.630766190334281
85	426	1	240	56.33802816901409	1.367731784500487
86	228	1	141	61.8421052631579	1.6966078565500653
87	343	1	186	54.22740524781341	1.2445380622164044
