	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	395418	387775	330540	0.13876190364188165	0.0	35.50384158501185	-9	1.0669317026539005	1113733	140871	0.05019487030381809	0.059266588977694455
ARG	311948	310350	256541	0.13823419485963967	0.0	35.4954661775365	-15	1.0431353943605985	878839	106150	0.037823153684933664	0.062064000373687
ASN	382002	378731	312907	0.14356305585758186	0.0	35.58008270928803	-15	1.0381045125418191	1073640	187888	0.06694787281728513	0.0428361156072399
ASP	447139	448132	382297	0.11179308358361272	1.0	35.07695872157098	-8	1.0397762266475057	1277568	166632	0.05937397781279196	0.057474613625590254
CYS	50453	51405	42193	0.15018000347884627	1.0	35.685278130662056	-17	1.0496060694484972	144051	29265	0.010427645714456747	0.03689930541550131
GLN	309576	310452	263355	0.11600882503876092	1.0	35.14353343906324	-5	1.060134900081172	883383	127025	0.04526129153865943	0.052132706948194274
GLU	595366	591871	513195	0.10771620294009536	0.0	35.01263208408216	-24	1.0150596439837007	1700432	183194	0.06527531621439225	0.06958224967723996
GLY	355223	361560	294988	0.15332711561515283	1.0	35.73535908817311	-14	1.0513690673747096	1011771	141439	0.050397258917035635	0.0536245291919055
HIS	121778	122879	101499	0.13840373516990698	1.0	35.49815690035707	-5	1.0443688506579643	346156	58657	0.02090054381250263	0.04423871041674839
ILE	389047	386506	325035	0.12899756560167347	0.0	35.349013436453966	-15	1.027078990456166	1100588	198570	0.07075406149050661	0.0415490960466196
LEU	533048	524649	446699	0.13427719548444506	0.0	35.43269192420081	-9	1.0104587204154223	1504396	257792	0.09185592496228374	0.04374648628765209
LYS	608845	599640	503583	0.1424224585224353	0.0	35.56196366032191	-12	1.0570079412658395	1712068	206308	0.07351125002761465	0.06220930983692702
PHE	219631	219486	184560	0.12056214822256325	0.0	35.21550417924663	-15	1.040181030910937	623677	121876	0.04342661025440391	0.03836118182707393
PRO	289829	276112	233986	0.18442751253557632	0.0	36.23193116371869	-12	1.1249805920042508	799927	125882	0.04485402008635723	0.0476362058844329
SER	500587	493867	416497	0.13717731748399153	0.0	35.47869486608678	-9	1.0257317908775099	1410951	251271	0.08953237540807317	0.042093981481287984
THR	369170	353779	303801	0.16711889871353827	0.0	35.95519844168493	-6	1.0666305496112902	1026750	171905	0.06125284252669356	0.04477407732614286
TRP	54112	53534	44359	0.144742863625492	0.0	35.598828985888616	-18	1.0900724423418096	152005	26601	0.009478414613027984	0.042836142304914636
TYR	189446	191893	159345	0.13793927077575227	1.0	35.49078574546316	-5	1.0515235052868004	540684	98489	0.035093401632363935	0.0411534484068894
VAL	365982	363180	311534	0.11749659715446058	0.0	35.167042056469896	-9	1.043411971080545	1040696	151164	0.05386245128242405	0.05160906036565382
TERM	6776	6312	5325	0.219786598079632	0.0	36.800086895128445	-18	2.2114817001180636	18413	5624	0.0020039323252385014	0.024543115053459116
MET	99436	95052	80772	0.17770815555767547	0.0	36.12439148441474	-15	1.0499215575847782	275260	49879	0.01777278457513713	0.04136907494514572
