Position	Avg_replicates
-60	7828
-59	10747
-58	7565
-57	7489
-56	10229
-55	6742
-54	8407
-53	11008
-52	6882
-51	9572
-50	13332
-49	7951
-48	8204
-47	12233
-46	8110
-45	7184
-44	9775
-43	6062
-42	7002
-41	8809
-40	5802
-39	7633
-38	9570
-37	5805
-36	5953
-35	8479
-34	5499
-33	6364
-32	8971
-31	5706
-30	5848
-29	8014
-28	5211
-27	5986
-26	8888
-25	4848
-24	5755
-23	8040
-22	5207
-21	5742
-20	7538
-19	6304
-18	21810
-17	33280
-16	10028
-15	4531
-14	4618
-13	4402
-12	3488
-11	4149
-10	4248
-9	3665
-8	3589
-7	3503
-6	2975
-5	3604
-4	3716
-3	2941
-2	3643
-1	3535
0	2695
1	2888
2	3738
3	5380
4	2547
5	2835
6	2763
7	2949
8	2675
9	2846
10	2344
