	count	F	f_count	f_perc	fpi
0	653	1	242	37.05972434915773	0.23586865359291148
1	2	0	1	50.0	1.0
2	517	0	204	39.458413926499034	0.38240649503887736
3	1520	0	569	37.434210526315795	0.2589833114460186
4	576	0	222	38.54166666666667	0.3268103162671085
5	781	0	287	36.74775928297055	0.2165396950910101
6	34	1	14	41.17647058823529	0.48542682717024166
7	475	1	199	41.89473684210526	0.5281001637654796
8	598	1	247	41.30434782608695	0.493040011280117
9	194	2	71	36.597938144329895	0.20723261416544228
10	731	0	324	44.322845417236664	0.6709650186183778
11	1158	0	492	42.487046632124354	0.5631361382679778
12	2213	0	1043	47.13059195661997	0.8342306280489988
13	5198	1	2069	39.80377068103117	0.40323198661908766
14	407	1	170	41.76904176904177	0.5206476872394428
15	7553	0	2771	36.68740897656561	0.21279258076978902
16	3	1	2	66.66666666666666	2.0
17	20	0	11	55.00000000000001	1.2895066171949852
18	2263	0	960	42.42156429518339	0.5592692270403841
19	1175	1	449	38.21276595744681	0.3067458967453962
20	400	0	181	45.25	0.725058827482032
21	26	2	13	50.0	1.0
22	0	0	0		
23	45	2	16	35.55555555555556	0.14201900487242788
24	140	0	60	42.857142857142854	0.5849625007211562
25	224	0	91	40.625	0.4525122046975067
26	300	1	131	43.666666666666664	0.6325435652552659
27	2562	0	1182	46.13583138173302	0.7765617685120011
28	114	0	47	41.228070175438596	0.48849966121986504
29	119	0	54	45.378151260504204	0.7325196891350141
30	12	0	8	66.66666666666666	2.0
31	486	0	223	45.884773662551446	0.7619809106280024
32	120	0	45	37.5	0.2630344058337938
33	483	0	211	43.68530020703933	0.6336363474568458
34	137	0	64	46.715328467153284	0.8101754411199826
35	244	0	99	40.57377049180328	0.44944753006467525
36	471	0	225	47.77070063694268	0.8712666858777972
37	1629	0	642	39.41068139963168	0.37952321266590555
38	610	0	278	45.57377049180328	0.7439016413765827
39	217	0	100	46.08294930875576	0.77349147019132
40	275	0	117	42.54545454545455	0.5665839714063015
41	2084	1	794	38.09980806142035	0.29983984683234133
42	184	0	78	42.391304347826086	0.557481764299049
43	681	1	262	38.47283406754772	0.32261656783809867
44	217	0	92	42.3963133640553	0.5577776713949258
45	385	0	161	41.81818181818181	0.5235619560570128
46	242	0	120	49.586776859504134	0.9761532580456322
47	599	0	282	47.07846410684474	0.8312123222593863
48	100	0	46	46.0	0.7686744538935444
49	1041	0	475	45.629202689721424	0.7471254603864278
50	515	0	257	49.90291262135923	0.994397293770624
